time,CANESM5,IPSL-CM6A-LR,CESM2-WACCM,MRI-ESM2-0
2000.0,67802790000.0,67802790000.0,67802790000.0,67802790000.0
2001.0,68203620000.0,68203620000.0,68203620000.0,68203620000.0
2002.0,67092824000.0,67092824000.0,67092824000.0,67092824000.0
2003.0,67390013000.0,67390013000.0,67390013000.0,67390013000.0
2004.0,67501000000.0,67501000000.0,67501000000.0,67501000000.0
2005.0,68650107000.0,68650107000.0,68650107000.0,68650107000.0
2006.0,66975720000.0,66975720000.0,66975720000.0,66975720000.0
2007.0,67346956000.0,67346956000.0,67346956000.0,67346956000.0
2008.0,66357973000.0,66357973000.0,66357973000.0,66357973000.0
2009.0,65105760000.0,65105760000.0,65105760000.0,65105760000.0
2010.0,65109856000.0,65109856000.0,65109856000.0,65109856000.0
2011.0,63591640000.0,63591640000.0,63591640000.0,63591640000.0
2012.0,62325084000.0,62325084000.0,62325084000.0,62325084000.0
2013.0,61854302000.0,61854302000.0,61854302000.0,61854302000.0
2014.0,60450087000.0,60450087000.0,60450087000.0,60450087000.0
2015.0,59930956000.0,59930956000.0,59930956000.0,59930956000.0
2016.0,59548578000.0,59548578000.0,59548578000.0,59548578000.0
2017.0,58674102000.0,58674102000.0,58674102000.0,58674102000.0
2018.0,57557930000.0,57557930000.0,57557930000.0,57557930000.0
2019.0,55994750000.0,55994750000.0,55994750000.0,55994750000.0
2020.0,55352517000.0,55352517000.0,55352517000.0,55352517000.0
2021.0,54915797000.0,55275540000.0,54974480000.0,52915577000.0
2022.0,53963104000.0,55687580000.0,55295630000.0,53667574000.0
2023.0,52819812000.0,54784524000.0,54707440000.0,52907717000.0
2024.0,51194413000.0,53354013000.0,54503494000.0,52418140000.0
2025.0,49568340000.0,51640220000.0,53834285000.0,53344657000.0
2026.0,47236510000.0,50105303000.0,54537036000.0,52721650000.0
2027.0,45919277000.0,50034135000.0,53959918000.0,51058123000.0
2028.0,44109648000.0,49550344000.0,52739387000.0,52180386000.0
2029.0,42115820000.0,48439964000.0,51956450000.0,52284674000.0
2030.0,41036194000.0,48272605000.0,51088150000.0,51275022000.0
2031.0,41129260000.0,47146210000.0,51072710000.0,50825482000.0
2032.0,40592290000.0,46614966000.0,49981907000.0,50610717000.0
2033.0,39719195000.0,46004027000.0,48956957000.0,51431703000.0
2034.0,38796317000.0,45548675000.0,47309710000.0,50374287000.0
2035.0,37978284000.0,45863490000.0,47139643000.0,49354682000.0
2036.0,37529686000.0,44691108000.0,45631440000.0,49768026000.0
2037.0,37179027000.0,42817503000.0,44289110000.0,50473050000.0
2038.0,35802132000.0,41220207000.0,43959853000.0,50450910000.0
2039.0,34498216000.0,39798030000.0,43001090000.0,49606210000.0
2040.0,33319057000.0,38478050000.0,40589304000.0,48579920000.0
2041.0,32652567000.0,36934177000.0,40447082000.0,49222513000.0
2042.0,32255646000.0,36151067000.0,40295633000.0,48255996000.0
2043.0,32130195000.0,36146323000.0,39375553000.0,46935265000.0
2044.0,31808633000.0,35785130000.0,38725480000.0,46140776000.0
2045.0,31308923000.0,35056718000.0,37419600000.0,46611630000.0
2046.0,31202908000.0,34868417000.0,36332960000.0,46906120000.0
2047.0,29954646000.0,34128552000.0,35126673000.0,47384160000.0
2048.0,28581770000.0,32824940000.0,35176456000.0,46841240000.0
