time,MRI-ESM2-0,CESM2-WACCM,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CANESM5
2086.0,15954057000.0,8075246000.0,7878267400.0,12107310000.0,7086261000.0,4650948000.0
2087.0,15673935000.0,7637995000.0,7499462700.0,11562043000.0,6563877400.0,4602343400.0
2088.0,15401416000.0,7510630000.0,7243440600.0,11425577000.0,6191707600.0,4625044500.0
2089.0,15163095000.0,7160624000.0,6953520600.0,10713400000.0,5980162600.0,4335165000.0
2090.0,14456075000.0,6815167500.0,6622098400.0,10514734000.0,5634562600.0,4094543600.0
2091.0,13718617000.0,6482520000.0,6455775000.0,10444757000.0,5543329000.0,4032649500.0
2092.0,13311556000.0,6304901600.0,6161402400.0,9711569000.0,5347299300.0,3862414800.0
2093.0,13560317000.0,5969604000.0,5996053500.0,9306928000.0,5230774000.0,3749038000.0
2094.0,13532676000.0,5693161500.0,5771242500.0,8743035000.0,4976642600.0,3589199000.0
2095.0,13417436000.0,5488652300.0,5464262700.0,8367156000.0,4973842000.0,3385335300.0
2096.0,12560626000.0,5264314000.0,5261157400.0,8280128000.0,5003980000.0,3295422700.0
2097.0,12018259000.0,4988846600.0,5229076000.0,8076952000.0,4901017600.0,3137736200.0
2098.0,11594825000.0,4824457000.0,5256848000.0,7684488700.0,4761336000.0,3022310400.0
2099.0,10764940000.0,4459179500.0,5078513000.0,7406063600.0,4684188000.0,2956194300.0
2100.0,10233064000.0,4170419700.0,5135437000.0,6983743000.0,4553223000.0,2863285000.0
2101.0,9982211000.0,3912329200.0,5022471000.0,6674868700.0,4321494000.0,2665387500.0
2102.0,9417364000.0,3824980200.0,4861335000.0,6837789000.0,4073049600.0,2535994600.0
2103.0,8704170000.0,3606053400.0,4680565000.0,6508139000.0,3913109500.0,2405373700.0
2104.0,8410123300.0,3426200600.0,4588419000.0,6269289000.0,3627014100.0,2266594600.0
2105.0,7924623400.0,3360173000.0,4450951700.0,5946336000.0,3364007200.0,2029808300.0
2106.0,7487267300.0,3139471400.0,4285581600.0,5717328000.0,3199867600.0,1835306000.0
2107.0,6854970400.0,2940422100.0,4030796800.0,5449251300.0,3043061200.0,1701681700.0
2108.0,6543409000.0,2679798000.0,3910208500.0,5199068000.0,2760545000.0,1588017800.0
2109.0,6282683000.0,2551629800.0,3779171300.0,4981033000.0,2515081000.0,1445326600.0
2110.0,5808457000.0,2360929800.0,3724501200.0,4806284000.0,2291883500.0,1338057200.0
2111.0,5708738000.0,2326183200.0,3576687400.0,4644683000.0,2155479000.0,1231017500.0
2112.0,5418878000.0,2222142200.0,3395022000.0,4460559000.0,1978404600.0,1111177700.0
2113.0,5237079600.0,2163456000.0,3170334500.0,4316720000.0,1935906800.0,1046064200.0
2114.0,5009598000.0,2075543200.0,2968603400.0,4308415000.0,1879134000.0,988059970.0
2115.0,4872322600.0,1961227400.0,2843776800.0,4334421500.0,1762155800.0,922288700.0
2116.0,4751880700.0,1933790200.0,2653113000.0,4072150500.0,1627837700.0,853159040.0
2117.0,4600459000.0,1895193100.0,2500051700.0,3941410300.0,1643418100.0,803839000.0
2118.0,4532599300.0,1841357600.0,2384971300.0,3880050400.0,1604387000.0,746123800.0
2119.0,4285957000.0,1721013000.0,2365163500.0,3767911000.0,1533721700.0,691694500.0
2120.0,4326716000.0,1612073700.0,2235341800.0,3698949000.0,1496532400.0,656136000.0
2121.0,4266686700.0,1543184300.0,2012639700.0,3495538700.0,1516869500.0,631351360.0
2122.0,4238302700.0,1560686600.0,1921141000.0,3417304600.0,1412112300.0,580381600.0
2123.0,4175586600.0,1537590100.0,1813716700.0,3345751800.0,1412793900.0,558490000.0
2124.0,4246247200.0,1527549300.0,1725228400.0,3213165300.0,1351373300.0,522269100.0
2125.0,4125817000.0,1492109600.0,1613897000.0,3043037000.0,1283572600.0,475482600.0
2126.0,4011487700.0,1437131500.0,1510912600.0,2956782300.0,1265585400.0,458743000.0
2127.0,3940353000.0,1383070600.0,1424932400.0,2778380300.0,1156024800.0,431035940.0
2128.0,3806531600.0,1341564500.0,1383421300.0,2736958700.0,1100708200.0,398847100.0
2129.0,3803150300.0,1244279400.0,1271909000.0,2638172000.0,1049499600.0,403371600.0
2130.0,3782899000.0,1179014500.0,1210810800.0,2523246000.0,955590850.0,382146430.0
2131.0,3698746000.0,1103418000.0,1196397200.0,2460959200.0,904656960.0,377956580.0
2132.0,3612565000.0,1048751170.0,1132511900.0,2319028200.0,837212300.0,364815600.0
2133.0,3617418200.0,934211300.0,1084289900.0,2256587000.0,806416450.0,343304420.0
2134.0,3474198500.0,859253900.0,1032437440.0,2209723600.0,776479800.0,328583360.0
2135.0,3356225800.0,817343800.0,953767200.0,2167186700.0,727966500.0,313088600.0
2136.0,3238165200.0,815762050.0,917667000.0,2088603100.0,724877400.0,293415460.0
2137.0,3153079000.0,799871500.0,858428200.0,1993136000.0,696073340.0,265161150.0
2138.0,3061124400.0,786484900.0,852994400.0,1911262300.0,639651260.0,251455680.0
2139.0,3109271800.0,757494460.0,822741500.0,1864074200.0,619518850.0,243404740.0
2140.0,2958072800.0,713221760.0,779759900.0,1844370000.0,553554560.0,238147470.0
2141.0,2921805600.0,674858240.0,748131400.0,1793083100.0,536082530.0,226348740.0
2142.0,2886051300.0,635148800.0,731212160.0,1824633600.0,523407200.0,216178540.0
2143.0,2812587000.0,603653200.0,695513660.0,1705028200.0,517709340.0,214225460.0
2144.0,2726531800.0,574060200.0,667574700.0,1694355600.0,507290600.0,211216370.0
2145.0,2573515300.0,545700350.0,649120300.0,1668009100.0,486961660.0,204904130.0
2146.0,2525077800.0,537274800.0,611934850.0,1600159600.0,478931070.0,198856850.0
2147.0,2456238000.0,504203170.0,601936640.0,1625663200.0,474393150.0,189427100.0
2148.0,2436213800.0,475208030.0,593389500.0,1633181600.0,451232640.0,177411170.0
2149.0,2379021300.0,459322180.0,599213760.0,1679176800.0,428327140.0,170555680.0
2150.0,2257214000.0,442614900.0,571265800.0,1656342700.0,416859140.0,160552780.0
2151.0,2160321300.0,439026980.0,569714370.0,1681567100.0,391537860.0,155662670.0
2152.0,2106929400.0,431429700.0,562996800.0,1656519400.0,357780260.0,151520510.0
2153.0,2057548000.0,427080060.0,568962700.0,1660966900.0,349831780.0,150520270.0
2154.0,2019711600.0,410524830.0,551206800.0,1640474000.0,333587970.0,147135860.0
2155.0,1953083900.0,393981000.0,525396200.0,1604021900.0,292406800.0,143769140.0
2156.0,1835039500.0,370907070.0,511785250.0,1537913700.0,257303330.0,135889800.0
2157.0,1767029200.0,349324770.0,496748380.0,1479624300.0,244240640.0,132907780.0
2158.0,1702578800.0,336981600.0,475274600.0,1410993200.0,235535400.0,130459130.0
2159.0,1635011500.0,322310300.0,474276960.0,1341201000.0,236828290.0,130205330.0
2160.0,1583459200.0,308299200.0,455233820.0,1303420200.0,229779060.0,127548616.0
2161.0,1523224400.0,290209570.0,460270240.0,1238967800.0,223952530.0,120744080.0
2162.0,1404048300.0,272999100.0,439700860.0,1216532100.0,219877150.0,115535620.0
2163.0,1396717400.0,270162100.0,440874180.0,1179240300.0,218956480.0,113322050.0
2164.0,1343383200.0,270441250.0,436479700.0,1115947600.0,212388290.0,106527590.0
2165.0,1340245900.0,268780320.0,440840500.0,1086491600.0,204022750.0,105142424.0
2166.0,1320863000.0,260491940.0,445385250.0,1004556160.0,191969870.0,104154790.0
2167.0,1287475300.0,255425470.0,419933920.0,1008731100.0,187071520.0,100615704.0
2168.0,1259933000.0,246562400.0,399574980.0,970846600.0,183733950.0,99611580.0
2169.0,1270534800.0,237000030.0,410156500.0,942913660.0,184677630.0,98026190.0
2170.0,1242708100.0,234433680.0,391133900.0,886678200.0,169097600.0,96134230.0
2171.0,1188248800.0,228910180.0,374902340.0,878475000.0,163395090.0,95083260.0
2172.0,1123019100.0,235877600.0,357506620.0,868007900.0,160781310.0,94349980.0
2173.0,1084463100.0,228485040.0,356298940.0,835450560.0,162507520.0,93919220.0
2174.0,1053239800.0,216341040.0,337704060.0,848831200.0,161192110.0,90797320.0
2175.0,1017673200.0,214526400.0,312319000.0,843751800.0,154215260.0,89047430.0
2176.0,1001792640.0,208694110.0,300683650.0,821312700.0,151653400.0,87481240.0
2177.0,1017600700.0,203174060.0,297821340.0,809875650.0,153562690.0,85798140.0
2178.0,1023291200.0,193271330.0,307401800.0,765258750.0,150405000.0,84827700.0
2179.0,1029024260.0,183888060.0,305525120.0,736168500.0,154283200.0,83902030.0
2180.0,1020961300.0,174633220.0,300189300.0,722936300.0,148187660.0,82931940.0
2181.0,1012706240.0,165649920.0,294598430.0,731769150.0,148681000.0,81064184.0
2182.0,1036266430.0,158453870.0,284416450.0,697605400.0,148459650.0,80037780.0
2183.0,1054379600.0,152808450.0,281207650.0,676902100.0,146434850.0,78951600.0
2184.0,1043353860.0,148762700.0,280882750.0,684456640.0,145481150.0,77869410.0
2185.0,1030627500.0,142992450.0,282243940.0,662633500.0,143963540.0,76506790.0
2186.0,998989800.0,138461680.0,280712200.0,629865340.0,144133060.0,75606560.0
2187.0,983342300.0,134294660.0,275541660.0,598951900.0,148231090.0,74536490.0
2188.0,963430400.0,137797260.0,274175940.0,601197100.0,149344480.0,73680136.0
2189.0,936312900.0,137124690.0,270778940.0,579679360.0,146880220.0,71322220.0
2190.0,893241400.0,141474720.0,257369250.0,550580540.0,142612000.0,69857260.0
2191.0,882731900.0,142042050.0,244356620.0,538687170.0,139140480.0,68466180.0
2192.0,884002000.0,140817310.0,239304580.0,523929020.0,134781700.0,67916670.0
2193.0,879912900.0,136509140.0,225563870.0,517526240.0,136123630.0,67912530.0
2194.0,828936260.0,134422300.0,225928240.0,524165380.0,133839000.0,67833370.0
2195.0,842374100.0,134101576.0,221717780.0,531465200.0,128515040.0,67751570.0
2196.0,862942200.0,133906220.0,210823730.0,532730200.0,126749390.0,67543000.0
2197.0,847766600.0,130521370.0,203256780.0,516446660.0,123683860.0,67423560.0
2198.0,851414500.0,129259400.0,209711470.0,495309630.0,120762090.0,66818796.0
2199.0,837861200.0,124998060.0,205704110.0,474087600.0,116653640.0,67048576.0
2200.0,841425600.0,123257470.0,198226180.0,461357400.0,115280970.0,66932652.0
2201.0,873237800.0,118322260.0,199934610.0,464544030.0,112238760.0,67036388.0
2202.0,835166700.0,114755580.0,193197580.0,455377760.0,104975250.0,66444416.0
2203.0,846807700.0,114142744.0,189592830.0,429482700.0,103367180.0,66483890.0
2204.0,850142400.0,113360060.0,177029660.0,428176960.0,99360210.0,66334176.0
2205.0,840207740.0,113936920.0,167580000.0,447557700.0,93522060.0,66389536.0
2206.0,840013250.0,112630550.0,168137820.0,443349540.0,94243780.0,66507036.0
2207.0,836265340.0,113117860.0,157830860.0,440212800.0,92955224.0,66551188.0
2208.0,794174140.0,111151016.0,153930060.0,422182600.0,88998650.0,66804476.0
2209.0,747113660.0,111050040.0,151319150.0,420368500.0,88060456.0,66566830.0
2210.0,723243140.0,109843100.0,149288940.0,401111460.0,89772856.0,66345460.0
2211.0,713395800.0,110289240.0,154041550.0,397472500.0,89162936.0,66039716.0
2212.0,684750340.0,111085016.0,152731120.0,384528800.0,89518530.0,65606864.0
2213.0,682671300.0,109566780.0,155783100.0,384895260.0,90705304.0,65368710.0
2214.0,671779200.0,109849670.0,154932300.0,378957200.0,89564536.0,65382850.0
2215.0,690892300.0,107960940.0,155107520.0,384954460.0,88808770.0,65011240.0
2216.0,662601700.0,106727070.0,155576740.0,375565250.0,87729080.0,64717164.0
2217.0,629066800.0,103902510.0,150945810.0,389465300.0,85259390.0,64762230.0
2218.0,620044100.0,102939220.0,149228560.0,386796640.0,85587550.0,64988070.0
2219.0,572087040.0,100532630.0,153924930.0,372179100.0,84847130.0,64829724.0
2220.0,562290200.0,100156090.0,152266660.0,369571700.0,84152040.0,64897264.0
2221.0,546522240.0,97950560.0,153365470.0,358650240.0,83472020.0,64904576.0
2222.0,521365920.0,96526740.0,154062720.0,350600640.0,81732640.0,64722896.0
2223.0,507396930.0,95816140.0,150032830.0,343442340.0,79923920.0,64722290.0
2224.0,511168800.0,96542800.0,150557890.0,335408600.0,79206296.0,64639828.0
2225.0,503486400.0,95371370.0,143976060.0,326907620.0,78428560.0,63718780.0
2226.0,509790340.0,94279780.0,141865900.0,310212400.0,76738670.0,63447320.0
2227.0,527687460.0,93158110.0,139728020.0,303356060.0,77013864.0,63626708.0
2228.0,516041760.0,93050000.0,137146220.0,302180450.0,76139464.0,63313696.0
2229.0,494182700.0,92433520.0,134988480.0,298079100.0,75646920.0,62862496.0
2230.0,487761730.0,92233640.0,133519670.0,289777500.0,73600470.0,62921296.0
2231.0,504670700.0,90930780.0,128171320.0,281716830.0,73766330.0,62101588.0
2232.0,494086270.0,90330696.0,124459416.0,270883870.0,73772210.0,62042428.0
2233.0,481572350.0,89743650.0,125165960.0,271091970.0,72243810.0,62289996.0
2234.0,485034080.0,88646560.0,121547464.0,267457170.0,71733610.0,61979956.0
2235.0,475730600.0,86840060.0,117219180.0,266793730.0,72487630.0,61585060.0
2236.0,472958050.0,86391144.0,115501140.0,264795730.0,72053510.0,61614504.0
2237.0,479024770.0,85216664.0,118396610.0,265414030.0,72108136.0,61248976.0
2238.0,457660860.0,83907820.0,113557750.0,265653680.0,71469250.0,61495270.0
2239.0,453256060.0,83375976.0,115400210.0,264145970.0,70588750.0,61571424.0
2240.0,443066560.0,81030760.0,112927944.0,261435580.0,70004616.0,61647350.0
2241.0,455606180.0,79314136.0,110073130.0,259907380.0,70028410.0,62091150.0
2242.0,456942400.0,78011064.0,109483880.0,252491330.0,70175930.0,61916524.0
2243.0,454602050.0,77114984.0,108148580.0,255120510.0,70105100.0,61781092.0
2244.0,459398530.0,75109704.0,109054950.0,247938500.0,69737720.0,61415804.0
2245.0,456915360.0,73603480.0,108101430.0,243586940.0,70675650.0,61098852.0
2246.0,444113440.0,72544100.0,110044620.0,238954200.0,70527840.0,61227160.0
2247.0,458741220.0,71474070.0,110217330.0,229511950.0,69663816.0,61048148.0
2248.0,456181280.0,70611490.0,113917144.0,224651540.0,69664616.0,61440452.0
2249.0,448991100.0,70470220.0,113722960.0,222912450.0,69656370.0,61483630.0
2250.0,439687300.0,70211560.0,110626990.0,218528620.0,69686540.0,61249864.0
2251.0,437934530.0,69746024.0,111230850.0,219525250.0,69891120.0,60813624.0
2252.0,426741120.0,69291910.0,109190230.0,220874130.0,69665870.0,60287412.0
2253.0,439575700.0,69227770.0,109626420.0,222301680.0,69031384.0,60217630.0
2254.0,440289340.0,69116010.0,109129656.0,211462260.0,69076024.0,60202620.0
2255.0,453121540.0,68763080.0,110341670.0,212284420.0,68926740.0,60195332.0
2256.0,456044100.0,68781400.0,109719900.0,207978140.0,68993270.0,60334310.0
2257.0,455200200.0,68881384.0,107758860.0,214829500.0,68790730.0,59899356.0
2258.0,450598300.0,68612540.0,107219576.0,211288700.0,68318700.0,59640084.0
2259.0,463191000.0,69066216.0,106347660.0,200669490.0,68642780.0,59795280.0
2260.0,454319700.0,69052620.0,105910760.0,197585490.0,68477096.0,60161508.0
2261.0,449557860.0,68884160.0,103796824.0,196446930.0,68427530.0,60568430.0
2262.0,454821200.0,69433310.0,99626870.0,188437540.0,68415656.0,60678264.0
2263.0,460926560.0,69073656.0,95778040.0,186294290.0,68552880.0,60452544.0
2264.0,463305760.0,69186080.0,93684740.0,187992560.0,67975176.0,60361536.0
2265.0,477350800.0,69228800.0,94061520.0,186832720.0,67915080.0,60163050.0
2266.0,449566430.0,69079350.0,94493816.0,183825860.0,67628824.0,60237028.0
2267.0,429751500.0,69227180.0,93359600.0,177016080.0,68170760.0,60494710.0
2268.0,441039870.0,69110056.0,94828440.0,170903140.0,67753304.0,60375028.0
2269.0,432009760.0,68713350.0,94863840.0,173101570.0,67639960.0,60136490.0
2270.0,450228640.0,68790904.0,94616160.0,173591440.0,67531470.0,59786484.0
2271.0,443395520.0,68655400.0,92321400.0,174252900.0,67860700.0,59625710.0
2272.0,435222980.0,68578020.0,92739304.0,171243550.0,68075290.0,59884988.0
2273.0,434961250.0,68573630.0,92537700.0,172224460.0,67972960.0,59788664.0
2274.0,412466080.0,68353416.0,93011430.0,169344500.0,68061770.0,59836570.0
2275.0,407050720.0,68513100.0,94533530.0,164898020.0,68031690.0,59637656.0
2276.0,384393800.0,68445110.0,93310690.0,167818060.0,68078320.0,59589064.0
2277.0,365969920.0,68452264.0,95516460.0,169211940.0,67828260.0,59717856.0
2278.0,364382270.0,68300460.0,94942010.0,170751140.0,67341100.0,59536136.0
2279.0,363438820.0,68340390.0,93369550.0,169791360.0,67994320.0,59405124.0
2280.0,357985950.0,68541340.0,92304380.0,169411980.0,67333640.0,59293064.0
2281.0,339366340.0,68224550.0,92033064.0,167503340.0,66993490.0,59152540.0
2282.0,337259700.0,68160950.0,92771280.0,166697620.0,67138610.0,59318184.0
2283.0,339668100.0,68117870.0,92025660.0,165552460.0,67114376.0,59315090.0
2284.0,334618530.0,67928490.0,92927550.0,168709890.0,66893940.0,59665760.0
2285.0,328152450.0,68232500.0,93260264.0,161835000.0,66575584.0,59521830.0
2286.0,316512100.0,68177540.0,92520616.0,162056750.0,66400790.0,58960540.0
2287.0,312497020.0,67552380.0,93121816.0,160938060.0,66172716.0,58893730.0
2288.0,318199170.0,67638860.0,93178780.0,161316030.0,66340376.0,58882790.0
2289.0,320600030.0,67752920.0,92573624.0,164314400.0,66356868.0,58610216.0
2290.0,322981950.0,67742010.0,92181976.0,161127070.0,66174800.0,58944612.0
2291.0,324878750.0,67924130.0,90603200.0,159987090.0,66604412.0,59201292.0
2292.0,329049860.0,67824000.0,88757470.0,156725700.0,66038310.0,59269148.0
2293.0,323961180.0,67966470.0,88382530.0,154885920.0,65965750.0,59668510.0
2294.0,332615070.0,67873740.0,88420850.0,156483470.0,65730384.0,59386360.0
2295.0,325903000.0,67990540.0,89129260.0,154942740.0,65413950.0,58827830.0
2296.0,321473860.0,67794184.0,88536530.0,152532660.0,65474676.0,59470896.0
2297.0,325054140.0,67845370.0,86894376.0,148807400.0,65731816.0,58910692.0
2298.0,340194800.0,67669690.0,85198216.0,147880740.0,65611068.0,58566120.0
2299.0,332131970.0,67687720.0,84704430.0,152343260.0,65463404.0,58683480.0
2300.0,335460200.0,67591310.0,83927750.0,149970240.0,65712220.0,58670760.0
