time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5
2000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0
2001.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0
2002.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0
2003.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0
2004.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0
2005.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0
2006.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0
2007.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0
2008.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0
2009.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0
2010.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0
2011.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0
2012.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0
2013.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0
2014.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0
2015.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0
2016.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0
2017.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0
2018.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0
2019.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0
2020.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0
2021.0,85346435000.0,85429486000.0,85072660000.0,85235050000.0,85174755000.0,85144020000.0,85094800000.0,85076180000.0,85117034000.0,85072600000.0
2022.0,85122720000.0,85042274000.0,84780876000.0,84936980000.0,84850080000.0,84868350000.0,85001370000.0,84955800000.0,84743560000.0,84797400000.0
2023.0,84978250000.0,84852376000.0,84946480000.0,84616750000.0,84527730000.0,84644200000.0,84917730000.0,84758530000.0,84421984000.0,84568460000.0
2024.0,84792570000.0,84538940000.0,84201690000.0,84466210000.0,84335240000.0,84247750000.0,84558660000.0,84336010000.0,84038700000.0,84385860000.0
2025.0,84518670000.0,84270360000.0,83797200000.0,84050170000.0,84019910000.0,83953164000.0,84377390000.0,83973090000.0,83786760000.0,84039320000.0
2026.0,84372816000.0,83775480000.0,83494950000.0,83817560000.0,83468600000.0,83656380000.0,83857800000.0,83677230000.0,83560540000.0,83598110000.0
2027.0,84434690000.0,83475870000.0,83209710000.0,83414590000.0,83191100000.0,83212070000.0,83476630000.0,83799900000.0,83745510000.0,83222800000.0
2028.0,84003060000.0,82980140000.0,82638780000.0,82892710000.0,82873640000.0,82699130000.0,83114525000.0,83495020000.0,83033380000.0,82822955000.0
