time,GISS-E2-R,GFDL-CM3,CESM1-CAM5,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0,87958280000.0
2001.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0,88268660000.0
2002.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0,87944760000.0
2003.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0,87733125000.0
2004.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0,87538590000.0
2005.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0,87387180000.0
2006.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0,87269605000.0
2007.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0,87219840000.0
2008.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0,87161340000.0
2009.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0,87516300000.0
2010.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0,87096295000.0
2011.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0,86974220000.0
2012.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0,86905135000.0
2013.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0,86998880000.0
2014.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0,86745600000.0
2015.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0,86548275000.0
2016.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0,86380200000.0
2017.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0,86071435000.0
2018.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0,85864780000.0
2019.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0,85676090000.0
2020.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0,85370880000.0
2021.0,85134900000.0,85133170000.0,85018075000.0,85317090000.0,85228790000.0,85116895000.0,85063340000.0,85334130000.0
2022.0,84955080000.0,84899800000.0,84868340000.0,85021794000.0,85102820000.0,84936750000.0,84794560000.0,85002470000.0
2023.0,84693220000.0,84601315000.0,85451780000.0,84735476000.0,84725540000.0,84619110000.0,84333090000.0,84718440000.0
2024.0,84490306000.0,84570464000.0,84572260000.0,84367060000.0,84568460000.0,84261260000.0,83742270000.0,84522170000.0
2025.0,84263944000.0,84243300000.0,84263625000.0,83935540000.0,84374070000.0,84093750000.0,83216710000.0,84229240000.0
2026.0,84185410000.0,84017070000.0,84177340000.0,83696770000.0,84207990000.0,83784620000.0,82709050000.0,84000400000.0
2027.0,83802644000.0,83650765000.0,83706980000.0,85510260000.0,83982920000.0,83427250000.0,82089820000.0,83604080000.0
2028.0,83446194000.0,83488236000.0,83258520000.0,85059396000.0,83790560000.0,83113960000.0,81740950000.0,83445910000.0
2029.0,83278990000.0,82945155000.0,82885220000.0,83722380000.0,83352880000.0,82819930000.0,81218535000.0,83161520000.0
2030.0,82865440000.0,82444845000.0,82533780000.0,83361800000.0,82925660000.0,82369266000.0,80521224000.0,82833720000.0
2031.0,82381050000.0,82054185000.0,82542420000.0,82696030000.0,82787205000.0,82115035000.0,79919776000.0,82588060000.0
2032.0,82022380000.0,81405665000.0,81629380000.0,82221520000.0,82258520000.0,81566930000.0,79243756000.0,82120420000.0
2033.0,81612990000.0,80954786000.0,80962460000.0,81832320000.0,82078245000.0,80914610000.0,78911110000.0,81821560000.0
2034.0,81269965000.0,80440590000.0,80538870000.0,81315060000.0,81473400000.0,80387604000.0,78074890000.0,82685130000.0
2035.0,80856350000.0,79930050000.0,80144420000.0,80802650000.0,81879340000.0,80036274000.0,77177370000.0,82190640000.0
2036.0,80145040000.0,79037740000.0,79957250000.0,80227510000.0,80904460000.0,79461650000.0,76442540000.0,82249760000.0
