time,CCSM4,MPI-ESM-LR,CSIRO-MK3-6-0
2000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0
2019.0,10050993000.0,10050993000.0,10050993000.0
2020.0,10044886000.0,10044886000.0,10044886000.0
2021.0,10040674000.0,10040334000.0,10041824000.0
2022.0,10035247000.0,10036056000.0,10043805000.0
2023.0,10030175000.0,10032005000.0,10039752000.0
2024.0,10020526000.0,10026587000.0,10042505000.0
2025.0,10017143000.0,10021889000.0,10033910000.0
2026.0,10008422000.0,10011690000.0,10033931000.0
2027.0,10003242000.0,10005304000.0,10031275000.0
2028.0,9995271000.0,9988765000.0,10030367000.0
2029.0,9990177000.0,9983353000.0,10031380000.0
2030.0,9968889000.0,9964760000.0,10024750000.0
2031.0,9956634000.0,9948673000.0,10019281000.0
2032.0,9945808000.0,9939301000.0,10006926000.0
2033.0,9932137000.0,9933976000.0,9991540000.0
2034.0,9912983000.0,9906875000.0,9986782000.0
2035.0,9901322000.0,9889542000.0,9984292000.0
2036.0,9881892000.0,9870400000.0,9972758000.0
2037.0,9851583000.0,9850223000.0,9967674000.0
2038.0,9821493000.0,9829304000.0,9953317000.0
2039.0,9796074000.0,9807054000.0,9945553000.0
2040.0,9763793000.0,9774896000.0,9930375000.0
2041.0,9734992000.0,9747469000.0,9921135000.0
2042.0,9697105000.0,9715362000.0,9893944000.0
2043.0,9684352000.0,9696061000.0,9885293000.0
2044.0,9661657000.0,9673574000.0,9871116000.0
2045.0,9634330000.0,9643788000.0,9843728000.0
2046.0,9594290000.0,9602289000.0,9822346000.0
2047.0,9520163000.0,9569617000.0,9815967000.0
2048.0,9481393000.0,9535898000.0,9810432000.0
2049.0,9429150000.0,9509137000.0,9796281000.0
2050.0,9343994000.0,9484228000.0,9791322000.0
2051.0,9284640000.0,9441100000.0,9777453000.0
2052.0,9222878000.0,9404470000.0,9760724000.0
2053.0,9155631000.0,9330378000.0,9750532000.0
2054.0,9071818000.0,9287355000.0,9738346000.0
2055.0,8993959000.0,9250561000.0,9727737000.0
2056.0,8887947000.0,9227075000.0,9710865000.0
2057.0,8805482000.0,9158152000.0,9700625000.0
2058.0,8717977000.0,9119673000.0,9676781000.0
2059.0,8666336000.0,9077229000.0,9665329000.0
2060.0,8574263300.0,9039159000.0,9661107000.0
2061.0,8525810000.0,9002903000.0,9645902000.0
