time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0
2019.0,10050993000.0,10050993000.0,10050993000.0
2020.0,10044886000.0,10044886000.0,10044886000.0
2021.0,10040170000.0,10037982000.0,10039159000.0
2022.0,10035523000.0,10032283000.0,10032774000.0
2023.0,10031565000.0,10027918000.0,10030368000.0
2024.0,10027428000.0,10020631000.0,10024614000.0
2025.0,10024053000.0,10010153000.0,10019094000.0
2026.0,10017777000.0,10000594000.0,10012549000.0
2027.0,10013367000.0,9989529000.0,10000743000.0
2028.0,9999277000.0,9973347000.0,9990358000.0
2029.0,9987279000.0,9950270000.0,9967432000.0
2030.0,9966017000.0,9936632000.0,9944124000.0
2031.0,9962044000.0,9915885000.0,9933147000.0
2032.0,9948285000.0,9898638000.0,9914498000.0
2033.0,9939311000.0,9877089000.0,9904965000.0
2034.0,9926054000.0,9851540000.0,9878466000.0
2035.0,9905047000.0,9821808000.0,9858753000.0
2036.0,9889053000.0,9806050000.0,9837007000.0
2037.0,9874931000.0,9775385000.0,9810131000.0
2038.0,9840980000.0,9741715000.0,9779350000.0
2039.0,9823164000.0,9705436000.0,9749282000.0
2040.0,9796168000.0,9667951000.0,9710302000.0
2041.0,9768661000.0,9637220000.0,9698266000.0
2042.0,9744047000.0,9606708000.0,9660349000.0
2043.0,9712529000.0,9571596000.0,9628977000.0
2044.0,9693327000.0,9548214000.0,9578658000.0
2045.0,9677537000.0,9518419000.0,9530026000.0
2046.0,9659341000.0,9475391000.0,9493014000.0
2047.0,9618191000.0,9446642000.0,9416847000.0
2048.0,9600342000.0,9397240000.0,9340664000.0
2049.0,9564609000.0,9341693000.0,9288059000.0
2050.0,9525421000.0,9294133000.0,9237949000.0
2051.0,9498755000.0,9253436000.0,9201578000.0
2052.0,9458893000.0,9186561000.0,9110951000.0
2053.0,9421555000.0,9118125000.0,9042056000.0
2054.0,9364571000.0,9083577000.0,8964564000.0
2055.0,9314250000.0,9033381000.0,8863403000.0
2056.0,9277374000.0,8961097000.0,8778971000.0
2057.0,9221282000.0,8889955000.0,8717565000.0
2058.0,9181329000.0,8801085000.0,8644549000.0
2059.0,9145845000.0,8734577000.0,8559408000.0
2060.0,9116933000.0,8638036000.0,8508307500.0
2061.0,9064220000.0,8554374000.0,8466161700.0
