time,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,CESM1-CAM5
2000.0,10104891000.0,10104891000.0,10104891000.0,10104891000.0
2001.0,10101945000.0,10101945000.0,10101945000.0,10101945000.0
2002.0,10099878000.0,10099878000.0,10099878000.0,10099878000.0
2003.0,10100722000.0,10100722000.0,10100722000.0,10100722000.0
2004.0,10095488000.0,10095488000.0,10095488000.0,10095488000.0
2005.0,10092008000.0,10092008000.0,10092008000.0,10092008000.0
2006.0,10090079000.0,10090079000.0,10090079000.0,10090079000.0
2007.0,10088152000.0,10088152000.0,10088152000.0,10088152000.0
2008.0,10085710000.0,10085710000.0,10085710000.0,10085710000.0
2009.0,10081394000.0,10081394000.0,10081394000.0,10081394000.0
2010.0,10079232000.0,10079232000.0,10079232000.0,10079232000.0
2011.0,10073507000.0,10073507000.0,10073507000.0,10073507000.0
2012.0,10074919000.0,10074919000.0,10074919000.0,10074919000.0
2013.0,10072101000.0,10072101000.0,10072101000.0,10072101000.0
2014.0,10068347000.0,10068347000.0,10068347000.0,10068347000.0
2015.0,10063784000.0,10063784000.0,10063784000.0,10063784000.0
2016.0,10063523000.0,10063523000.0,10063523000.0,10063523000.0
2017.0,10058212000.0,10058212000.0,10058212000.0,10058212000.0
2018.0,10052543000.0,10052543000.0,10052543000.0,10052543000.0
2019.0,10050993000.0,10050993000.0,10050993000.0,10050993000.0
2020.0,10044886000.0,10044886000.0,10044886000.0,10044886000.0
2021.0,10040391000.0,10041859000.0,10041292000.0,10040012000.0
2022.0,10031919000.0,10036553000.0,10034843000.0,10030590000.0
2023.0,10029156000.0,10031608000.0,10030193000.0,10023907000.0
2024.0,10023613000.0,10029665000.0,10024783000.0,10017544000.0
2025.0,10019443000.0,10025996000.0,10021766000.0,10007672000.0
2026.0,10015121000.0,10022834000.0,10017727000.0,10000013000.0
2027.0,10006639000.0,10018102000.0,10016834000.0,9979061000.0
2028.0,9994563000.0,10001065000.0,10005342000.0,9971192000.0
2029.0,9981229000.0,9996987000.0,10001099000.0,9949166000.0
2030.0,9966959000.0,9973116000.0,9985864000.0,9930942000.0
2031.0,9963561000.0,9963146000.0,9984899000.0,9916300000.0
2032.0,9944021000.0,9945277000.0,9972700000.0,9886719000.0
2033.0,9930636000.0,9933623000.0,9964860000.0,9861712000.0
2034.0,9919668000.0,9910019000.0,9960235000.0,9836638000.0
2035.0,9896837000.0,9886241000.0,9935674000.0,9806660000.0
2036.0,9886847000.0,9868941000.0,9928048000.0,9780531000.0
2037.0,9854244000.0,9842120000.0,9920794000.0,9750003000.0
2038.0,9831218000.0,9820238000.0,9906801000.0,9712091000.0
2039.0,9812395000.0,9781682000.0,9889700000.0,9672075000.0
2040.0,9785241000.0,9746844000.0,9870841000.0,9635980000.0
2041.0,9750109000.0,9706186000.0,9847580000.0,9609166000.0
2042.0,9708945000.0,9676589000.0,9815412000.0,9581216000.0
2043.0,9693059000.0,9613985000.0,9801151000.0,9538978000.0
2044.0,9677069000.0,9590841000.0,9784745000.0,9487733000.0
2045.0,9645602000.0,9546819000.0,9760458000.0,9435477000.0
2046.0,9612036000.0,9500819000.0,9753267000.0,9389319000.0
2047.0,9576934000.0,9440187000.0,9737076000.0,9332826000.0
2048.0,9544089000.0,9383979000.0,9706371000.0,9271503000.0
2049.0,9508478000.0,9352431000.0,9698498000.0,9206537000.0
2050.0,9462044000.0,9273346000.0,9702359000.0,9144916000.0
2051.0,9434257000.0,9187023000.0,9699109000.0,9072489000.0
2052.0,9383694000.0,9110768000.0,9674759000.0,9012887000.0
2053.0,9300116000.0,9028045000.0,9665681000.0,8899262000.0
2054.0,9267826000.0,8950411000.0,9649118000.0,8815673000.0
2055.0,9229149000.0,8871918000.0,9636445000.0,8729111000.0
2056.0,9179381000.0,8824741000.0,9619640000.0,8624926000.0
2057.0,9114356000.0,8739726000.0,9574017000.0,8544556000.0
2058.0,9060393000.0,8670917000.0,9542577000.0,8470101500.0
2059.0,9033552000.0,8611430000.0,9520463000.0,8422226400.0
2060.0,8976519000.0,8557994000.0,9489531000.0,8335485000.0
2061.0,8926311000.0,8488884700.0,9468970000.0,8273578500.0
2062.0,8857851000.0,8439225000.0,9440288000.0,8218724400.0
2063.0,8826202000.0,8402045400.0,9418865000.0,8146044400.0
2064.0,8765063000.0,8322999000.0,9415867000.0,8073919500.0
2065.0,8712082000.0,8257061400.0,9358825000.0,8013638700.0
2066.0,8689342000.0,8180692500.0,9331459000.0,7971932700.0
2067.0,8639573000.0,8123160000.0,9315147000.0,7914623000.0
2068.0,8562959000.0,8058683000.0,9312864000.0,7861353000.0
2069.0,8529817600.0,8006669300.0,9255256000.0,7814543400.0
2070.0,8434001400.0,7943163000.0,9233638000.0,7748483000.0
2071.0,8387952600.0,7897731000.0,9225691000.0,7675719700.0
2072.0,8328969000.0,7848106000.0,9225098000.0,7609026000.0
2073.0,8263334400.0,7781725700.0,9237513000.0,7538109400.0
2074.0,8226815000.0,7734296600.0,9220186000.0,7498006000.0
2075.0,8190405000.0,7686545400.0,9210822000.0,7433787400.0
2076.0,8141996500.0,7624734700.0,9184156000.0,7360018000.0
2077.0,8092423700.0,7577689000.0,9157133000.0,7303575600.0
2078.0,8069531600.0,7528825300.0,9136473000.0,7259542500.0
2079.0,7992996400.0,7480795600.0,9133044000.0,7216818000.0
2080.0,7963312600.0,7432934000.0,9086174000.0,7155465000.0
2081.0,7935028700.0,7383366700.0,9055390000.0,7105544000.0
2082.0,7879587000.0,7325482000.0,9055571000.0,7046667300.0
2083.0,7866500600.0,7283535400.0,9023154000.0,6945101000.0
2084.0,7843346400.0,7209436700.0,9007478000.0,6864953300.0
2085.0,7822324700.0,7157410300.0,8996987000.0,6803449000.0
2086.0,7751920000.0,7109060000.0,8976246000.0,6747818000.0
2087.0,7723317000.0,7034304500.0,8946528000.0,6678708000.0
2088.0,7681375700.0,6996542500.0,8942786000.0,6620652500.0
2089.0,7642234000.0,6964600000.0,8924388000.0,6593355000.0
2090.0,7622541300.0,6894800000.0,8920933000.0,6536280000.0
2091.0,7559625700.0,6842383400.0,8909902000.0,6498780700.0
2092.0,7524021000.0,6776587000.0,8889976000.0,6434086000.0
2093.0,7501895000.0,6723385000.0,8875218000.0,6396196000.0
2094.0,7399384600.0,6629442600.0,8848791000.0,6354821000.0
2095.0,7339009500.0,6590764000.0,8819024000.0,6303197000.0
2096.0,7314447000.0,6542624000.0,8783367000.0,6244285000.0
2097.0,7291629000.0,6497559000.0,8797714000.0,6178226700.0
2098.0,7255838000.0,6439456300.0,8789703000.0,6139249700.0
2099.0,7217428500.0,6370063000.0,8784736000.0,6096006700.0
2100.0,7186625000.0,6340397600.0,8808587000.0,6041784000.0
2101.0,7148951600.0,6269677600.0,8772733000.0,5973231600.0
2102.0,7122872300.0,6178304500.0,8752662000.0,5938198000.0
2103.0,7077424000.0,6145824300.0,8739372000.0,5863357400.0
2104.0,7047310300.0,6104047000.0,8708112000.0,5829815300.0
2105.0,6993423000.0,6046664000.0,8698669000.0,5785405400.0
2106.0,6955180000.0,5973374000.0,8679871000.0,5738732500.0
2107.0,6914399700.0,5941232000.0,8675737000.0,5671286000.0
2108.0,6901218000.0,5877534700.0,8708962000.0,5626199000.0
2109.0,6873716700.0,5841054000.0,8653426000.0,5579692000.0
2110.0,6841513000.0,5771205600.0,8632858000.0,5557741600.0
2111.0,6790678500.0,5681282600.0,8597584000.0,5516385300.0
2112.0,6765724700.0,5615204000.0,8578700300.0,5449131500.0
2113.0,6767716400.0,5571418600.0,8571165000.0,5437886000.0
2114.0,6723279000.0,5524861000.0,8537369600.0,5392959500.0
2115.0,6700176000.0,5465426000.0,8534836000.0,5356412000.0
2116.0,6686116400.0,5427971000.0,8512926700.0,5324945000.0
2117.0,6651926500.0,5369306000.0,8492445000.0,5277286400.0
