time,IPSL-CM6A-LR,MRI-ESM2-0,CESM2-WACCM,CANESM5
2000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0
2001.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0
2002.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0
2003.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0
2004.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0
2005.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0
2006.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0
2007.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0
2008.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0
2009.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0
2010.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0
2011.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0
2012.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0
2013.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0
2014.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0
2015.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0
2016.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0
2017.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0
2018.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0
2019.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0
2020.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0
2021.0,104731410000.0,104984170000.0,104718540000.0,104713240000.0
2022.0,104605204000.0,104806450000.0,104678060000.0,104639950000.0
2023.0,104568390000.0,104662204000.0,104629450000.0,104588900000.0
2024.0,104564130000.0,104614260000.0,104625136000.0,104566235000.0
2025.0,104482270000.0,105190100000.0,104535590000.0,104473130000.0
2026.0,104438650000.0,104845350000.0,104498540000.0,104464335000.0
2027.0,104409220000.0,104640240000.0,104545410000.0,104442210000.0
2028.0,104370710000.0,104540010000.0,104861360000.0,104368740000.0
2029.0,104331846000.0,104523465000.0,104484290000.0,104301420000.0
2030.0,104429240000.0,104452600000.0,104465555000.0,104327420000.0
2031.0,104260910000.0,104502950000.0,104447295000.0,104237440000.0
2032.0,104184200000.0,104389030000.0,104392590000.0,104192380000.0
2033.0,104152056000.0,104514280000.0,104306790000.0,104112415000.0
2034.0,104107130000.0,104305530000.0,104252850000.0,104033660000.0
2035.0,104332170000.0,104265490000.0,104201265000.0,103966230000.0
2036.0,104059126000.0,104313310000.0,104189550000.0,103884700000.0
2037.0,103966100000.0,104171350000.0,104149610000.0,103814950000.0
2038.0,103949610000.0,104274100000.0,104053555000.0,103684120000.0
2039.0,103864480000.0,104070670000.0,103958176000.0,103584580000.0
2040.0,103907705000.0,104046150000.0,103887150000.0,103506080000.0
2041.0,103987560000.0,104367415000.0,103793990000.0,103424420000.0
2042.0,103788050000.0,103961390000.0,103773676000.0,103275730000.0
2043.0,103617080000.0,103895570000.0,103674710000.0,103183290000.0
2044.0,103493270000.0,103846986000.0,103562820000.0,103014700000.0
2045.0,103383860000.0,103693610000.0,103594940000.0,102928610000.0
2046.0,103319320000.0,103594746000.0,103408270000.0,103083475000.0
2047.0,103220140000.0,103509900000.0,103310910000.0,102817500000.0
2048.0,103066214000.0,103510720000.0,103285195000.0,102610670000.0
2049.0,102887640000.0,103352660000.0,103102170000.0,102452210000.0
2050.0,102785290000.0,103218750000.0,102923665000.0,102295360000.0
2051.0,102705635000.0,103102270000.0,102874055000.0,102186120000.0
2052.0,102600390000.0,103001030000.0,102672730000.0,101962820000.0
2053.0,102476750000.0,102795310000.0,102559190000.0,101773296000.0
2054.0,102323400000.0,102553030000.0,102419390000.0,101575850000.0
2055.0,102216155000.0,102718160000.0,102282355000.0,101323790000.0
2056.0,102034465000.0,102384950000.0,102141420000.0,101240620000.0
2057.0,101901810000.0,102342600000.0,102012350000.0,100942480000.0
2058.0,101724960000.0,102117660000.0,101837540000.0,100771800000.0
2059.0,101515740000.0,101874520000.0,101617740000.0,100529530000.0
2060.0,101269684000.0,101785010000.0,101490524000.0,100267460000.0
2061.0,101014140000.0,101519950000.0,101253480000.0,100029230000.0
2062.0,100933460000.0,101348336000.0,101102230000.0,99739610000.0
2063.0,100637600000.0,101202936000.0,100848180000.0,99522820000.0
2064.0,100893030000.0,100989714000.0,100524910000.0,99268080000.0
2065.0,100805575000.0,100847620000.0,100147950000.0,99084110000.0
2066.0,100311605000.0,100609700000.0,99939120000.0,98842526000.0
2067.0,100040640000.0,100649630000.0,99649130000.0,98860950000.0
2068.0,99716090000.0,100689090000.0,99189340000.0,98513220000.0
2069.0,99317960000.0,100526375000.0,98943980000.0,98147900000.0
2070.0,98993775000.0,100086080000.0,98670800000.0,98031310000.0
2071.0,98750250000.0,99903780000.0,98469730000.0,97777280000.0
2072.0,98710380000.0,99842940000.0,98208640000.0,97518840000.0
2073.0,98398945000.0,99527340000.0,97968180000.0,97191670000.0
2074.0,98091040000.0,99291824000.0,97612880000.0,97285140000.0
2075.0,97988330000.0,99119260000.0,97976050000.0,96632440000.0
2076.0,97454230000.0,99003770000.0,97003135000.0,96254710000.0
2077.0,97537790000.0,98614730000.0,97004446000.0,95915320000.0
2078.0,97162290000.0,98431260000.0,96380960000.0,95673650000.0
2079.0,97141350000.0,98245030000.0,96042380000.0,95539270000.0
2080.0,96888900000.0,97943150000.0,95769240000.0,95273030000.0
2081.0,96744810000.0,97611220000.0,95341700000.0,95000340000.0
2082.0,96508780000.0,97561420000.0,95922530000.0,94727730000.0
2083.0,96222855000.0,97123050000.0,94939290000.0,94435660000.0
2084.0,95969845000.0,96874300000.0,94562180000.0,94118855000.0
2085.0,95653420000.0,96653550000.0,94372960000.0,93841630000.0
2086.0,95361130000.0,96641170000.0,96126706000.0,93761880000.0
2087.0,94982414000.0,97369210000.0,94648690000.0,93412440000.0
2088.0,94926430000.0,97311240000.0,93649020000.0,93266960000.0
2089.0,95195720000.0,96995230000.0,93277930000.0,92803380000.0
2090.0,94273176000.0,96547950000.0,92936520000.0,92495370000.0
2091.0,93971860000.0,95931710000.0,92622290000.0,92226820000.0
2092.0,93863846000.0,95508520000.0,93040720000.0,92479670000.0
2093.0,93573095000.0,95393390000.0,92150370000.0,92050860000.0
2094.0,93225730000.0,95014610000.0,91676380000.0,91542740000.0
2095.0,93165800000.0,95153920000.0,91087640000.0,91778290000.0
2096.0,93268770000.0,94853910000.0,90659275000.0,90926410000.0
2097.0,93073350000.0,95657870000.0,90560730000.0,90662340000.0
2098.0,92335194000.0,94630260000.0,89895000000.0,90400180000.0
2099.0,92287750000.0,94354400000.0,90359510000.0,90177060000.0
2100.0,91852160000.0,94154560000.0,90788545000.0,89810150000.0
