time,EC-EARTH3,EC-EARTH3-VEG,INM-CM5-0,INM-CM4-8,MRI-ESM2-0,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,FGOALS-F3-L,BCC-CSM2-MR,NORESM2-MM,GFDL-ESM4
2000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0,105228550000.0
2001.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0,105181000000.0
2002.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0,105147620000.0
2003.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0,105120580000.0
2004.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0,105084210000.0
2005.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0,105238020000.0
2006.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0,105071070000.0
2007.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0,105285120000.0
2008.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0,105066540000.0
2009.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0,104975040000.0
2010.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0,104913060000.0
2011.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0,104872610000.0
2012.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0,104827210000.0
2013.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0,104761205000.0
2014.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0,106364350000.0
2015.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0,104855220000.0
2016.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0,104721820000.0
2017.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0,104709700000.0
2018.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0,104711340000.0
2019.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0,104767850000.0
2020.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0,104828280000.0
2021.0,104729070000.0,104684060000.0,104775390000.0,104677470000.0,104694290000.0,104670260000.0,104691660000.0,104635890000.0,104692850000.0,105313130000.0,104663200000.0,104676110000.0,104688960000.0,104746910000.0
2022.0,104729400000.0,104635530000.0,104692620000.0,104630330000.0,104684904000.0,104582580000.0,104691950000.0,104584135000.0,104592360000.0,104856830000.0,104593990000.0,104612750000.0,104589340000.0,104685540000.0
2023.0,104590670000.0,104628530000.0,104665750000.0,104756190000.0,104712910000.0,104529355000.0,104614580000.0,104524560000.0,104778555000.0,104693860000.0,104572084000.0,104758840000.0,104571230000.0,104685674000.0
2024.0,104578600000.0,104581300000.0,104618520000.0,104595644000.0,104611045000.0,104482910000.0,104583420000.0,104512586000.0,104535820000.0,104640045000.0,104548290000.0,104657480000.0,104533830000.0,104704434000.0
2025.0,104496010000.0,104535870000.0,104572600000.0,104545710000.0,104572150000.0,104425505000.0,104528806000.0,104573500000.0,104495640000.0,104571400000.0,104562260000.0,104534245000.0,104498130000.0,104646210000.0
