time,CANESM5,CESM2-WACCM,MRI-ESM2-0,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2
2000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0,104715790000.0
2001.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0,104671584000.0
2002.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0,104648180000.0
2003.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0,104614090000.0
2004.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0,104580735000.0
2005.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0,104738290000.0
2006.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0,104588700000.0
2007.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0,104812050000.0
2008.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0,104588650000.0
2009.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0,104504074000.0
2010.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0,104435670000.0
2011.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0,104394280000.0
2012.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0,104335190000.0
2013.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0,104274290000.0
2014.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0,105788550000.0
2015.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0,104383060000.0
2016.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0,104242980000.0
2017.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0,104229290000.0
2018.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0,104234140000.0
2019.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0,104291320000.0
2020.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0,104354210000.0
2021.0,104210460000.0,104207840000.0,104156450000.0,104163750000.0,104206100000.0,104212990000.0
2022.0,104173265000.0,104376320000.0,104355240000.0,104121434000.0,104138160000.0,104239000000.0
2023.0,104159764000.0,105352370000.0,104189610000.0,104064560000.0,104075060000.0,104191540000.0
2024.0,104519614000.0,104514806000.0,104236550000.0,104050360000.0,104071315000.0,104442085000.0
2025.0,104161980000.0,104326840000.0,104058290000.0,103978140000.0,103979280000.0,104617665000.0
2026.0,104052590000.0,104170980000.0,104013250000.0,103916080000.0,103939310000.0,104253770000.0
2027.0,104010650000.0,104108720000.0,103980120000.0,103876166000.0,103875040000.0,104093060000.0
2028.0,104006090000.0,104064980000.0,103949615000.0,103820796000.0,103819350000.0,104022790000.0
2029.0,103933660000.0,104109390000.0,103879320000.0,103751475000.0,103757910000.0,104015160000.0
2030.0,103887800000.0,104017810000.0,103853490000.0,103704625000.0,103758815000.0,103923730000.0
2031.0,103820540000.0,103965810000.0,103745170000.0,103649900000.0,103705380000.0,103907254000.0
2032.0,103761100000.0,103871490000.0,103697800000.0,103670630000.0,103620910000.0,103904630000.0
2033.0,103670130000.0,103932830000.0,103987580000.0,103599420000.0,103598785000.0,103896690000.0
2034.0,103607400000.0,103852850000.0,103640646000.0,103580480000.0,103536290000.0,103788920000.0
2035.0,103559750000.0,103778760000.0,103559790000.0,103475580000.0,103636220000.0,103797630000.0
2036.0,103466340000.0,103704710000.0,103515850000.0,103399604000.0,103447800000.0,103725480000.0
2037.0,103366520000.0,103602740000.0,103471130000.0,103418840000.0,103561050000.0,103730470000.0
2038.0,103298170000.0,103543380000.0,103389320000.0,103596360000.0,103417880000.0,103707330000.0
2039.0,103249396000.0,103713686000.0,103279820000.0,103356375000.0,103470750000.0,103585180000.0
2040.0,103124345000.0,103509205000.0,103255920000.0,103217030000.0,103396250000.0,103513270000.0
2041.0,103007750000.0,103364670000.0,103257790000.0,103114880000.0,103252435000.0,103438480000.0
2042.0,102960770000.0,103286370000.0,103116600000.0,103090030000.0,103152410000.0,103377680000.0
2043.0,102842490000.0,103247230000.0,102981820000.0,103020446000.0,103279140000.0,103293100000.0
2044.0,102706410000.0,103260320000.0,102905430000.0,102870380000.0,103019530000.0,103175360000.0
2045.0,102586515000.0,103085480000.0,102871050000.0,102750830000.0,102919960000.0,103122070000.0
2046.0,102562120000.0,102966170000.0,102859920000.0,102759610000.0,102814360000.0,103018760000.0
2047.0,102436720000.0,102836460000.0,102813080000.0,102601515000.0,102761080000.0,102928286000.0
2048.0,102324600000.0,102887060000.0,102716604000.0,102488740000.0,102684380000.0,102770330000.0
