time,GFDL-ESM2G,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0
2001.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0
2002.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0
2003.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0
2004.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0
2005.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0
2006.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0
2007.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0
2008.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0
2009.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0
2010.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0
2011.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0
2012.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0
2013.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0
2014.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0
2015.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0
2016.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0
2017.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0
2018.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0
2019.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0
2020.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0
2021.0,14088554000.0,14046865000.0,14091361000.0,14052917000.0,14093551000.0,14038514000.0,14018443000.0,14018251000.0
2022.0,13915154000.0,13890218000.0,13892343000.0,13949763000.0,13925864000.0,14006730000.0,13973329000.0,13811171000.0
2023.0,13829967000.0,13730169000.0,13770419000.0,13957543000.0,13868891000.0,13891613000.0,13912415000.0,13730564000.0
2024.0,13559702000.0,13538816000.0,13640253000.0,13897325000.0,13712597000.0,13750946000.0,13780513000.0,13570018000.0
2025.0,13441438000.0,13564033000.0,13564155000.0,13689137000.0,13651939000.0,13866663000.0,13664755000.0,13409975000.0
2026.0,13277913000.0,13337453000.0,13412273000.0,13629023000.0,13479419000.0,13646563000.0,13560057000.0,13213039000.0
2027.0,13250854000.0,13187028000.0,13335870000.0,13523575000.0,13392066000.0,13490383000.0,13471840000.0,13008052000.0
2028.0,13118943000.0,13515754000.0,13457602000.0,13622747000.0,13275732000.0,13370683000.0,13351976000.0,12884977000.0
2029.0,13113565000.0,13078782000.0,13089475000.0,13442900000.0,13132997000.0,13216396000.0,13188312000.0,12609451000.0
2030.0,12994519000.0,12893496000.0,13023672000.0,13256993000.0,12900434000.0,13077878000.0,13084477000.0,12307550000.0
2031.0,12620765000.0,12741345000.0,12827695000.0,13098644000.0,12895333000.0,12931396000.0,13003684000.0,12071129000.0
2032.0,12356710000.0,12575581000.0,12694358000.0,12900393000.0,12567990000.0,12771305000.0,12901852000.0,11893616000.0
2033.0,12196212000.0,12494023000.0,12545606000.0,12731264000.0,12516098000.0,12593580000.0,12921547000.0,11630832000.0
2034.0,12098504000.0,12426052000.0,13172642000.0,12545722000.0,12226124000.0,12417480000.0,12732776000.0,11372182000.0
2035.0,11879165000.0,12274668000.0,12775117000.0,12438638000.0,12030418000.0,12299508000.0,12534883000.0,11196842000.0
2036.0,11681992000.0,12139697000.0,12498603000.0,12215568000.0,11798646000.0,12078490000.0,12379447000.0,10888315000.0
2037.0,11667720000.0,11890480000.0,12330756000.0,12095118000.0,11565954000.0,11987217000.0,12351850000.0,10717578000.0
2038.0,11404827000.0,11746312000.0,11988834000.0,11899062000.0,11323379000.0,11789710000.0,12263421000.0,10332839000.0
