time,CSIRO-MK3-6-0,NORESM1-M,CNRM-CM5,MPI-ESM-LR,GFDL-ESM2G,CCSM4,CANESM2,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0,15576264000.0
2001.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0,15102417000.0
2002.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0,15044024000.0
2003.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0,14940723000.0
2004.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0,14872392000.0
2005.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0,14869054000.0
2006.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0,15000864000.0
2007.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0,14851621000.0
2008.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0,15156632000.0
2009.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0,14941533000.0
2010.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0,14808079000.0
2011.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0,14904141000.0
2012.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0,14904653000.0
2013.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0,14762543000.0
2014.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0,14554026000.0
2015.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0,14485633000.0
2016.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0,14389891000.0
2017.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0,14352677000.0
2018.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0,14282586000.0
2019.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0,14208083000.0
2020.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0,14132315000.0
2021.0,14091366000.0,14108598000.0,14050054000.0,14019205000.0,14018385000.0,14039425000.0,13995798000.0,14088625000.0,14197323000.0,14027088000.0
2022.0,14155297000.0,14086629000.0,13932368000.0,13900996000.0,14008904000.0,13967697000.0,13938514000.0,14200084000.0,13953757000.0,14055205000.0
2023.0,14311292000.0,13935823000.0,13854836000.0,13775367000.0,13927111000.0,13790448000.0,13834629000.0,13948245000.0,13882127000.0,13888793000.0
2024.0,14060569000.0,13881951000.0,13808711000.0,13704031000.0,13675582000.0,13484117000.0,13745942000.0,13840422000.0,13763424000.0,13702002000.0
2025.0,13879824000.0,14113821000.0,13796548000.0,13624837000.0,13513782000.0,13354520000.0,13598502000.0,13727550000.0,13647642000.0,13643731000.0
2026.0,13707197000.0,13791598000.0,13885378000.0,13518839000.0,13550768000.0,13093020000.0,13461388000.0,13658622000.0,13477759000.0,13436243000.0
2027.0,13771753000.0,13556296000.0,13591839000.0,13360487000.0,13413318000.0,12788115000.0,13412423000.0,13540681000.0,13318825000.0,13194535000.0
2028.0,13624498000.0,13400669000.0,13361468000.0,13251917000.0,13224522000.0,12684187000.0,13581323000.0,13461638000.0,13099293000.0,12919109000.0
2029.0,13369862000.0,13326348000.0,13182965000.0,13302017000.0,13146029000.0,12314074000.0,13169166000.0,13704033000.0,12906136000.0,12721773000.0
2030.0,13311248000.0,13008175000.0,12981790000.0,13445271000.0,12807699000.0,11946991000.0,13207205000.0,13477294000.0,12664311000.0,12496887000.0
2031.0,13117267000.0,12873541000.0,12797886000.0,13223163000.0,12573654000.0,11812066000.0,12829149000.0,13281335000.0,12395941000.0,12155950000.0
2032.0,12918090000.0,12624038000.0,12670458000.0,13419353000.0,12463864000.0,11468607000.0,12681644000.0,13163661000.0,12136864000.0,11963664000.0
2033.0,12825287000.0,12485081000.0,12537886000.0,12940218000.0,12474207000.0,11057360000.0,12406645000.0,12947619000.0,11764405000.0,11688365000.0
2034.0,12711747000.0,12312944000.0,12373926000.0,12945786000.0,11960067000.0,10687565000.0,12307686000.0,12868287000.0,11940403000.0,11362862000.0
2035.0,12575548000.0,12052488000.0,12175930000.0,12552112000.0,11717368000.0,10324315000.0,12029464000.0,12739300000.0,11435536000.0,11283380000.0
2036.0,12538228000.0,11918425000.0,11847218000.0,12424872000.0,11410591000.0,9766692000.0,11717877000.0,12636861000.0,11021940000.0,10777609000.0
2037.0,12314246000.0,11513676000.0,11627759000.0,12213577000.0,11423984000.0,9498545000.0,11448032000.0,12528609000.0,10685961000.0,10450809000.0
2038.0,12044558000.0,11331256000.0,11414124000.0,11950084000.0,11020928000.0,9096063000.0,11161838000.0,12442356000.0,10403001000.0,10087971000.0
2039.0,11931385000.0,11059277000.0,11150737000.0,11848306000.0,10718947000.0,8603429000.0,11011327000.0,12242459000.0,10070490000.0,9667723000.0
2040.0,11649569000.0,10810371000.0,10836296000.0,11660305000.0,10401883000.0,8329934000.0,10763741000.0,12038823000.0,9959274000.0,9295495000.0
2041.0,11386442000.0,10580860000.0,10650698000.0,11476476000.0,10113829000.0,7995182000.0,10551496000.0,11792613000.0,9508364000.0,9070910000.0
2042.0,11069237000.0,10273388000.0,10459554000.0,11238182000.0,9895090000.0,7716487700.0,10229316000.0,11518783000.0,9268402000.0,8592657000.0
2043.0,10839956000.0,10036432000.0,10384793000.0,11002762000.0,9713760000.0,7428197000.0,9949313000.0,11300457000.0,8838242000.0,8335208000.0
2044.0,10598347000.0,9729473000.0,10310175000.0,10726394000.0,9520170000.0,7070659000.0,9642463000.0,11172024000.0,8469330400.0,7926710000.0
2045.0,10568523000.0,9300431000.0,10219704000.0,10520436000.0,9272659000.0,6737115600.0,9394121000.0,10963130000.0,8051658000.0,7570249700.0
2046.0,10054911000.0,8990121000.0,9960773000.0,10434255000.0,8983197000.0,6347600000.0,9383588000.0,10793136000.0,7545323000.0,7254758400.0
2047.0,9644001000.0,8600352000.0,9711635000.0,10078653000.0,8787329000.0,6263714000.0,8786438000.0,10617073000.0,7371410400.0,6885836300.0
2048.0,9371901000.0,8301357000.0,9456460000.0,9868227000.0,8505076000.0,5979638000.0,8395478000.0,10387571000.0,7018617000.0,6527088600.0
2049.0,8963899000.0,8017992000.0,9221052000.0,9742071000.0,8216698400.0,5723859500.0,8049188400.0,10121440000.0,6574505000.0,6184625700.0
2050.0,8683859000.0,7678788600.0,9028300000.0,9495005000.0,8064517600.0,5437023700.0,7713512400.0,9886917000.0,6226448000.0,5862541000.0
2051.0,8441914400.0,7314808000.0,8770100000.0,9367910000.0,7888151600.0,5173831000.0,7367362600.0,9632253000.0,5943976000.0,5513210400.0
2052.0,8144604700.0,7030849000.0,8598221000.0,9081506000.0,7404496400.0,4969871000.0,6963535000.0,9498402000.0,5704643000.0,5240359000.0
2053.0,7725271600.0,6792963000.0,8321128400.0,8892044000.0,7159168000.0,4798804500.0,6660736500.0,9226695000.0,5424668000.0,4965727700.0
2054.0,7349915600.0,6413026000.0,8178975000.0,8678436000.0,7002199600.0,4640458000.0,6281465000.0,9005522000.0,5142810000.0,4704880000.0
2055.0,7041648600.0,6079347700.0,7997027300.0,8485219300.0,6739880400.0,4462195000.0,6049829000.0,8780113000.0,4911695400.0,4538821600.0
2056.0,6701863400.0,5845062000.0,7786049000.0,8050110500.0,6453393400.0,4266360600.0,5756737000.0,8587813000.0,4646215700.0,4336755700.0
2057.0,6395271700.0,5655275000.0,7513744400.0,7801831400.0,6228095000.0,4065912600.0,5487819000.0,8307629000.0,4375676400.0,4066570800.0
2058.0,6035631000.0,5474624500.0,7243753500.0,7577419300.0,5980250600.0,3927896300.0,5230269400.0,8104341500.0,4181749800.0,3881039400.0
2059.0,5880775700.0,5278162000.0,7190725600.0,7383665700.0,5778308000.0,3782913500.0,5082556000.0,7888678400.0,3981286100.0,3641824500.0
