time,GFDL-ESM2G,CNRM-CM5,MPI-ESM-LR,CSIRO-MK3-6-0,NORESM1-M,CCSM4,IPSL-CM5A-LR,GISS-E2-R,CANESM2,CESM1-CAM5,GFDL-CM3
2033.0,12958910000.0,12581211000.0,12540532000.0,12951288000.0,12512311000.0,12575094000.0,12366012000.0,12598782000.0,12041433000.0,12729729000.0,11726486000.0
2034.0,13065786000.0,12369386000.0,12443991000.0,12768907000.0,12287774000.0,12385246000.0,12160488000.0,12316520000.0,11717921000.0,12437756000.0,11336645000.0
2035.0,12925938000.0,12137368000.0,12144078000.0,12592644000.0,12074881000.0,12255636000.0,11964537000.0,12175452000.0,11521373000.0,12197081000.0,11092780000.0
2036.0,12740114000.0,11901276000.0,11984651000.0,12467480000.0,11891496000.0,12183921000.0,11696424000.0,12014133000.0,11230220000.0,11978281000.0,10855400000.0
2037.0,12528758000.0,11672674000.0,11769193000.0,12276995000.0,11750116000.0,11947416000.0,11470639000.0,11771758000.0,10921702000.0,11694341000.0,10526192000.0
2038.0,12413394000.0,11463464000.0,11642696000.0,12019359000.0,11330633000.0,11824290000.0,11218590000.0,11592273000.0,10662103000.0,11461842000.0,10188820000.0
2039.0,12221002000.0,11277972000.0,11423973000.0,11901769000.0,11091679000.0,11823662000.0,10920472000.0,11342603000.0,10270612000.0,11259181000.0,9994145000.0
2040.0,12111478000.0,11031449000.0,11131938000.0,11649077000.0,10843379000.0,11585033000.0,10690556000.0,11249159000.0,10139226000.0,11153332000.0,9700862000.0
2041.0,12096978000.0,10884553000.0,10958522000.0,11399337000.0,10611241000.0,11591381000.0,10352388000.0,11062030000.0,9900394000.0,10741327000.0,9359842000.0
2042.0,12331763000.0,10571230000.0,10802843000.0,11166220000.0,10311716000.0,11336894000.0,10024999000.0,11275060000.0,9479483000.0,10574768000.0,8929306000.0
2043.0,12025782000.0,10317703000.0,10669408000.0,10943457000.0,10036576000.0,11252083000.0,9736345000.0,10752477000.0,9223508000.0,10702364000.0,8643234000.0
