time,CAMS-CSM1-0,INM-CM5-0,CANESM5,BCC-CSM2-MR,ACCESS-ESM1-5,NORESM2-MM,CESM2,GFDL-ESM4,FGOALS-F3-L,ACCESS-CM2,IPSL-CM6A-LR,MPI-ESM1-2-HR,CESM2-WACCM,EC-EARTH3-VEG,INM-CM4-8,EC-EARTH3,MRI-ESM2-0
2000.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0
2011.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0
2012.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0
2013.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0
2014.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0
2015.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0
2016.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0
2017.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0
2018.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0
2019.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0
2020.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0
2021.0,2284242400.0,2317691100.0,2264494600.0,2305769700.0,2260939500.0,2253235200.0,2280638000.0,2307984000.0,2311173600.0,2239264800.0,2264315000.0,2255780000.0,2293057500.0,2277944000.0,2349736400.0,2233514800.0,2233256000.0
2022.0,2246873600.0,2335455500.0,2214604000.0,2255715300.0,2257231400.0,2227451100.0,2295000600.0,2306878000.0,2275897600.0,2213749000.0,2241525500.0,2308176600.0,2228250000.0,2209520600.0,2340419800.0,2192949500.0,2204853500.0
2023.0,2240631300.0,2259317200.0,2195609600.0,2247121200.0,2225004000.0,2220650200.0,2216246300.0,2271752200.0,2257542000.0,2225440000.0,2245829400.0,2253819400.0,2202394600.0,2199357200.0,2266371300.0,2144523300.0,2180481800.0
2024.0,2232249600.0,2332417500.0,2188024000.0,2195759400.0,2183452200.0,2163069200.0,2229992700.0,2230904000.0,2196161500.0,2187366000.0,2202119000.0,2218575400.0,2176420000.0,2162339300.0,2218087200.0,2107085700.0,2165919200.0
2025.0,2258388500.0,2235456800.0,2115552500.0,2202321400.0,2226964700.0,2215790600.0,2164613600.0,2199510800.0,2160570000.0,2155896000.0,2200549000.0,2180794600.0,2177414700.0,2148327400.0,2188782300.0,2065246800.0,2131941800.0
2026.0,2176081400.0,2161908700.0,2081604200.0,2177541600.0,2130280300.0,2127434400.0,2133358300.0,2194261000.0,2121335400.0,2090664300.0,2143596400.0,2131655800.0,2111916400.0,2125104500.0,2204092400.0,2020138600.0,2111346800.0
2027.0,2123568800.0,2135353700.0,2047802400.0,2147466900.0,2100351100.0,2087019600.0,2133094900.0,2147569000.0,2103072400.0,2066950700.0,2123100400.0,2102972400.0,2115479800.0,2074229200.0,2192185000.0,1959926000.0,2061938000.0
2028.0,2187966700.0,2167143400.0,2027470200.0,2165874200.0,2063286100.0,2074884700.0,2087320300.0,2127106700.0,2105642000.0,2021677800.0,2143998700.0,2080611700.0,2080447700.0,2032888600.0,2176375600.0,1895025700.0,2114121300.0
2029.0,2289232600.0,2084511000.0,1969394800.0,2232826600.0,2082766000.0,2050628500.0,2069793000.0,2127107500.0,2052120400.0,2016991900.0,2160658400.0,2066704400.0,2059060600.0,2001915600.0,2166648800.0,1858910700.0,2021993500.0
2030.0,2245057300.0,2061951100.0,1943484300.0,2085175000.0,1991319400.0,1995948300.0,2060062500.0,2070432000.0,2027743200.0,1960172700.0,2100864500.0,2067877200.0,2039606400.0,1953509500.0,2092966300.0,1803993300.0,1973266700.0
2031.0,2203145700.0,2005931500.0,1882765400.0,2077663600.0,1957438800.0,2037882600.0,2034121000.0,2048428200.0,2001089300.0,1965602600.0,2078411000.0,2041335800.0,1988566800.0,1898660700.0,2075685900.0,1733811100.0,1951502200.0
