time,MRI-ESM2-0,CESM2-WACCM,CANESM5,IPSL-CM6A-LR
2000.0,2514140700.0,2514140700.0,2514140700.0,2514140700.0
2001.0,2501585700.0,2501585700.0,2501585700.0,2501585700.0
2002.0,2571524600.0,2571524600.0,2571524600.0,2571524600.0
2003.0,2539707000.0,2539707000.0,2539707000.0,2539707000.0
2004.0,2479636500.0,2479636500.0,2479636500.0,2479636500.0
2005.0,2515465000.0,2515465000.0,2515465000.0,2515465000.0
2006.0,2462509800.0,2462509800.0,2462509800.0,2462509800.0
2007.0,2452713000.0,2452713000.0,2452713000.0,2452713000.0
2008.0,2426186000.0,2426186000.0,2426186000.0,2426186000.0
2009.0,2415670300.0,2415670300.0,2415670300.0,2415670300.0
2010.0,2458034200.0,2458034200.0,2458034200.0,2458034200.0
2011.0,2438429200.0,2438429200.0,2438429200.0,2438429200.0
2012.0,2380191200.0,2380191200.0,2380191200.0,2380191200.0
2013.0,2406167300.0,2406167300.0,2406167300.0,2406167300.0
2014.0,2395170800.0,2395170800.0,2395170800.0,2395170800.0
2015.0,2365068300.0,2365068300.0,2365068300.0,2365068300.0
2016.0,2337163800.0,2337163800.0,2337163800.0,2337163800.0
2017.0,2293793800.0,2293793800.0,2293793800.0,2293793800.0
2018.0,2331189000.0,2331189000.0,2331189000.0,2331189000.0
2019.0,2288971300.0,2288971300.0,2288971300.0,2288971300.0
2020.0,2312613600.0,2312613600.0,2312613600.0,2312613600.0
2021.0,2238178800.0,2267112700.0,2261313800.0,2300949000.0
2022.0,2228323300.0,2310484000.0,2228855000.0,2247842800.0
2023.0,2188059000.0,2247956200.0,2194363600.0,2236107300.0
2024.0,2155402000.0,2236727000.0,2215731700.0,2204982800.0
2025.0,2116429300.0,2188959500.0,2174956800.0,2187806500.0
2026.0,2075724300.0,2165811700.0,2135359600.0,2134835500.0
2027.0,2036536800.0,2140245200.0,2083162800.0,2112622600.0
2028.0,2001841200.0,2087878800.0,2044656500.0,2062007400.0
2029.0,1951575000.0,2059237000.0,2003598600.0,2039221100.0
2030.0,1922810400.0,2068771800.0,1958574500.0,1989932200.0
2031.0,1876641500.0,2013776300.0,1911113000.0,1961315700.0
2032.0,1816623600.0,1964462300.0,1857098200.0,1967983700.0
2033.0,1764837200.0,1940473500.0,1800290400.0,1915225100.0
2034.0,1718169100.0,1893219300.0,1751344000.0,1840471000.0
2035.0,1668712200.0,1854895200.0,1715479300.0,1808951900.0
2036.0,1641004000.0,1806613800.0,1669228000.0,1753543200.0
2037.0,1581445100.0,1753698400.0,1595244800.0,1763751800.0
2038.0,1511117800.0,1732080800.0,1528056200.0,1690227300.0
2039.0,1432968300.0,1677770900.0,1479885800.0,1669924600.0
2040.0,1395459600.0,1627669800.0,1420948000.0,1601593100.0
2041.0,1369360000.0,1586135900.0,1358982000.0,1528413700.0
2042.0,1269516400.0,1529409800.0,1308970100.0,1465522600.0
2043.0,1210145500.0,1475709000.0,1240688400.0,1397519000.0
2044.0,1170025300.0,1430596900.0,1174387000.0,1340179300.0
2045.0,1115616300.0,1379527000.0,1114608600.0,1271452400.0
2046.0,1070775800.0,1317738100.0,1052116800.0,1214500200.0
2047.0,1062495400.0,1266385900.0,994019840.0,1163896200.0
2048.0,1004666240.0,1205627000.0,936367740.0,1109230100.0
2049.0,962774800.0,1153182200.0,889910000.0,1057158900.0
2050.0,915365700.0,1102635900.0,831628700.0,1004201340.0
2051.0,868331650.0,1050618240.0,773722200.0,939979700.0
2052.0,858138050.0,998450300.0,736856960.0,888152060.0
2053.0,805786430.0,949752900.0,696965760.0,847104960.0
2054.0,772687900.0,904542660.0,649820500.0,840600000.0
2055.0,742447500.0,867404350.0,623081340.0,747142850.0
2056.0,719113800.0,824894340.0,583344100.0,708588500.0
