time,CESM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3,CAMS-CSM1-0,MRI-ESM2-0,MPI-ESM1-2-HR,INM-CM5-0,CESM2-WACCM,GFDL-ESM4,EC-EARTH3-VEG
2024.0,2722746600000.0,2700618200000.0,2707390500000.0,2733952200000.0,2729446000000.0,2650141000000.0,2750979000000.0,2693140800000.0,2694859700000.0,2718822600000.0,2729875600000.0,2696662000000.0,2723664600000.0
2025.0,2704150400000.0,2680855000000.0,2698039000000.0,2724088500000.0,2731535500000.0,2614246800000.0,2740508700000.0,2680432400000.0,2669270000000.0,2703230500000.0,2718314500000.0,2695240000000.0,2721738700000.0
2026.0,2703420000000.0,2646168600000.0,2681525800000.0,2723146000000.0,2715624700000.0,2581926000000.0,2722728000000.0,2668638800000.0,2658687000000.0,2687513700000.0,2684115500000.0,2690057200000.0,2737289300000.0
2027.0,2687004000000.0,2620919000000.0,2687345000000.0,2717811700000.0,2703087000000.0,2545238100000.0,2698115500000.0,2649262000000.0,2639378000000.0,2681522000000.0,2666867200000.0,2682195300000.0,2715848500000.0
2028.0,2666476600000.0,2608882300000.0,2681633500000.0,2695396900000.0,2693015800000.0,2521167000000.0,2687491600000.0,2624866200000.0,2614086600000.0,2669164000000.0,2657381300000.0,2656501000000.0,2708908000000.0
2029.0,2651296600000.0,2573642200000.0,2672452000000.0,2683019000000.0,2675193000000.0,2492079000000.0,2672531600000.0,2591975300000.0,2591243600000.0,2651632000000.0,2653060900000.0,2641393600000.0,2693364400000.0
2030.0,2647872500000.0,2542160600000.0,2662955500000.0,2674077000000.0,2649871000000.0,2449684000000.0,2653853000000.0,2575659200000.0,2569888300000.0,2619144700000.0,2637030000000.0,2638531000000.0,2688332900000.0
2031.0,2626619400000.0,2521137700000.0,2650024700000.0,2647803600000.0,2627122500000.0,2410864400000.0,2635638800000.0,2551486000000.0,2564873800000.0,2604628000000.0,2613276600000.0,2624546700000.0,2667046800000.0
2032.0,2596255600000.0,2500712200000.0,2639406600000.0,2627258300000.0,2609661600000.0,2366187800000.0,2637305700000.0,2528022400000.0,2560594500000.0,2595732300000.0,2614430800000.0,2604058300000.0,2651911600000.0
2033.0,2577927000000.0,2478921000000.0,2635946000000.0,2600998800000.0,2600793500000.0,2330264600000.0,2632987200000.0,2521951400000.0,2541043000000.0,2564688000000.0,2613316000000.0,2593645700000.0,2651709200000.0
2034.0,2558137000000.0,2458941700000.0,2610818000000.0,2572936000000.0,2598742000000.0,2288448700000.0,2615612000000.0,2497003400000.0,2530784300000.0,2545496600000.0,2590525000000.0,2580725000000.0,2618177400000.0
2035.0,2542955100000.0,2414279400000.0,2587119600000.0,2542634300000.0,2576117700000.0,2245578500000.0,2605141200000.0,2475075300000.0,2523851000000.0,2517328200000.0,2565718100000.0,2558712300000.0,2594873500000.0
2036.0,2517822600000.0,2396921000000.0,2573281000000.0,2512516500000.0,2557180000000.0,2201354500000.0,2599760400000.0,2448342000000.0,2517902300000.0,2488250700000.0,2549891000000.0,2543520800000.0,2595430300000.0
2037.0,2489962500000.0,2371239800000.0,2582709300000.0,2485626900000.0,2548175700000.0,2148232600000.0,2575511300000.0,2426634000000.0,2505541200000.0,2466001200000.0,2524000300000.0,2540540800000.0,2601549300000.0
2038.0,2475551000000.0,2336774200000.0,2555101300000.0,2468918300000.0,2547985000000.0,2117302000000.0,2559009600000.0,2403939400000.0,2475707000000.0,2437272600000.0,2507318800000.0,2520679200000.0,2572998000000.0
