time,CANESM5,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0
2085.0,1036586700000.0,1441165900000.0,1430079000000.0,1321736600000.0
2086.0,1031196840000.0,1434012600000.0,1421072400000.0,1317420900000.0
2087.0,1025753300000.0,1435509000000.0,1409940500000.0,1306600500000.0
2088.0,1044696200000.0,1434447600000.0,1398251000000.0,1308052400000.0
2089.0,1037991350000.0,1423313100000.0,1388919000000.0,1302943200000.0
2090.0,1022345200000.0,1421255600000.0,1386003700000.0,1297851600000.0
2091.0,1005159500000.0,1415983800000.0,1384943700000.0,1295397700000.0
2092.0,1001164100000.0,1411341100000.0,1376872300000.0,1293392800000.0
2093.0,994362600000.0,1407514600000.0,1360450000000.0,1284975400000.0
2094.0,986575500000.0,1403811800000.0,1348942200000.0,1281544200000.0
2095.0,978351550000.0,1401501800000.0,1338731800000.0,1280925400000.0
2096.0,976960600000.0,1399893400000.0,1328767600000.0,1279577400000.0
2097.0,966301000000.0,1397634100000.0,1317269000000.0,1265655600000.0
2098.0,960628460000.0,1382759000000.0,1311829800000.0,1261318400000.0
2099.0,955651060000.0,1375605800000.0,1309208000000.0,1262436400000.0
2100.0,955389100000.0,1371638600000.0,1304551900000.0,1263103800000.0
