time,GFDL-ESM2G,GFDL-CM3,GISS-E2-R,CESM1-CAM5,CSIRO-MK3-6-0,IPSL-CM5A-LR,CCSM4,NORESM1-M
2000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0,135676030000.0
2001.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0,136026680000.0
2002.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0,136196020000.0
2003.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0,135582000000.0
2004.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0,135672770000.0
2005.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0,135428110000.0
2006.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0,135267710000.0
2007.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0,135123480000.0
2008.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0,135177720000.0
2009.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0,135103720000.0
2010.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0,134918910000.0
2011.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0,134804710000.0
2012.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0,134926115000.0
2013.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0,135453900000.0
2014.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0,134851910000.0
2015.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0,135548985000.0
2016.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0,134864910000.0
2017.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0,134483740000.0
2018.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0,134644730000.0
2019.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0,134577810000.0
2020.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0,134579536000.0
2021.0,134705250000.0,135594430000.0,134707356000.0,134857750000.0,134510000000.0,134267000000.0,134761460000.0,134564545000.0
2022.0,134318510000.0,134582690000.0,134330740000.0,134681960000.0,134489190000.0,134289680000.0,134805030000.0,134521070000.0
2023.0,134279030000.0,134607544000.0,134242890000.0,134595360000.0,134416200000.0,134345425000.0,134157790000.0,134206770000.0
2024.0,134122240000.0,134585550000.0,134123960000.0,134671320000.0,134156160000.0,134399430000.0,134144060000.0,134322020000.0
2025.0,134310584000.0,134603340000.0,133810490000.0,134502466000.0,134033710000.0,133950620000.0,133855670000.0,134849260000.0
2026.0,134614020000.0,135232490000.0,133819510000.0,134151820000.0,133840170000.0,133702790000.0,134003860000.0,134441600000.0
2027.0,135096630000.0,135865246000.0,133928714000.0,134227780000.0,133930020000.0,134411940000.0,133682390000.0,134226410000.0
2028.0,135164960000.0,138047240000.0,134415065000.0,133801810000.0,133529040000.0,133911570000.0,133668585000.0,134456230000.0
2029.0,134585475000.0,137092020000.0,134508790000.0,133883470000.0,133359935000.0,134417430000.0,133626750000.0,134143070000.0
2030.0,133889925000.0,135851230000.0,133951270000.0,133346460000.0,133754920000.0,133644670000.0,133384990000.0,133578980000.0
2031.0,133920550000.0,136285840000.0,134322880000.0,133319156000.0,133349786000.0,133807620000.0,133386390000.0,133644160000.0
2032.0,133545410000.0,136141720000.0,133639676000.0,135101780000.0,133198980000.0,133465540000.0,133480006000.0,133582496000.0
2033.0,133502350000.0,137011770000.0,133324060000.0,133556675000.0,133305760000.0,133242410000.0,132998160000.0,133430215000.0
2034.0,133581955000.0,137432990000.0,133016080000.0,133068930000.0,133186510000.0,133144780000.0,132784490000.0,133299110000.0
2035.0,133785485000.0,135945430000.0,133446885000.0,132980250000.0,132896980000.0,133028545000.0,132681010000.0,133224776000.0
2036.0,133528850000.0,135333370000.0,133372730000.0,133289430000.0,132906290000.0,132867050000.0,132811510000.0,133286630000.0
2037.0,133325750000.0,136029480000.0,133014300000.0,132428145000.0,132980880000.0,132544770000.0,132768290000.0,132780480000.0
2038.0,133931400000.0,138229890000.0,132952580000.0,132457480000.0,132922474000.0,132783390000.0,132514005000.0,132956830000.0
2039.0,133548745000.0,137144660000.0,132864460000.0,132140260000.0,133060400000.0,133275210000.0,132436810000.0,132637606000.0
2040.0,133459804000.0,136007975000.0,133814490000.0,132143380000.0,132888265000.0,133188846000.0,132601740000.0,132886620000.0
2041.0,133026590000.0,135484490000.0,132760830000.0,132248535000.0,132783505000.0,133639274000.0,132389930000.0,132651850000.0
2042.0,132943544000.0,134915590000.0,132443060000.0,131836330000.0,132556560000.0,132976845000.0,132410750000.0,132430550000.0
2043.0,132973900000.0,134685794000.0,132945420000.0,131941410000.0,132113870000.0,132456645000.0,131982790000.0,132414005000.0
