time,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR
2000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0,3311341100000.0
2001.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0,3305515800000.0
2002.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0,3293289000000.0
2003.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0,3288496300000.0
2004.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0,3299530500000.0
2005.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0,3302749000000.0
2006.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0,3296227200000.0
2007.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0,3274697300000.0
2008.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0,3254550300000.0
2009.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0,3231259000000.0
2010.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0,3216670700000.0
2011.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0,3214652700000.0
2012.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0,3194673400000.0
2013.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0,3170552300000.0
2014.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0,3158403400000.0
2015.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0,3148173000000.0
2016.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0,3136370200000.0
2017.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0,3127282800000.0
2018.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0,3120683800000.0
2019.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0,3107511900000.0
2020.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0,3095173300000.0
2021.0,3046990000000.0,3084122600000.0,3070274800000.0,3068313200000.0,3090153700000.0
2022.0,3008303200000.0,3048427000000.0,3032460800000.0,3035726000000.0,3075460300000.0
2023.0,2964414000000.0,2996458000000.0,2987227600000.0,3006490700000.0,3058337800000.0
2024.0,2901530400000.0,2961231800000.0,2935309700000.0,2966037700000.0,3018695000000.0
2025.0,2839567000000.0,2929698300000.0,2903711700000.0,2958941500000.0,2978774300000.0
2026.0,2784031700000.0,2897575700000.0,2875372900000.0,2921081900000.0,2963735000000.0
2027.0,2728225100000.0,2846145600000.0,2816589200000.0,2892054700000.0,2932466500000.0
2028.0,2676830800000.0,2813642000000.0,2778151000000.0,2858454400000.0,2904189000000.0
2029.0,2639010200000.0,2786861800000.0,2728238300000.0,2828787300000.0,2889728000000.0
2030.0,2584876700000.0,2737314500000.0,2698453500000.0,2795432800000.0,2861428400000.0
2031.0,2544521000000.0,2720876700000.0,2657365000000.0,2757814400000.0,2826117600000.0
2032.0,2504345300000.0,2696361500000.0,2606348600000.0,2729442500000.0,2792083200000.0
2033.0,2434302000000.0,2656291500000.0,2563077300000.0,2706929000000.0,2760121800000.0
2034.0,2394440300000.0,2637504400000.0,2527771800000.0,2688143300000.0,2725164600000.0
2035.0,2333337200000.0,2589267000000.0,2486606800000.0,2670260600000.0,2680165200000.0
2036.0,2290936000000.0,2563462000000.0,2436870700000.0,2678150400000.0,2625856000000.0
