time,GFDL-ESM2G,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CCSM4,CSIRO-MK3-6-0,GISS-E2-R
2000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0,888854540000.0
2001.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0,888371700000.0
2002.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0,885797700000.0
2003.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0,883616900000.0
2004.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0,879389400000.0
2005.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0,875579800000.0
2006.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0,865824740000.0
2007.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0,853473950000.0
2008.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0,843127850000.0
2009.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0,840894200000.0
2010.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0,822763300000.0
2011.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0,810281100000.0
2012.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0,804757900000.0
2013.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0,791737800000.0
2014.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0,787476000000.0
2015.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0,775780760000.0
2016.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0,770392400000.0
2017.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0,760659640000.0
2018.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0,752613650000.0
2019.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0,740856760000.0
2020.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0,733334340000.0
2021.0,724332100000.0,730441000000.0,708508060000.0,734679330000.0,720970700000.0,720964500000.0,729778400000.0
2022.0,714522030000.0,716066500000.0,681502400000.0,728312050000.0,711407700000.0,719188000000.0,718458200000.0
2023.0,704666860000.0,701302300000.0,660087800000.0,721986650000.0,704433400000.0,713267540000.0,710571300000.0
2024.0,689653400000.0,682841000000.0,642979860000.0,703254800000.0,692532100000.0,702333700000.0,705035000000.0
2025.0,668862300000.0,663319400000.0,623744840000.0,690979000000.0,683320930000.0,689244860000.0,690792900000.0
2026.0,656537100000.0,648015200000.0,599831000000.0,678316930000.0,673261600000.0,676327000000.0,672507560000.0
2027.0,651996800000.0,628647800000.0,579850800000.0,661069700000.0,665896900000.0,671248000000.0,659809440000.0
2028.0,641570100000.0,613648200000.0,553991400000.0,655608250000.0,663133700000.0,673979600000.0,659607600000.0
2029.0,635635200000.0,588084740000.0,536571480000.0,648917700000.0,651540400000.0,670456100000.0,660309000000.0
2030.0,632011500000.0,563133300000.0,519181530000.0,642535200000.0,643597000000.0,669025300000.0,652801900000.0
2031.0,613989550000.0,552542300000.0,498651500000.0,625833000000.0,637879800000.0,654124650000.0,646804400000.0
2032.0,606370700000.0,541749440000.0,480361780000.0,630646100000.0,630408100000.0,651290540000.0,627180900000.0
2033.0,593856200000.0,530872730000.0,468622870000.0,622723860000.0,615763000000.0,645445060000.0,615148550000.0
2034.0,588912900000.0,508120960000.0,449336740000.0,615392900000.0,605724740000.0,644338350000.0,611026200000.0
2035.0,579887700000.0,488816200000.0,426325200000.0,605881700000.0,586689600000.0,643879140000.0,604907900000.0
2036.0,568892850000.0,471510300000.0,407020670000.0,606964900000.0,580106500000.0,647905300000.0,586990940000.0
2037.0,560602350000.0,454364070000.0,396550930000.0,602093300000.0,566013800000.0,638416400000.0,587015060000.0
2038.0,548786930000.0,433427200000.0,383198300000.0,579906760000.0,557423800000.0,634806860000.0,576956000000.0
2039.0,537048120000.0,423058470000.0,370791000000.0,568673600000.0,535192960000.0,625078000000.0,567128800000.0
2040.0,531994740000.0,402551200000.0,360765130000.0,561007760000.0,526950800000.0,618161960000.0,565923200000.0
2041.0,519761850000.0,389945520000.0,345480600000.0,556707300000.0,518443270000.0,616508750000.0,558058700000.0
2042.0,512033060000.0,381813600000.0,335521840000.0,551501040000.0,509416670000.0,609614560000.0,555624370000.0
2043.0,502696300000.0,374009100000.0,318806500000.0,537918100000.0,500608930000.0,602802550000.0,547136000000.0
2044.0,490958260000.0,365319600000.0,307567230000.0,537845470000.0,492838700000.0,602472000000.0,549038300000.0
2045.0,478247420000.0,344157420000.0,293625600000.0,529383650000.0,480023450000.0,593328730000.0,546742760000.0
2046.0,470873500000.0,326921160000.0,279243360000.0,526591100000.0,467210500000.0,601900400000.0,537331370000.0
2047.0,467458950000.0,323566080000.0,270226280000.0,520013740000.0,462484280000.0,594077500000.0,524118620000.0
2048.0,457475980000.0,312104750000.0,261871190000.0,508267270000.0,452423680000.0,581098400000.0,511993740000.0
2049.0,449116050000.0,295440940000.0,247475000000.0,494825870000.0,442242530000.0,574932300000.0,507493780000.0
2050.0,438394650000.0,284083220000.0,237566700000.0,491693280000.0,431032730000.0,581477340000.0,499052200000.0
2051.0,425593860000.0,275239630000.0,230630740000.0,471999220000.0,420137200000.0,572831370000.0,490770430000.0
2052.0,411421200000.0,273664600000.0,224459000000.0,466599940000.0,414363420000.0,581716000000.0,486251330000.0
2053.0,399317170000.0,274420100000.0,215451470000.0,457115570000.0,410342400000.0,563974600000.0,477573050000.0
2054.0,403162920000.0,274437780000.0,211020780000.0,447913300000.0,394438930000.0,561044900000.0,469976120000.0
2055.0,407166350000.0,265244200000.0,203668030000.0,434619450000.0,386363360000.0,546617300000.0,460849380000.0
2056.0,398524200000.0,271678700000.0,194545450000.0,421934600000.0,377640850000.0,537378460000.0,457119040000.0
2057.0,391413430000.0,275706380000.0,187689220000.0,412966320000.0,369483700000.0,530557370000.0,454759550000.0
2058.0,384493780000.0,267581130000.0,182724120000.0,400645230000.0,359207930000.0,520444000000.0,457066100000.0
2059.0,375223260000.0,259977690000.0,178840540000.0,392039500000.0,353342750000.0,503010230000.0,456093470000.0
2060.0,371602900000.0,263710310000.0,169831270000.0,381744680000.0,350045300000.0,489750560000.0,448942700000.0
