time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4
2000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0,8737869300000.0
2001.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0,8708541600000.0
2002.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0,8681413000000.0
2003.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0,8661789300000.0
2004.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0,8631083000000.0
2005.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0,8613858000000.0
2006.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0,8611944000000.0
2007.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0,8584612500000.0
2008.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0,8543925700000.0
2009.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0,8507645500000.0
2010.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0,8468937000000.0
2011.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0,8425814600000.0
2012.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0,8392777000000.0
2013.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0,8366859500000.0
2014.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0,8344373000000.0
2015.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0,8304417300000.0
2016.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0,8266871000000.0
2017.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0,8227445500000.0
2018.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0,8208834000000.0
2019.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0,8182474000000.0
2020.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0,8145399000000.0
2021.0,8140530000000.0,8134195700000.0,8138103700000.0,8119846000000.0,8108993000000.0
2022.0,8075546700000.0,8156183000000.0,8101220000000.0,8108378700000.0,8052375000000.0
2023.0,8013852000000.0,8143622000000.0,8072977700000.0,8031447000000.0,8025825000000.0
2024.0,7992797300000.0,8107078500000.0,8021871700000.0,7984620500000.0,7958317500000.0
2025.0,7953990500000.0,8066353000000.0,7964896000000.0,7935962000000.0,7921978600000.0
2026.0,7885267000000.0,8026847000000.0,7893863600000.0,7885227000000.0,7883318600000.0
2027.0,7853256000000.0,8003672000000.0,7849156500000.0,7837921600000.0,7828614000000.0
2028.0,7805886500000.0,7973840600000.0,7788597000000.0,7787910300000.0,7784703000000.0
2029.0,7742516400000.0,7951274000000.0,7725992000000.0,7745348000000.0,7749498000000.0
2030.0,7697945000000.0,7911409500000.0,7676444000000.0,7714148000000.0,7736776000000.0
2031.0,7666769000000.0,7871147000000.0,7579135600000.0,7718153000000.0,7694778400000.0
2032.0,7592140000000.0,7832089400000.0,7552485000000.0,7676529500000.0,7642836600000.0
2033.0,7574216000000.0,7799866700000.0,7434269600000.0,7636595000000.0,7636324000000.0
2034.0,7518655300000.0,7773326000000.0,7376473000000.0,7577402300000.0,7604413000000.0
2035.0,7480775000000.0,7731656000000.0,7290807000000.0,7532143000000.0,7572092000000.0
