time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,CNRM-CM5,CESM1-CAM5,IPSL-CM5A-LR,CANESM2,NORESM1-M,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G
2000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0
2001.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0
2002.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0
2003.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0
2004.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0
2005.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0
2006.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0
2007.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0
2008.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0
2009.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0
2010.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0
2011.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0
2012.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0
2013.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0
2014.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0
2015.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0
2016.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0
2017.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0
2018.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0
2019.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0
2020.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0
2021.0,89071790000.0,89034660000.0,89402370000.0,89157130000.0,89086010000.0,88910920000.0,89084396000.0,89020285000.0,88932870000.0,89111940000.0,89671524000.0
2022.0,89002890000.0,90602680000.0,89072970000.0,89103335000.0,89119030000.0,89092870000.0,89224356000.0,89007640000.0,88676440000.0,88821660000.0,89233180000.0
2023.0,88790860000.0,89729250000.0,88966726000.0,88854690000.0,89116560000.0,91953590000.0,88702130000.0,88820530000.0,88498640000.0,88685520000.0,89313170000.0
2024.0,89191530000.0,89210480000.0,89211550000.0,90041590000.0,88835290000.0,90491900000.0,88455000000.0,88599200000.0,88420220000.0,88708200000.0,88875926000.0
2025.0,88676835000.0,89034360000.0,88809640000.0,88904840000.0,88541020000.0,90850590000.0,88480490000.0,88446280000.0,88142545000.0,88411290000.0,89077645000.0
2026.0,88478020000.0,89777865000.0,88663960000.0,88615264000.0,88351834000.0,89560105000.0,88410870000.0,88398850000.0,87958760000.0,88424140000.0,88577910000.0
