time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,GFDL-ESM2G
2000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0,90753440000.0
2001.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0,90464140000.0
2002.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0,90347380000.0
2003.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0,90107445000.0
2004.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0,89930190000.0
2005.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0,89921100000.0
2006.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0,89998090000.0
2007.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0,90331810000.0
2008.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0,89987146000.0
2009.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0,89853710000.0
2010.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0,89489285000.0
2011.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0,89368350000.0
2012.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0,89605370000.0
2013.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0,89833470000.0
2014.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0,90537665000.0
2015.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0,89637170000.0
2016.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0,90927735000.0
2017.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0,89663775000.0
2018.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0,89569940000.0
2019.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0,91341800000.0
2020.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0,89271484000.0
2021.0,89310830000.0,90351970000.0,89335100000.0,88945435000.0,88979890000.0,88987000000.0,89525530000.0
2022.0,89378800000.0,89138570000.0,88994770000.0,90502120000.0,88751645000.0,88878105000.0,89088336000.0
2023.0,89046410000.0,89219460000.0,89431155000.0,88929210000.0,88510600000.0,88750555000.0,88922430000.0
2024.0,89146860000.0,88991730000.0,88839410000.0,88556560000.0,88372040000.0,89726570000.0,88761115000.0
2025.0,89274110000.0,88497810000.0,88894050000.0,88510270000.0,88148080000.0,90261810000.0,88557494000.0
2026.0,89730570000.0,88906826000.0,88730750000.0,88569274000.0,87939210000.0,88932730000.0,88431180000.0
2027.0,89524500000.0,88301060000.0,89496880000.0,88304116000.0,87834984000.0,88538140000.0,88283450000.0
2028.0,89281070000.0,88271544000.0,89363180000.0,88789350000.0,87661120000.0,88191420000.0,88153340000.0
2029.0,89953260000.0,88307750000.0,89171894000.0,87877075000.0,87721490000.0,87857490000.0,88076970000.0
2030.0,89916010000.0,88096160000.0,88764170000.0,87957710000.0,87230325000.0,87624470000.0,88049205000.0
2031.0,88969470000.0,87703400000.0,88889280000.0,87701905000.0,86936400000.0,87454510000.0,87923670000.0
2032.0,89538340000.0,87747215000.0,88713120000.0,87270510000.0,86567910000.0,87555340000.0,87737060000.0
2033.0,88648460000.0,87472670000.0,88715305000.0,87150110000.0,86318130000.0,87248330000.0,88041456000.0
2034.0,89850585000.0,87499680000.0,88364160000.0,86738715000.0,85957810000.0,87134280000.0,87958300000.0
2035.0,89156380000.0,87339450000.0,88148600000.0,86357600000.0,85572010000.0,86647250000.0,88032805000.0
2036.0,89635820000.0,87224660000.0,90079126000.0,86071470000.0,85226990000.0,86701660000.0,87476350000.0
2037.0,88813100000.0,86954360000.0,88894640000.0,88030200000.0,84766890000.0,86233784000.0,88259674000.0
2038.0,88452506000.0,86751350000.0,88327970000.0,85747700000.0,84364700000.0,85993340000.0,87358650000.0
2039.0,88345760000.0,86495306000.0,87794270000.0,85278210000.0,84023820000.0,85926765000.0,87350220000.0
2040.0,88061714000.0,86446820000.0,87696925000.0,84733620000.0,83530710000.0,85484405000.0,87086375000.0
2041.0,87825900000.0,86428164000.0,87496060000.0,84700210000.0,83079080000.0,85611400000.0,86855520000.0
2042.0,87965295000.0,86147040000.0,87123706000.0,84157870000.0,82621950000.0,84932420000.0,86988400000.0
2043.0,88192790000.0,86587170000.0,86929930000.0,83736306000.0,82158770000.0,84438040000.0,86238446000.0
2044.0,87989200000.0,85980950000.0,86857450000.0,83492840000.0,81705610000.0,84073050000.0,86086590000.0
2045.0,87765650000.0,85800714000.0,86528470000.0,83033140000.0,81363860000.0,83862910000.0,85724990000.0
2046.0,87807810000.0,85434940000.0,86413800000.0,82970760000.0,80697200000.0,83382120000.0,85950870000.0
2047.0,87454280000.0,85122560000.0,86702530000.0,82474680000.0,80167290000.0,83128320000.0,86289730000.0
2048.0,87758630000.0,85159540000.0,86250540000.0,81796640000.0,79607930000.0,82664080000.0,85890410000.0
2049.0,87675730000.0,84669250000.0,85854175000.0,81582580000.0,78995950000.0,82234620000.0,86333110000.0
2050.0,87427010000.0,84298785000.0,85472290000.0,80795170000.0,78612000000.0,81724290000.0,85371270000.0
2051.0,87599220000.0,84025890000.0,85256510000.0,80271790000.0,77877530000.0,81492310000.0,87144464000.0
2052.0,87297360000.0,83822030000.0,85106426000.0,80210580000.0,77171390000.0,81339380000.0,85411280000.0
2053.0,87152886000.0,84857496000.0,84800690000.0,80399510000.0,76444290000.0,80637256000.0,85106300000.0
2054.0,86980340000.0,83507390000.0,84365640000.0,80900640000.0,75850860000.0,80085690000.0,84599880000.0
2055.0,86993764000.0,83317785000.0,84053800000.0,79857070000.0,75170430000.0,79455790000.0,84235610000.0
2056.0,86791750000.0,83469190000.0,84195066000.0,78709236000.0,74478370000.0,78964730000.0,83965970000.0
2057.0,86573970000.0,82819960000.0,83608650000.0,78114324000.0,73745380000.0,78444840000.0,83864180000.0
2058.0,86307710000.0,82360840000.0,83245950000.0,78517390000.0,72991870000.0,77920540000.0,83560250000.0
2059.0,86176290000.0,82028120000.0,82879770000.0,78569700000.0,72238910000.0,77382470000.0,83792536000.0
2060.0,86140264000.0,81888575000.0,82516840000.0,77498384000.0,71784430000.0,77198300000.0,82900110000.0
2061.0,85833010000.0,81667710000.0,82256620000.0,77045430000.0,71229006000.0,76367080000.0,83488520000.0
2062.0,85990270000.0,81540700000.0,81830710000.0,76549005000.0,70627350000.0,75788980000.0,82471395000.0
2063.0,85722360000.0,81104855000.0,81624736000.0,75818380000.0,69942100000.0,75307930000.0,82356470000.0
2064.0,85380290000.0,81330520000.0,81026460000.0,75211050000.0,69141740000.0,74712930000.0,81800290000.0
2065.0,85097630000.0,80628080000.0,80612835000.0,75765690000.0,68498660000.0,74136000000.0,81480080000.0
2066.0,85298040000.0,81254120000.0,80261950000.0,75153660000.0,67863930000.0,73579840000.0,81314410000.0
2067.0,85063040000.0,80737260000.0,79909904000.0,74600776000.0,67276587000.0,72984880000.0,81062140000.0
2068.0,85449490000.0,80043790000.0,79506390000.0,73789140000.0,66548703000.0,72518600000.0,80561980000.0
2069.0,84907320000.0,79997370000.0,79197260000.0,73553050000.0,66016350000.0,71995880000.0,80205430000.0
2070.0,84699726000.0,79447860000.0,79315480000.0,73177620000.0,65253544000.0,71732960000.0,80119240000.0
2071.0,84465320000.0,79168970000.0,78464220000.0,72800670000.0,64681173000.0,70822674000.0,80004020000.0
2072.0,84249600000.0,79237530000.0,78496694000.0,72601730000.0,64040680000.0,70237910000.0,79438580000.0
2073.0,84685710000.0,78726955000.0,77737090000.0,72126145000.0,63390274000.0,69986490000.0,79136014000.0
2074.0,84419430000.0,78577470000.0,77732090000.0,71524390000.0,62543868000.0,69290205000.0,79481550000.0
2075.0,83843015000.0,78174224000.0,77248100000.0,71018240000.0,61866926000.0,68580504000.0,80558690000.0
2076.0,83627530000.0,78302180000.0,76520210000.0,70526600000.0,61045694000.0,67880640000.0,78219250000.0
2077.0,83413230000.0,77894280000.0,76105120000.0,70380320000.0,60333572000.0,67176340000.0,77774020000.0
2078.0,82938490000.0,78220690000.0,75594056000.0,71080240000.0,59581608000.0,66451067000.0,77393140000.0
2079.0,82580726000.0,77255260000.0,75184620000.0,70061060000.0,58821280000.0,66647753000.0,76951250000.0
2080.0,82581020000.0,78137090000.0,74952530000.0,69053210000.0,58014730000.0,65828282000.0,77613770000.0
2081.0,82241240000.0,76931270000.0,74707510000.0,68588315000.0,57228177000.0,64823950000.0,76719770000.0
2082.0,82248680000.0,76370720000.0,73973326000.0,67982668000.0,56392030000.0,64342570000.0,76220410000.0
2083.0,81633820000.0,76181480000.0,73535324000.0,67458720000.0,55458845000.0,63616490000.0,77599515000.0
2084.0,81425020000.0,75770090000.0,73151380000.0,67050750000.0,54612080000.0,62785454000.0,75816440000.0
