time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CESM1-CAM5,GFDL-ESM2G
2000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0
2001.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0
2002.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0
2003.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0
2004.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0
2005.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0
2006.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0
2007.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0
2008.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0
2009.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0
2010.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0
2011.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0
2012.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0
2013.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0
2014.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0
2015.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0
2016.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0
2017.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0
2018.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0
2019.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0
2020.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0
2021.0,14717524000000.0,14734677000000.0,14730150000000.0,14667412000000.0,14685543000000.0,14679716000000.0,14678884000000.0,14739590000000.0
2022.0,14678677000000.0,14664722000000.0,14683649000000.0,14677906000000.0,14612929000000.0,14626687000000.0,14586177000000.0,14674477000000.0
2023.0,14621692000000.0,14617732000000.0,14671774000000.0,14600262000000.0,14515687000000.0,14567710000000.0,14500485000000.0,14616920000000.0
2024.0,14615822000000.0,14587945000000.0,14612446000000.0,14523862000000.0,14443407000000.0,14558066000000.0,14412677000000.0,14568346000000.0
2025.0,14595619000000.0,14490807000000.0,14584567000000.0,14478841000000.0,14336583000000.0,14557536000000.0,14293043000000.0,14492450000000.0
2026.0,14599034000000.0,14479961000000.0,14529635000000.0,14422427000000.0,14239340000000.0,14485343000000.0,14184586000000.0,14417256000000.0
2027.0,14606459000000.0,14400564000000.0,14532168000000.0,14381482000000.0,14177344000000.0,14420831000000.0,14088877000000.0,14329632000000.0
2028.0,14552356000000.0,14374746000000.0,14530337000000.0,14368429000000.0,14100566000000.0,14327565000000.0,13956088000000.0,14275587000000.0
2029.0,14576319000000.0,14363957000000.0,14501455000000.0,14253374000000.0,14047171000000.0,14210060000000.0,13822800000000.0,14224247000000.0
2030.0,14598024000000.0,14329143000000.0,14464305000000.0,14196417000000.0,13946294000000.0,14118470000000.0,13693799000000.0,14161030000000.0
2031.0,14529906000000.0,14232178000000.0,14459764000000.0,14134229000000.0,13857906000000.0,14052747000000.0,13559936000000.0,14127865000000.0
2032.0,14534721000000.0,14188896000000.0,14433916000000.0,14052700000000.0,13727217000000.0,14020107000000.0,13441419000000.0,14067987000000.0
2033.0,14438533000000.0,14124445000000.0,14420257000000.0,13994167000000.0,13641495000000.0,13956863000000.0,13323522000000.0,14032070000000.0
2034.0,14441989000000.0,14101966000000.0,14379045000000.0,13929540000000.0,13536963000000.0,13909951000000.0,13201199000000.0,13984635000000.0
2035.0,14417027000000.0,14075239000000.0,14346420000000.0,13813779000000.0,13435068000000.0,13806867000000.0,13061384000000.0,13978751000000.0
2036.0,14431634000000.0,14027748000000.0,14383448000000.0,13723125000000.0,13316717000000.0,13746186000000.0,12971269000000.0,13922988000000.0
2037.0,14395605000000.0,13969948000000.0,14352246000000.0,13724318000000.0,13202163000000.0,13664834000000.0,12819871000000.0,13932362000000.0
2038.0,14340613000000.0,13926860000000.0,14328452000000.0,13597512000000.0,13088972000000.0,13590325000000.0,12669315000000.0,13861766000000.0
2039.0,14284758000000.0,13851654000000.0,14240204000000.0,13478176000000.0,12996595000000.0,13551843000000.0,12567732000000.0,13805947000000.0
2040.0,14223926000000.0,13812038000000.0,14197789000000.0,13341555000000.0,12873732000000.0,13447552000000.0,12453528000000.0,13783469000000.0
2041.0,14148890000000.0,13774023000000.0,14163443000000.0,13289441000000.0,12773843000000.0,13394512000000.0,12315958000000.0,13720756000000.0
2042.0,14134500000000.0,13708310000000.0,14066999000000.0,13197062000000.0,12663529000000.0,13297916000000.0,12163946000000.0,13686018000000.0
2043.0,14127666000000.0,13715343000000.0,13987685000000.0,13092923000000.0,12555878000000.0,13183228000000.0,12059049000000.0,13600294000000.0
2044.0,14095153000000.0,13679182000000.0,13950055000000.0,13033954000000.0,12440791000000.0,13086717000000.0,11992557000000.0,13528715000000.0
2045.0,14069546000000.0,13652873000000.0,13869012000000.0,12944236000000.0,12360569000000.0,13024802000000.0,11924945000000.0,13436793000000.0
2046.0,14041219000000.0,13600728000000.0,13790911000000.0,12878509000000.0,12261360000000.0,12936035000000.0,11809523000000.0,13401837000000.0
2047.0,13993228000000.0,13537283000000.0,13782934000000.0,12801713000000.0,12157309000000.0,12867179000000.0,11640748000000.0,13395301000000.0
2048.0,13984943000000.0,13494448000000.0,13733096000000.0,12680084000000.0,12064935000000.0,12753592000000.0,11549171000000.0,13351608000000.0
2049.0,13962582000000.0,13411373000000.0,13636034000000.0,12601653000000.0,11934843000000.0,12678345000000.0,11445408000000.0,13323547000000.0
2050.0,13934849000000.0,13328192000000.0,13544002000000.0,12455684000000.0,11848825000000.0,12576695000000.0,11309963000000.0,13285034000000.0
2051.0,13934511000000.0,13265000000000.0,13482805000000.0,12346850000000.0,11731028000000.0,12503029000000.0,11171816000000.0,13293425000000.0
2052.0,13884336000000.0,13210849000000.0,13430417000000.0,12293935000000.0,11607733000000.0,12431790000000.0,11025654000000.0,13256659000000.0
2053.0,13864035000000.0,13219178000000.0,13353867000000.0,12247739000000.0,11462683000000.0,12331772000000.0,10863752000000.0,13186642000000.0
2054.0,13837144000000.0,13144547000000.0,13254060000000.0,12215223000000.0,11353136000000.0,12234210000000.0,10763557000000.0,13138955000000.0
2055.0,13801429000000.0,13105648000000.0,13157317000000.0,12155582000000.0,11223472000000.0,12102570000000.0,10622683000000.0,13087514000000.0
2056.0,13783234000000.0,13074023000000.0,13112982000000.0,12053666000000.0,11094769000000.0,11991625000000.0,10460878000000.0,13031483000000.0
2057.0,13740982000000.0,12996718000000.0,13034482000000.0,11951030000000.0,10967219000000.0,11859946000000.0,10286866000000.0,12987932000000.0
2058.0,13690250000000.0,12879019000000.0,12949186000000.0,11909250000000.0,10826822000000.0,11729188000000.0,10162300000000.0,12921368000000.0
2059.0,13649401000000.0,12801357000000.0,12856837000000.0,11869437000000.0,10678226000000.0,11611265000000.0,10023097000000.0,12905481000000.0
2060.0,13638512000000.0,12758574000000.0,12760242000000.0,11799158000000.0,10583408000000.0,11527222000000.0,9857970000000.0,12804539000000.0
2061.0,13564395000000.0,12732269000000.0,12682149000000.0,11726887000000.0,10503355000000.0,11390438000000.0,9742638000000.0,12778706000000.0
2062.0,13528075000000.0,12666297000000.0,12576178000000.0,11671467000000.0,10394010000000.0,11278727000000.0,9591289000000.0,12702134000000.0
2063.0,13480564000000.0,12591739000000.0,12473821000000.0,11539898000000.0,10278883000000.0,11173509000000.0,9414263000000.0,12636226000000.0
2064.0,13401231000000.0,12574383000000.0,12362732000000.0,11417689000000.0,10139735000000.0,11036224000000.0,9238450000000.0,12553029000000.0
2065.0,13313755000000.0,12484864000000.0,12237060000000.0,11374026000000.0,10026410000000.0,10907857000000.0,9042572000000.0,12483860000000.0
2066.0,13288532000000.0,12472270000000.0,12154833000000.0,11316591000000.0,9922808000000.0,10797510000000.0,8814263000000.0,12409060000000.0
2067.0,13249331000000.0,12440128000000.0,12072030000000.0,11240293000000.0,9817198000000.0,10680066000000.0,8639536000000.0,12369158000000.0
2068.0,13220057000000.0,12381917000000.0,11990242000000.0,11130918000000.0,9695202000000.0,10590057000000.0,8491346000000.0,12283883000000.0
2069.0,13192970000000.0,12336895000000.0,11907188000000.0,11061271000000.0,9602156000000.0,10496734000000.0,8320413000000.0,12185064000000.0
2070.0,13157876000000.0,12259333000000.0,11868482000000.0,10984277000000.0,9493745000000.0,10417776000000.0,8149642000000.0,12136464000000.0
2071.0,13118611000000.0,12191182000000.0,11758537000000.0,10929937000000.0,9401939000000.0,10265021000000.0,8028382300000.0,12078805000000.0
2072.0,13080275000000.0,12157285000000.0,11697509000000.0,10858427000000.0,9299983000000.0,10145518000000.0,7885089700000.0,12022186000000.0
2073.0,13079578000000.0,12099682000000.0,11611894000000.0,10781224000000.0,9186709000000.0,10080714000000.0,7771148000000.0,11972287000000.0
2074.0,13065847000000.0,12055364000000.0,11561509000000.0,10714533000000.0,9049985000000.0,9991552000000.0,7624940000000.0,11933970000000.0
2075.0,13002038000000.0,11982062000000.0,11498225000000.0,10621609000000.0,8934747000000.0,9866072000000.0,7468782000000.0,11912191000000.0
2076.0,12948491000000.0,11949116000000.0,11385158000000.0,10525592000000.0,8798625000000.0,9718698000000.0,7323182000000.0,11802158000000.0
2077.0,12890961000000.0,11885925000000.0,11285947000000.0,10473157000000.0,8675118000000.0,9582685000000.0,7166709700000.0,11704347000000.0
2078.0,12790826000000.0,11842894000000.0,11175572000000.0,10447319000000.0,8543734300000.0,9441772000000.0,7049250000000.0,11623573000000.0
2079.0,12695774000000.0,11765399000000.0,11088706000000.0,10372465000000.0,8419177000000.0,9351989000000.0,6916464000000.0,11524550000000.0
2080.0,12652646000000.0,11733556000000.0,11025157000000.0,10260466000000.0,8271007600000.0,9258251000000.0,6777122000000.0,11499565000000.0
2081.0,12597276000000.0,11684538000000.0,10978904000000.0,10196494000000.0,8140569400000.0,9137822000000.0,6649413600000.0,11454350000000.0
2082.0,12541798000000.0,11590267000000.0,10856562000000.0,10085456000000.0,7999158500000.0,9046291000000.0,6535589000000.0,11383018000000.0
2083.0,12453549000000.0,11529083000000.0,10764388000000.0,9982407000000.0,7865348700000.0,8919665000000.0,6368517000000.0,11377376000000.0
2084.0,12410283000000.0,11449937000000.0,10661649000000.0,9899410000000.0,7749895000000.0,8756311600000.0,6215277500000.0,11299555000000.0
2085.0,12332146000000.0,11398122000000.0,10540448000000.0,9858676000000.0,7591032000000.0,8640469700000.0,6071234000000.0,11227113000000.0
2086.0,12317032000000.0,11346628000000.0,10469524000000.0,9764879000000.0,7448637000000.0,8505468000000.0,5946541000000.0,11226839000000.0
2087.0,12284409000000.0,11332857000000.0,10369403000000.0,9640435000000.0,7301261400000.0,8399443500000.0,5789423000000.0,11169551000000.0
2088.0,12206751000000.0,11296756000000.0,10289944000000.0,9573585000000.0,7179863600000.0,8335667500000.0,5646933600000.0,11078063000000.0
2089.0,12128829000000.0,11290836000000.0,10220339000000.0,9485142000000.0,7055909000000.0,8261675000000.0,5518106000000.0,11029764000000.0
2090.0,12037775000000.0,11235281000000.0,10153963000000.0,9431044000000.0,6933980400000.0,8146495000000.0,5417358000000.0,11009376000000.0
2091.0,11948856000000.0,11214008000000.0,10054843000000.0,9355656000000.0,6801251600000.0,8039969000000.0,5287965000000.0,10926553000000.0
2092.0,11876924000000.0,11144272000000.0,9966030000000.0,9271322000000.0,6700002000000.0,7936648000000.0,5149188700000.0,10856887000000.0
2093.0,11773379000000.0,11104066000000.0,9891228000000.0,9240772000000.0,6583488000000.0,7831907500000.0,5019518000000.0,10772919000000.0
2094.0,11665072000000.0,11038922000000.0,9773224000000.0,9132304000000.0,6468306000000.0,7736159400000.0,4921179000000.0,10709662000000.0
2095.0,11615004000000.0,10957923000000.0,9683789000000.0,9044662000000.0,6399479000000.0,7666435400000.0,4805235000000.0,10671562000000.0
2096.0,11572383000000.0,10889403000000.0,9592208000000.0,8961456000000.0,6310747000000.0,7563960600000.0,4722921000000.0,10615219000000.0
2097.0,11517699000000.0,10835398000000.0,9511450000000.0,8914400000000.0,6196728700000.0,7463875000000.0,4607323000000.0,10546094000000.0
2098.0,11364320000000.0,10778366000000.0,9449113000000.0,8872048000000.0,6092316700000.0,7373900500000.0,4485733700000.0,10482683000000.0
2099.0,11340526000000.0,10703579000000.0,9380503000000.0,8814945000000.0,6002742000000.0,7297518000000.0,4377165000000.0,10401478000000.0
2100.0,11307694000000.0,10655397000000.0,9319977000000.0,8740626000000.0,5905386000000.0,7202274000000.0,4251006800000.0,10358652000000.0
