time,GISS-E2-R,CSIRO-MK3-6-0,CNRM-CM5,CCSM4,GFDL-CM3,CANESM2,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G,MPI-ESM-LR
2000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0,15542373000000.0
2001.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0,15508719000000.0
2002.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0,15478325000000.0
2003.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0,15409549000000.0
2004.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0,15303706000000.0
2005.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0,15256192000000.0
2006.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0,15214912000000.0
2007.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0,15198199000000.0
2008.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0,15155834000000.0
2009.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0,15102138000000.0
2010.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0,15017244000000.0
2011.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0,14936700000000.0
2012.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0,14900734000000.0
2013.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0,14877573000000.0
2014.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0,14864944000000.0
2015.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0,14831335000000.0
2016.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0,14843530000000.0
2017.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0,14810094000000.0
2018.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0,14795327000000.0
2019.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0,14832206000000.0
2020.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0,14745808000000.0
2021.0,14713775000000.0,14687528000000.0,14720659000000.0,14727352000000.0,14681240000000.0,14734286000000.0,14670846000000.0,14724402000000.0,14683704000000.0,14659882000000.0
2022.0,14644841000000.0,14592028000000.0,14639829000000.0,14691221000000.0,14619069000000.0,14681676000000.0,14613588000000.0,14661564000000.0,14668984000000.0,14647700000000.0
2023.0,14588059000000.0,14544001000000.0,14545980000000.0,14683559000000.0,14534695000000.0,14600236000000.0,14581023000000.0,14638084000000.0,14603128000000.0,14576720000000.0
2024.0,14491247000000.0,14532388000000.0,14538985000000.0,14627672000000.0,14460293000000.0,14556470000000.0,14559021000000.0,14538823000000.0,14544623000000.0,14518338000000.0
2025.0,14429266000000.0,14452007000000.0,14507232000000.0,14578175000000.0,14360653000000.0,14502896000000.0,14487613000000.0,14503692000000.0,14470585000000.0,14474800000000.0
2026.0,14365884000000.0,14397269000000.0,14495617000000.0,14552719000000.0,14234292000000.0,14447240000000.0,14438195000000.0,14432063000000.0,14412400000000.0,14438292000000.0
2027.0,14291732000000.0,14337775000000.0,14411277000000.0,14527624000000.0,14095162000000.0,14351023000000.0,14360972000000.0,14403075000000.0,14359935000000.0,14357715000000.0
2028.0,14213049000000.0,14259597000000.0,14303777000000.0,14480147000000.0,13999280000000.0,14252627000000.0,14293012000000.0,14334989000000.0,14309718000000.0,14287153000000.0
2029.0,14129126000000.0,14199191000000.0,14248678000000.0,14450470000000.0,13863526000000.0,14111261000000.0,14223027000000.0,14273034000000.0,14231446000000.0,14225700000000.0
2030.0,14055479000000.0,14141699000000.0,14172637000000.0,14394213000000.0,13771942000000.0,14031168000000.0,14120809000000.0,14208744000000.0,14256523000000.0,14172333000000.0
2031.0,14015354000000.0,14081232000000.0,14194070000000.0,14362787000000.0,13656119000000.0,13915419000000.0,14016013000000.0,14118211000000.0,14173610000000.0,14073369000000.0
2032.0,13926115000000.0,14066616000000.0,14110026000000.0,14332874000000.0,13524412000000.0,13838666000000.0,13930586000000.0,14106925000000.0,14119568000000.0,13997315000000.0
2033.0,13845784000000.0,14069892000000.0,14040953000000.0,14270335000000.0,13420373000000.0,13782013000000.0,13861706000000.0,14001189000000.0,14024618000000.0,13919926000000.0
2034.0,13761470000000.0,13992304000000.0,13939746000000.0,14288756000000.0,13314318000000.0,13699030000000.0,13786692000000.0,13891057000000.0,14029062000000.0,13818899000000.0
2035.0,13685923000000.0,13935589000000.0,13962082000000.0,14247004000000.0,13181060000000.0,13652136000000.0,13733199000000.0,13729990000000.0,13945438000000.0,13754441000000.0
2036.0,13609207000000.0,13882167000000.0,13885644000000.0,14212745000000.0,13054851000000.0,13565767000000.0,13635933000000.0,13667624000000.0,13892625000000.0,13684047000000.0
2037.0,13530512000000.0,13852076000000.0,13791577000000.0,14148731000000.0,12922225000000.0,13438770000000.0,13582418000000.0,13524023000000.0,13818492000000.0,13609797000000.0
2038.0,13423328000000.0,13771236000000.0,13749460000000.0,14100517000000.0,12783940000000.0,13320413000000.0,13524693000000.0,13400040000000.0,13727555000000.0,13477213000000.0
2039.0,13354334000000.0,13701358000000.0,13672114000000.0,14055739000000.0,12654553000000.0,13242387000000.0,13403134000000.0,13269866000000.0,13654708000000.0,13403020000000.0
2040.0,13250808000000.0,13595911000000.0,13596117000000.0,14014579000000.0,12540023000000.0,13111777000000.0,13283986000000.0,13120688000000.0,13577351000000.0,13313553000000.0
