time,MPI-ESM-LR,CANESM2,CESM1-CAM5
2000.0,7517799000000.0,7517799000000.0,7517799000000.0
2001.0,7522461000000.0,7522461000000.0,7522461000000.0
2002.0,7507032400000.0,7507032400000.0,7507032400000.0
2003.0,7480615600000.0,7480615600000.0,7480615600000.0
2004.0,7464906400000.0,7464906400000.0,7464906400000.0
2005.0,7444068600000.0,7444068600000.0,7444068600000.0
2006.0,7420303000000.0,7420303000000.0,7420303000000.0
2007.0,7406095400000.0,7406095400000.0,7406095400000.0
2008.0,7389187000000.0,7389187000000.0,7389187000000.0
2009.0,7386740000000.0,7386740000000.0,7386740000000.0
2010.0,7381274600000.0,7381274600000.0,7381274600000.0
2011.0,7379705400000.0,7379705400000.0,7379705400000.0
2012.0,7367731700000.0,7367731700000.0,7367731700000.0
2013.0,7372087500000.0,7372087500000.0,7372087500000.0
2014.0,7329361700000.0,7329361700000.0,7329361700000.0
2015.0,7322825400000.0,7322825400000.0,7322825400000.0
2016.0,7316028500000.0,7316028500000.0,7316028500000.0
2017.0,7317255400000.0,7317255400000.0,7317255400000.0
2018.0,7306933000000.0,7306933000000.0,7306933000000.0
2019.0,7313468400000.0,7313468400000.0,7313468400000.0
2020.0,7281800400000.0,7281800400000.0,7281800400000.0
2021.0,7265150000000.0,7261934600000.0,7246495000000.0
2022.0,7243094000000.0,7242609000000.0,7226236000000.0
2023.0,7225621000000.0,7210558000000.0,7206387300000.0
2024.0,7199523000000.0,7173113400000.0,7187408000000.0
2025.0,7177647000000.0,7157457600000.0,7176005400000.0
2026.0,7148119000000.0,7141762000000.0,7156378000000.0
2027.0,7103681000000.0,7128123000000.0,7128295000000.0
2028.0,7060676700000.0,7115120300000.0,7098585000000.0
2029.0,7034580000000.0,7089015000000.0,7074889000000.0
2030.0,6997494000000.0,7066824000000.0,7038218300000.0
2031.0,6965904300000.0,7071821000000.0,6993187000000.0
2032.0,6941366600000.0,7060839700000.0,6963783000000.0
2033.0,6935083500000.0,7038870500000.0,6926615000000.0
2034.0,6896371000000.0,7023485000000.0,6879744000000.0
2035.0,6876031000000.0,7011460700000.0,6835672000000.0
2036.0,6858162000000.0,7000564000000.0,6801284000000.0
2037.0,6844101000000.0,6966926600000.0,6748544000000.0
2038.0,6797234000000.0,6950815000000.0,6697457000000.0
2039.0,6756688000000.0,6928440000000.0,6658653700000.0
2040.0,6734323000000.0,6914817000000.0,6605981000000.0
2041.0,6702816600000.0,6881963000000.0,6553460500000.0
2042.0,6669328700000.0,6858051000000.0,6490172700000.0
2043.0,6648759300000.0,6812139500000.0,6437595500000.0
2044.0,6604237000000.0,6796072700000.0,6369362600000.0
2045.0,6571532000000.0,6778794300000.0,6304347700000.0
2046.0,6528866700000.0,6764874000000.0,6226573300000.0
2047.0,6491653000000.0,6752633000000.0,6174115000000.0
2048.0,6459614000000.0,6731582700000.0,6122267000000.0
2049.0,6429930000000.0,6701000400000.0,6066581000000.0
2050.0,6401430700000.0,6671900000000.0,5987567700000.0
2051.0,6361475000000.0,6648167400000.0,5960557000000.0
2052.0,6330103000000.0,6612912700000.0,5904112500000.0
2053.0,6304813300000.0,6590428600000.0,5850337400000.0
2054.0,6273630700000.0,6547483700000.0,5777221000000.0
2055.0,6230741400000.0,6530215000000.0,5682471400000.0
2056.0,6193272600000.0,6478254600000.0,5613318000000.0
2057.0,6165338500000.0,6445243000000.0,5568945000000.0
2058.0,6154272400000.0,6417557000000.0,5528459000000.0
