time,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,MRI-ESM2-0,MPI-ESM1-2-HR,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8,EC-EARTH3,NORESM2-MM,CESM2
2000.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0
2001.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0
2002.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0
2003.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0
2004.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0
2005.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0
2006.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0
2007.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0
2008.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0
2009.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0
2010.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0,2254141000.0
2011.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0,2234708500.0
2012.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0,2235934200.0
2013.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0,2219536000.0
2014.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0,2215232000.0
2015.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0,2201708500.0
2016.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0,2175007200.0
2017.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0,2147995400.0
2018.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0,2126940700.0
2019.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0,2118556700.0
2020.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0,2088165500.0
2021.0,2059475000.0,2049067100.0,2031961900.0,2043105300.0,2058524000.0,2072376300.0,2065627900.0,2043440900.0,2060890900.0,2070458500.0,2067477100.0,2059265400.0,2040566800.0
2022.0,2024419700.0,2020296200.0,1993666200.0,1988674300.0,2031728900.0,2065912700.0,2032867500.0,2007888500.0,2035255200.0,2043868900.0,2039277300.0,2036000400.0,1996087900.0
2023.0,1987947000.0,2008043800.0,1960640300.0,1945820900.0,1979828400.0,2051326300.0,1994297300.0,1978936300.0,2001341000.0,2021155200.0,1989327500.0,2021889200.0,1947545000.0
2024.0,1981619600.0,1972878200.0,1905915000.0,1906815900.0,1942828700.0,2018991200.0,1966859400.0,1929377000.0,1958856600.0,1992765300.0,1942471200.0,1989099800.0,1919332400.0
2025.0,1956919800.0,1952819200.0,1852248200.0,1861770800.0,1908709400.0,2012446300.0,1917995000.0,1885389000.0,1929091300.0,1975904800.0,1921424300.0,1964911200.0,1880193300.0
2026.0,1921079700.0,1928517800.0,1827442700.0,1791805000.0,1870692900.0,1991815000.0,1887599200.0,1866553900.0,1897739100.0,1954179000.0,1896968700.0,1938995800.0,1838038100.0
2027.0,1893347800.0,1889172100.0,1760965200.0,1756103600.0,1819450900.0,1969418100.0,1859710100.0,1820450800.0,1858876300.0,1938170000.0,1846750200.0,1922284300.0,1780718300.0
2028.0,1872788500.0,1857221200.0,1693998200.0,1719233400.0,1760546000.0,1940185100.0,1818964200.0,1787063600.0,1835158500.0,1908852600.0,1780771200.0,1890131500.0,1722463200.0
2029.0,1846512400.0,1829027800.0,1664827100.0,1675189000.0,1702934700.0,1916534700.0,1763640200.0,1744453200.0,1802030300.0,1878290800.0,1749131600.0,1850248700.0,1680362000.0
2030.0,1813870200.0,1789597600.0,1615564000.0,1642980600.0,1650907500.0,1897751300.0,1723985200.0,1728792200.0,1771005800.0,1859419000.0,1713247600.0,1824795100.0,1621831300.0
2031.0,1785195800.0,1761431600.0,1534901000.0,1624623200.0,1598237000.0,1870838800.0,1709116200.0,1701290000.0,1739920600.0,1835698400.0,1650386300.0,1797649900.0,1549384800.0
2032.0,1759100500.0,1708148700.0,1481125200.0,1578900900.0,1538635300.0,1839302000.0,1638772700.0,1675295500.0,1705290900.0,1803545700.0,1615164200.0,1775562600.0,1525771900.0
2033.0,1721516900.0,1652019100.0,1449463600.0,1511833000.0,1494788200.0,1802110700.0,1585573900.0,1646342000.0,1660303700.0,1773419800.0,1572139500.0,1729263100.0,1483384300.0
2034.0,1680387100.0,1608511500.0,1391984800.0,1495581300.0,1467359400.0,1740953300.0,1558849800.0,1622061600.0,1629323500.0,1735682400.0,1501268000.0,1694842100.0,1397538700.0
2035.0,1633139200.0,1569177900.0,1358534700.0,1477535000.0,1422588400.0,1692503200.0,1542296400.0,1595405600.0,1609304300.0,1698124400.0,1462987600.0,1667294100.0,1330379300.0
