time,EC-EARTH3,NORESM2-MM,CESM2,INM-CM5-0,INM-CM4-8,CANESM5,IPSL-CM6A-LR,ACCESS-CM2,MPI-ESM1-2-HR,CESM2-WACCM,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG,BCC-CSM2-MR,ACCESS-ESM1-5,FGOALS-F3-L,GFDL-ESM4
2000.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0,2457325300.0
2001.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0,2436890600.0
2002.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0,2417740000.0
2003.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0,2379951400.0
2004.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0,2348910800.0
2005.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0,2323119000.0
2006.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0,2303693000.0
2007.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0,2282304300.0
2008.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0,2278302200.0
2009.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0,2277408500.0
