time,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,NORESM1-M,GFDL-CM3,CESM1-CAM5,IPSL-CM5A-LR
2000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0,29751600000.0
2001.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0,30066350000.0
2002.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0,29784654000.0
2003.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0,30304303000.0
2004.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0,29929521000.0
2005.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0,29576432000.0
2006.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0,29593166000.0
2007.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0,29526200000.0
2008.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0,29457424000.0
2009.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0,29357144000.0
2010.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0,29311121000.0
2011.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0,29246474000.0
2012.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0,29222085000.0
2013.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0,29020508000.0
2014.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0,28904186000.0
2015.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0,29021032000.0
2016.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0,28899471000.0
2017.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0,28696269000.0
2018.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0,28584643000.0
2019.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0,28502360000.0
2020.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0,28475646000.0
2021.0,28303018000.0,28448664000.0,28309963000.0,28476967000.0,28324774000.0,28274588000.0,28250233000.0,28295412000.0
2022.0,28175344000.0,28176500000.0,28271575000.0,28344310000.0,28213137000.0,28095150000.0,28160035000.0,28160133000.0
2023.0,28017189000.0,28058292000.0,28110436000.0,28566233000.0,28117207000.0,27908958000.0,28145242000.0,28030239000.0
2024.0,27867865000.0,27992120000.0,28049773000.0,28199520000.0,27972470000.0,27949916000.0,28086310000.0,27847125000.0
2025.0,27727817000.0,27832265000.0,27972989000.0,28085527000.0,27816563000.0,27825445000.0,28206190000.0,27730899000.0
2026.0,27736090000.0,27686797000.0,27860310000.0,27964637000.0,27979856000.0,27541700000.0,27954448000.0,27568202000.0
2027.0,27693900000.0,27626267000.0,27598658000.0,28205540000.0,27667386000.0,27404069000.0,27895497000.0,27378870000.0
2028.0,27420402000.0,27481362000.0,27464958000.0,28011354000.0,27498902000.0,27393940000.0,27726365000.0,27223564000.0
2029.0,27165843000.0,27319431000.0,27320637000.0,27778847000.0,27486660000.0,27121068000.0,27561675000.0,27214428000.0
2030.0,26978861000.0,27093117000.0,27384093000.0,27632090000.0,27277894000.0,26872125000.0,27457376000.0,27115164000.0
2031.0,26947324000.0,26946335000.0,27065043000.0,27533597000.0,27058715000.0,26821892000.0,27397749000.0,27076219000.0
2032.0,26701005000.0,26755508000.0,26863927000.0,27387466000.0,26905842000.0,26541281000.0,27192920000.0,26824780000.0
2033.0,26579364000.0,26608170000.0,26626429000.0,27360295000.0,26692290000.0,26364928000.0,27062737000.0,26650092000.0
2034.0,26411844000.0,26607456000.0,26445156000.0,27176140000.0,26575063000.0,26224488000.0,27017857000.0,26425141000.0
2035.0,26222640000.0,26466111000.0,26251928000.0,26995330000.0,26543198000.0,26302863000.0,26861950000.0,26389572000.0
2036.0,26019064000.0,26175525000.0,27053326000.0,26986500000.0,26268150000.0,25924975000.0,26733850000.0,26115713000.0
2037.0,26125400000.0,26137485000.0,26077014000.0,26870553000.0,26124579000.0,25979247000.0,26586206000.0,25889812000.0
2038.0,25890243000.0,26009102000.0,25819238000.0,26752969000.0,25918614000.0,25737898000.0,26438960000.0,25738349000.0
2039.0,25711366000.0,25895926000.0,25666680000.0,26710010000.0,25683223000.0,25676884000.0,26543012000.0,25562649000.0
2040.0,25539633000.0,25733521000.0,25494688000.0,26601767000.0,25620610000.0,25400357000.0,26185974000.0,25467517000.0
2041.0,25426457000.0,25562240000.0,25305494000.0,26492897000.0,25547860000.0,25247013000.0,26065300000.0,25298831000.0
2042.0,25290932000.0,25437047000.0,25127660000.0,26406842000.0,25325107000.0,25070156000.0,25953886000.0,25165185000.0
2043.0,25175194000.0,25300886000.0,24930700000.0,26306384000.0,25333520000.0,24766538000.0,25941234000.0,24960412000.0
2044.0,25073523000.0,25227940000.0,24939289000.0,26227046000.0,25186322000.0,24591847000.0,25752812000.0,24815446000.0
2045.0,24867824000.0,25240390000.0,24702749000.0,26131260000.0,25051666000.0,24441375000.0,25636585000.0,24825560000.0
2046.0,24705940000.0,25199995000.0,24530289000.0,26068605000.0,24825428000.0,24671455000.0,25525731000.0,24577817000.0
2047.0,24576158000.0,24934597000.0,24301838000.0,25857690000.0,24773450000.0,24351090000.0,25383217000.0,24395600000.0
2048.0,24499235000.0,24770392000.0,24117004000.0,25730054000.0,24558619000.0,24067977000.0,25221738000.0,24226613000.0
