time,CESM2-WACCM,MPI-ESM1-2-HR,MRI-ESM2-0,IPSL-CM6A-LR,KACE-1-0-G,GFDL-ESM4,UKESM1-0-LL,TAIESM1,IITM-ESM
2000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0,85384480000.0
2015.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0,84745820000.0
2016.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0,80950895000.0
2017.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0,76204920000.0
2018.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0,74582620000.0
2019.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0,74965205000.0
2020.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0,73356710000.0
2021.0,73967500000.0,68771880000.0,72997080000.0,70522100000.0,72690115000.0,72805240000.0,67570307000.0,70058520000.0,70589920000.0
2022.0,70544690000.0,65210230000.0,72382010000.0,65937010000.0,67813700000.0,71797280000.0,65549950000.0,64976036000.0,68685218000.0
2023.0,64413577000.0,61556200000.0,68088398000.0,64473420000.0,64460427000.0,69063210000.0,62147540000.0,61440717000.0,65147707000.0
2024.0,62558060000.0,59574555000.0,63997440000.0,61891980000.0,61492085000.0,64670736000.0,54639014000.0,56948785000.0,66796343000.0
2025.0,59710722000.0,55406060000.0,63016290000.0,58232107000.0,59195888000.0,59707695000.0,50976186000.0,51807793000.0,67966640000.0
2026.0,53450998000.0,52684935000.0,60994040000.0,54786994000.0,56085905000.0,56791523000.0,45987594000.0,48462500000.0,66965238000.0
2027.0,49803858000.0,54713893000.0,57380794000.0,49086767000.0,53745693000.0,51980722000.0,43155165000.0,45637010000.0,62842590000.0
2028.0,46750750000.0,56605310000.0,53197906000.0,45658894000.0,49600135000.0,48442704000.0,40803110000.0,42500407000.0,64503720000.0
2029.0,41994100000.0,56760210000.0,49932227000.0,44064137000.0,47204282000.0,46611358000.0,38203210000.0,41421623000.0,62784926000.0
2030.0,36023288000.0,53260583000.0,45005177000.0,42546680000.0,45592416000.0,45360810000.0,35491990000.0,38651384000.0,62444680000.0
2031.0,35181980000.0,52139190000.0,44606886000.0,41792553000.0,44230124000.0,41478693000.0,31523440000.0,33465380000.0,63293555000.0
2032.0,33910546000.0,52148953000.0,43718353000.0,40673030000.0,42464485000.0,39748776000.0,27221244000.0,32262683000.0,59300946000.0
2033.0,30850265000.0,51311305000.0,41993773000.0,37068050000.0,40126927000.0,38691275000.0,24148068000.0,31590890000.0,55048577000.0
2034.0,30323948000.0,50005390000.0,40480817000.0,35291763000.0,39988367000.0,38578560000.0,23598510000.0,29333960000.0,55000326000.0
2035.0,29285827000.0,46245495000.0,39384433000.0,34877530000.0,40303890000.0,37636600000.0,22937274000.0,27049437000.0,53723810000.0
2036.0,26547579000.0,44271825000.0,37987045000.0,33709910000.0,39159697000.0,36879310000.0,22947303000.0,26444294000.0,50998830000.0
2037.0,26782850000.0,44396868000.0,36376430000.0,32383967000.0,36273496000.0,36527997000.0,22066221000.0,25313559000.0,52198260000.0
2038.0,26496782000.0,43840655000.0,33575064000.0,30350350000.0,34785320000.0,34712300000.0,20770957000.0,24020728000.0,51014062000.0
2039.0,23874103000.0,41874840000.0,32067674000.0,30070733000.0,33722940000.0,33831264000.0,19765596000.0,22272143000.0,49211343000.0
2040.0,23698210000.0,41290170000.0,30512423000.0,28821006000.0,31039382000.0,32552663000.0,19681976000.0,21951582000.0,46817706000.0
2041.0,21505882000.0,39345960000.0,30311344000.0,25433065000.0,29868660000.0,31722377000.0,18222998000.0,21472080000.0,44961284000.0
2042.0,22367173000.0,38995750000.0,30441513000.0,24374650000.0,28586324000.0,30198300000.0,17303962000.0,19526955000.0,42633010000.0
2043.0,23410635000.0,39120847000.0,29776530000.0,23797789000.0,27552180000.0,30829572000.0,16514639000.0,17701683000.0,41932410000.0
2044.0,22031831000.0,40395350000.0,28957790000.0,23343436000.0,25564187000.0,29933630000.0,16211795000.0,17686286000.0,41562665000.0
2045.0,19862760000.0,41614586000.0,28482840000.0,23317156000.0,23699345000.0,29493975000.0,15336141000.0,18208960000.0,43255034000.0
2046.0,19797174000.0,41371550000.0,27258330000.0,22839196000.0,23285981000.0,29258981000.0,14155137000.0,17813352000.0,42563903000.0
2047.0,17992137000.0,39814337000.0,26922498000.0,21687138000.0,22040574000.0,28171872000.0,13530161000.0,16686513000.0,41110438000.0
2048.0,16865542000.0,35991917000.0,26576638000.0,20489503000.0,20939800000.0,26695670000.0,12929812000.0,15156433000.0,38532915000.0
