time,CCSM4,CESM1-CAM5,GFDL-ESM2G,GISS-E2-R,NORESM1-M,GFDL-CM3,CSIRO-MK3-6-0,IPSL-CM5A-LR
2000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0
2001.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0
2002.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0
2003.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0
2004.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0
2005.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0
2006.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0
2007.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0
2008.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0
2009.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0
2010.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0
2011.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0
2012.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0
2013.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0
2014.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0
2015.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0
2016.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0
2017.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0
2018.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0
2019.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0
2020.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0
2021.0,13791354000.0,13908844000.0,13819560000.0,13853626000.0,14074896000.0,13727435000.0,13815484000.0,13901134000.0
2022.0,13691575000.0,13780850000.0,13708518000.0,13715327000.0,13855888000.0,13526406000.0,13938839000.0,13739453000.0
2023.0,13608656000.0,13703363000.0,13605424000.0,13611932000.0,13745004000.0,13356929000.0,13724480000.0,13617384000.0
2024.0,13463557000.0,13509907000.0,13446822000.0,13487405000.0,13572060000.0,13164948000.0,13569104000.0,13421752000.0
2025.0,13355027000.0,13426209000.0,13269425000.0,13345058000.0,13433057000.0,12954801000.0,13423567000.0,13247549000.0
2026.0,13226953000.0,13332820000.0,13132548000.0,13177321000.0,13304855000.0,12691804000.0,13282078000.0,13101751000.0
2027.0,13106440000.0,13222262000.0,13071279000.0,13042741000.0,13142174000.0,12435997000.0,13188261000.0,12896525000.0
2028.0,13012982000.0,13063048000.0,12919921000.0,13056663000.0,13055485000.0,12125353000.0,13113193000.0,12706979000.0
2029.0,12868997000.0,12847720000.0,12828185000.0,13041024000.0,12929010000.0,11887797000.0,13251534000.0,12470283000.0
2030.0,12753592000.0,12767212000.0,12708895000.0,12829834000.0,12854107000.0,11624849000.0,13383756000.0,12215158000.0
2031.0,12777197000.0,12577691000.0,12506787000.0,12739564000.0,12668168000.0,11317411000.0,12879370000.0,12021809000.0
2032.0,12588200000.0,12447828000.0,12504829000.0,12522635000.0,12947199000.0,11033772000.0,12984761000.0,11820975000.0
2033.0,12405504000.0,12655805000.0,12253906000.0,12380687000.0,12511714000.0,10848658000.0,12702351000.0,11660043000.0
2034.0,12287696000.0,12232253000.0,12279341000.0,12350334000.0,12382652000.0,10517350000.0,12627537000.0,11343861000.0
2035.0,12091530000.0,12042953000.0,12039720000.0,12168960000.0,12261675000.0,10180717000.0,12578921000.0,11088384000.0
2036.0,11988478000.0,11845615000.0,11872638000.0,12002147000.0,12245175000.0,9877287000.0,12610036000.0,10813165000.0
2037.0,11837439000.0,11677903000.0,11786421000.0,11976771000.0,12142076000.0,9666407000.0,12447949000.0,10551149000.0
2038.0,11702581000.0,11581141000.0,11620099000.0,11778888000.0,11921267000.0,9383984000.0,12525462000.0,10252452000.0
2039.0,11481002000.0,11365528000.0,11474471000.0,11649966000.0,11793866000.0,9138813000.0,12233299000.0,10034083000.0
2040.0,11349498000.0,11453189000.0,11405070000.0,11565940000.0,11686504000.0,8917750000.0,12136518000.0,9693442000.0
2041.0,11208215000.0,11245173000.0,11244745000.0,11455230000.0,11674129000.0,8635592000.0,12353948000.0,9460626000.0
2042.0,11067171000.0,11069974000.0,11118214000.0,11337350000.0,11541569000.0,8424258600.0,12060615000.0,9241898000.0
2043.0,10911581000.0,10895201000.0,10982785000.0,11203803000.0,11342544000.0,8120548000.0,11928045000.0,9088353000.0
2044.0,10775327000.0,10726449000.0,10820960000.0,11178128000.0,11302261000.0,7885650400.0,12016579000.0,8846689000.0
2045.0,10597558000.0,10519200000.0,10648500000.0,11147185000.0,11142636000.0,7643606000.0,11746478000.0,8529816000.0
2046.0,10424247000.0,10414103000.0,10526826000.0,10941076000.0,11070334000.0,7378969000.0,12352671000.0,8251401000.0
2047.0,10438562000.0,10201541000.0,10586333000.0,10802671000.0,10954146000.0,7194238000.0,11766986000.0,8240079400.0
2048.0,10182855000.0,10254762000.0,10291037000.0,10678833000.0,10838321000.0,7009273000.0,11588777000.0,7880192000.0
2049.0,10015464000.0,10087675000.0,10166370000.0,10612422000.0,10697102000.0,6745595400.0,11495413000.0,7594130400.0
2050.0,9865900000.0,9911434000.0,10008511000.0,10480128000.0,10609462000.0,6575392300.0,12039493000.0,7362432000.0
2051.0,9706609000.0,9768094000.0,9847910000.0,10364493000.0,10425394000.0,6419934700.0,11402243000.0,7213882000.0
2052.0,9587880000.0,9606694000.0,9679449000.0,10277854000.0,10316050000.0,6260450000.0,11507116000.0,7259566000.0
2053.0,9462703000.0,9454298000.0,9506537000.0,10164627000.0,10183231000.0,6064055000.0,11234686000.0,7134537700.0
2054.0,9267639000.0,9323532000.0,9895942000.0,10070902000.0,10066604000.0,5915107000.0,11210929000.0,7048009000.0
2055.0,9123875000.0,9175047000.0,9722720000.0,9965336000.0,9907139000.0,5711647000.0,11036122000.0,6749662700.0
2056.0,9007494000.0,9230920000.0,9299224000.0,9856695000.0,9750837000.0,5511206000.0,10957961000.0,6863532000.0
2057.0,8861637000.0,9006942000.0,9143303000.0,9806669000.0,9624166000.0,5339149300.0,10854648000.0,6985726000.0
2058.0,8688994000.0,8957992000.0,8993996000.0,9756465000.0,9456885000.0,5202671000.0,10724729000.0,6568332000.0
2059.0,8586717700.0,8830206000.0,8845022000.0,9652318000.0,9322526000.0,5077624000.0,10580959000.0,6421060000.0
2060.0,8481709600.0,8690890000.0,8739304000.0,9548471000.0,9178884000.0,4877783000.0,10452353000.0,6626622000.0
2061.0,8396206600.0,8634694000.0,8614116000.0,9505873000.0,9052404000.0,4694708000.0,10293143000.0,6293616600.0
2062.0,8281306600.0,8464382000.0,8542366000.0,9446239000.0,8861734000.0,4560576500.0,10147331000.0,6192102400.0
2063.0,8178028500.0,8331748000.0,8408102400.0,9317747000.0,8734967000.0,4464511500.0,10008531000.0,6104765400.0
2064.0,8045754000.0,8190217000.0,8290146300.0,9234610000.0,8618741000.0,4347891700.0,9910868000.0,5998627300.0
2065.0,7915224000.0,8053359000.0,9094117000.0,9256332000.0,8504556000.0,4193289500.0,9746517000.0,5908378000.0
2066.0,7816357400.0,7930057000.0,8208151600.0,9175055000.0,8402735600.0,4073194500.0,9601555000.0,5826822700.0
2067.0,7707934700.0,7777323000.0,8090251000.0,9031919000.0,8205275000.0,3938401300.0,9550182000.0,5693969400.0
2068.0,7589179400.0,7616306000.0,8036206600.0,8923483000.0,8147782700.0,3838925000.0,9315166000.0,5638753000.0
2069.0,7453016600.0,7476302000.0,7878458000.0,8811168000.0,7961183000.0,3697188900.0,9124456000.0,5518596600.0
2070.0,7363627500.0,7369457700.0,7844862000.0,8694775000.0,7796506000.0,3588931600.0,8927364000.0,5422001700.0
2071.0,7221219300.0,7183416000.0,7705068500.0,8587494400.0,7626489000.0,3472452400.0,8702547000.0,5337327600.0
2072.0,7129007600.0,7009592300.0,7560520700.0,8497561000.0,7551488000.0,3362152700.0,8477311500.0,5502711300.0
2073.0,7074397000.0,6854467600.0,7451476000.0,8375565000.0,7343138000.0,3255338000.0,8482936000.0,5226008600.0
2074.0,6968047000.0,6717289500.0,7416515600.0,8301618000.0,7170492000.0,3156619800.0,8162764300.0,5080099000.0
2075.0,6810376700.0,6517338600.0,7239434000.0,8129755600.0,6994736000.0,3039506200.0,7956623000.0,4986731500.0
2076.0,6659892700.0,6332002000.0,7110243300.0,7988086000.0,6858592000.0,2944358700.0,7834024000.0,5006974000.0
2077.0,6528722000.0,6157011000.0,7011927000.0,7866216000.0,6703160000.0,2832914700.0,7768172500.0,4797998600.0
2078.0,6408417000.0,5980663300.0,7058939400.0,7740686000.0,6566443000.0,2759154000.0,7570334700.0,4668248000.0
2079.0,6302030000.0,5828882000.0,6835639000.0,7648411600.0,6429128000.0,2664920300.0,7387037000.0,4553507000.0
2080.0,6221441500.0,5643224600.0,6739076000.0,7521509000.0,6259414000.0,2603565000.0,7172766700.0,4442940400.0
2081.0,6082411500.0,5453457000.0,6620357600.0,7389492000.0,6178555000.0,2513131500.0,7567628300.0,4352091000.0
2082.0,5914434600.0,5426902000.0,6526659000.0,7245074000.0,6034136600.0,2456239400.0,7019155500.0,4281831700.0
2083.0,5812094500.0,5191575000.0,6408901600.0,7142179000.0,5898963000.0,2379831000.0,6790973000.0,4180281300.0
2084.0,5753371600.0,5067767000.0,6363747300.0,7010104300.0,5855298600.0,2316154600.0,7271935500.0,4047266300.0
2085.0,5600485000.0,4949810700.0,6193089500.0,6826131500.0,5700463000.0,2237130200.0,6620239400.0,3941753600.0
2086.0,5473606000.0,4815624000.0,6120757000.0,6683452400.0,5762671000.0,2184738000.0,6538918400.0,3845498400.0
2087.0,5335346700.0,4715524000.0,6079214600.0,6538643500.0,5735922700.0,2140692700.0,6414849500.0,3782024200.0
2088.0,5251826700.0,4575384600.0,5979201000.0,6480597000.0,5488435000.0,2059042300.0,6241758700.0,3667529500.0
2089.0,5168808400.0,4467750400.0,5884094500.0,6327277000.0,5466223000.0,1988951000.0,6068399600.0,3549165600.0
2090.0,5201340400.0,4347451400.0,5772948000.0,6241537000.0,5364087300.0,1943309600.0,5984684500.0,3508154600.0
2091.0,5007462400.0,4243606500.0,5683610000.0,6077779500.0,5258617000.0,1881303300.0,5862093300.0,3386040300.0
2092.0,4895639600.0,4103989800.0,5577964500.0,5930411500.0,5301882400.0,1840386200.0,5698248000.0,3285508400.0
2093.0,4808683500.0,3979811800.0,5491563500.0,5815301000.0,5133258000.0,1797808300.0,5560541700.0,3199022300.0
2094.0,4703060000.0,3869589000.0,5460850700.0,6040721400.0,5032448500.0,1762346900.0,5418700000.0,3098823200.0
2095.0,4633972700.0,3789775000.0,5361531400.0,5640575500.0,4943871500.0,1716742500.0,5322034000.0,3034093600.0
2096.0,4579469300.0,3685531400.0,5282605600.0,5504687000.0,4887134700.0,1700776200.0,5398644000.0,3038917000.0
2097.0,4477912600.0,3588112100.0,5229137400.0,5409928700.0,4802977000.0,1648760800.0,5177497600.0,2884876800.0
2098.0,4420732000.0,3508726800.0,5495293400.0,5319783400.0,4721799000.0,1625887000.0,5012925400.0,2818697200.0
2099.0,4363213000.0,3443935200.0,5123336000.0,5226798000.0,4648572000.0,1605034600.0,4947873300.0,3161987800.0
2100.0,4303980500.0,3380807200.0,5002978000.0,5129507300.0,4577288000.0,1639244900.0,4770173400.0,2699767800.0
