time,MPI-ESM-LR,NORESM1-M,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-CM3,CCSM4,GISS-E2-R,GFDL-ESM2G
2000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0
2001.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0
2002.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0
2003.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0
2004.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0
2005.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0
2006.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0
2007.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0
2008.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0
2009.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0
2010.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0
2011.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0
2012.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0
2013.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0
2014.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0
2015.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0
2016.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0
2017.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0
2018.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0
2019.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0
2020.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0
2021.0,13803023000.0,13849394000.0,13763243000.0,13824071000.0,13777015000.0,13758183000.0,13804869000.0,13784395000.0,13825592000.0,13821879000.0
2022.0,13653391000.0,13690999000.0,13664629000.0,13672392000.0,13679359000.0,13621436000.0,13702611000.0,13649007000.0,13631453000.0,13677096000.0
2023.0,13490936000.0,13547929000.0,13586471000.0,13609981000.0,13534864000.0,13524883000.0,13516840000.0,13493350000.0,13491600000.0,13543704000.0
2024.0,13313364000.0,13410869000.0,13398652000.0,13487557000.0,13489236000.0,13301486000.0,13291752000.0,13325079000.0,13540415000.0,13372832000.0
2025.0,13141281000.0,13244354000.0,13209916000.0,13416554000.0,13328353000.0,13189123000.0,13107807000.0,13141786000.0,13312584000.0,13249399000.0
