time,CANESM2,NORESM1-M,MPI-ESM-LR,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-CM3,CNRM-CM5,CCSM4,CESM1-CAM5,GFDL-ESM2G,GISS-E2-R
2000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0,14781555000.0
2001.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0,14826917000.0
2002.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0,14844196000.0
2003.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0,14876193000.0
2004.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0,14865247000.0
2005.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0,14872420000.0
2006.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0,14853092000.0
2007.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0,14800823000.0
2008.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0,14750195000.0
2009.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0,14743894000.0
2010.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0,14659412000.0
2011.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0,14622763000.0
2012.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0,14555139000.0
2013.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0,14468123000.0
2014.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0,14438385000.0
2015.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0,14340854000.0
2016.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0,14287938000.0
2017.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0,14194145000.0
2018.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0,14105283000.0
2019.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0,13991813000.0
2020.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0,13943692000.0
2021.0,13945742000.0,13812026000.0,13780326000.0,13922736000.0,13845966000.0,13734766000.0,13839028000.0,13840692000.0,13779374000.0,13787201000.0,13774493000.0
2022.0,13708722000.0,13657482000.0,13698731000.0,13686109000.0,13776591000.0,13597865000.0,13720993000.0,13662610000.0,13658510000.0,13623672000.0,13789898000.0
2023.0,13606062000.0,13508623000.0,13728265000.0,13543654000.0,13609135000.0,13413019000.0,13562310000.0,13550801000.0,13547840000.0,13467354000.0,13656009000.0
2024.0,13547160000.0,13363971000.0,13533020000.0,13418079000.0,13734649000.0,13233315000.0,13464603000.0,13363146000.0,13439966000.0,13370272000.0,13600467000.0
2025.0,13296113000.0,13156186000.0,13408529000.0,13378831000.0,13531388000.0,12990006000.0,13352730000.0,13293289000.0,13576765000.0,13190942000.0,13388123000.0
2026.0,13093862000.0,13051353000.0,13414515000.0,13114623000.0,13261732000.0,12713813000.0,13190100000.0,13462143000.0,13349443000.0,13062836000.0,13288881000.0
2027.0,12903106000.0,12869383000.0,13210282000.0,13048082000.0,13129682000.0,12439721000.0,13005308000.0,13055322000.0,13110065000.0,12876076000.0,13171905000.0
2028.0,12673889000.0,12711859000.0,13089625000.0,12867555000.0,12932180000.0,12131898000.0,12783231000.0,13088135000.0,12952713000.0,12749550000.0,13003850000.0
2029.0,12531034000.0,12502945000.0,12921526000.0,12603815000.0,12865613000.0,11822649000.0,12594232000.0,12769902000.0,12828812000.0,12582454000.0,12909786000.0
2030.0,12555438000.0,12343801000.0,12755649000.0,12477366000.0,12670331000.0,11410389000.0,12547007000.0,12598598000.0,12639845000.0,12407119000.0,12793085000.0
2031.0,12346992000.0,12159324000.0,12707033000.0,12240730000.0,12602163000.0,10982658000.0,12305649000.0,12691102000.0,12678363000.0,12291444000.0,12697958000.0
2032.0,12044406000.0,11997867000.0,12502063000.0,12046518000.0,12412000000.0,10544339000.0,12079185000.0,12364682000.0,12396282000.0,12042240000.0,12545954000.0
2033.0,12242963000.0,11763516000.0,12488738000.0,11810108000.0,12272357000.0,10150496000.0,11895991000.0,12207376000.0,12256908000.0,11864041000.0,12442573000.0
2034.0,11752790000.0,11570950000.0,12596383000.0,11788017000.0,12041429000.0,9715699000.0,11844504000.0,11997157000.0,12037591000.0,11758440000.0,12373548000.0
2035.0,11552968000.0,11365151000.0,12149937000.0,11463640000.0,11845590000.0,9334991000.0,11646593000.0,11853599000.0,11780912000.0,11574396000.0,12485034000.0
