time,UKESM1-0-LL,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,CNRM-ESM2-1
2000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0
2001.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0
2002.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0
2003.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0
2004.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0
2005.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0
2006.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0
2007.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0
2008.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0
2009.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0
2010.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0
2011.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0
2012.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0
2013.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0
2014.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0
2015.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0
2016.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0
2017.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0
2018.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0
2019.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0
2020.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0
2021.0,13651402000000.0,13632545000000.0,13667826000000.0,13650099000000.0,13647821000000.0
2022.0,13618278000000.0,13581879000000.0,13602650000000.0,13644082000000.0,13538801000000.0
2023.0,13548709000000.0,13513928000000.0,13604252000000.0,13579546000000.0,13512399000000.0
2024.0,13528192000000.0,13446160000000.0,13600416000000.0,13465715000000.0,13499638000000.0
2025.0,13490189000000.0,13387829000000.0,13560466000000.0,13457502000000.0,13487800000000.0
2026.0,13427490000000.0,13247861000000.0,13573623000000.0,13424608000000.0,13455594000000.0
2027.0,13347612000000.0,13101605000000.0,13548228000000.0,13396514000000.0,13439686000000.0
2028.0,13285532000000.0,12941806000000.0,13496707000000.0,13336965000000.0,13439138000000.0
2029.0,13218113000000.0,12850804000000.0,13470306000000.0,13267046000000.0,13442195000000.0
2030.0,13148543000000.0,12712019000000.0,13402542000000.0,13253733000000.0,13406888000000.0
2031.0,13060494000000.0,12559671000000.0,13313328000000.0,13173403000000.0,13402756000000.0
2032.0,12948650000000.0,12472029000000.0,13283949000000.0,13116854000000.0,13413598000000.0
2033.0,12800610000000.0,12364125000000.0,13256577000000.0,13044349000000.0,13400816000000.0
2034.0,12693891000000.0,12248244000000.0,13221277000000.0,12959006000000.0,13380753000000.0
2035.0,12618463000000.0,12107886000000.0,13168975000000.0,12911304000000.0,13322606000000.0
2036.0,12518465000000.0,12001286000000.0,13162118000000.0,12838435000000.0,13286532000000.0
2037.0,12400244000000.0,11838633000000.0,13151365000000.0,12745631000000.0,13259310000000.0
