time,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,13944907000000.0,13944907000000.0,13944907000000.0,13944907000000.0
2001.0,13921663000000.0,13921663000000.0,13921663000000.0,13921663000000.0
2002.0,13902591000000.0,13902591000000.0,13902591000000.0,13902591000000.0
2003.0,13891185000000.0,13891185000000.0,13891185000000.0,13891185000000.0
2004.0,13889544000000.0,13889544000000.0,13889544000000.0,13889544000000.0
2005.0,13885469000000.0,13885469000000.0,13885469000000.0,13885469000000.0
2006.0,13873272000000.0,13873272000000.0,13873272000000.0,13873272000000.0
2007.0,13858094000000.0,13858094000000.0,13858094000000.0,13858094000000.0
2008.0,13853954000000.0,13853954000000.0,13853954000000.0,13853954000000.0
2009.0,13847373000000.0,13847373000000.0,13847373000000.0,13847373000000.0
2010.0,13834272000000.0,13834272000000.0,13834272000000.0,13834272000000.0
2011.0,13827747000000.0,13827747000000.0,13827747000000.0,13827747000000.0
2012.0,13823229000000.0,13823229000000.0,13823229000000.0,13823229000000.0
2013.0,13800156000000.0,13800156000000.0,13800156000000.0,13800156000000.0
2014.0,13769632000000.0,13769632000000.0,13769632000000.0,13769632000000.0
2015.0,13776558000000.0,13776558000000.0,13776558000000.0,13776558000000.0
2016.0,13763005000000.0,13763005000000.0,13763005000000.0,13763005000000.0
2017.0,13730462000000.0,13730462000000.0,13730462000000.0,13730462000000.0
2018.0,13723015000000.0,13723015000000.0,13723015000000.0,13723015000000.0
2019.0,13701915000000.0,13701915000000.0,13701915000000.0,13701915000000.0
2020.0,13687473000000.0,13687473000000.0,13687473000000.0,13687473000000.0
2021.0,13647375000000.0,13652133000000.0,13635914000000.0,13651050000000.0
2022.0,13646838000000.0,13643268000000.0,13588083000000.0,13609167000000.0
2023.0,13572322000000.0,13615551000000.0,13563674000000.0,13543283000000.0
2024.0,13507741000000.0,13611580000000.0,13551217000000.0,13446021000000.0
2025.0,13503963000000.0,13621076000000.0,13528342000000.0,13345657000000.0
2026.0,13460814000000.0,13578302000000.0,13528733000000.0,13250538000000.0
2027.0,13387767000000.0,13513125000000.0,13534304000000.0,13116379000000.0
2028.0,13354000000000.0,13506197000000.0,13508776000000.0,13053890000000.0
2029.0,13332878000000.0,13488744000000.0,13430222000000.0,12970050000000.0
2030.0,13306317000000.0,13497308000000.0,13356850000000.0,12903075000000.0
2031.0,13286231000000.0,13453160000000.0,13323659000000.0,12809832000000.0
2032.0,13260514000000.0,13405458000000.0,13233934000000.0,12720496000000.0
2033.0,13231330000000.0,13403732000000.0,13135046000000.0,12659124000000.0
2034.0,13125809000000.0,13400286000000.0,12982631000000.0,12543359000000.0
2035.0,13091980000000.0,13386720000000.0,12921365000000.0,12457794000000.0
2036.0,13028904000000.0,13395261000000.0,12812422000000.0,12375309000000.0
2037.0,12964287000000.0,13368827000000.0,12783812000000.0,12239957000000.0
2038.0,12851066000000.0,13314506000000.0,12735541000000.0,12123539000000.0
2039.0,12815204000000.0,13291680000000.0,12676579000000.0,12058492000000.0
2040.0,12745488000000.0,13290246000000.0,12623470000000.0,11917671000000.0
2041.0,12692315000000.0,13249386000000.0,12537102000000.0,11753009000000.0
2042.0,12637952000000.0,13215900000000.0,12495614000000.0,11665925000000.0
2043.0,12591024000000.0,13183832000000.0,12476449000000.0,11501398000000.0
2044.0,12553136000000.0,13157012000000.0,12443148000000.0,11298059000000.0
2045.0,12544082000000.0,13089736000000.0,12365597000000.0,11160529000000.0
2046.0,12493772000000.0,13059576000000.0,12289417000000.0,11032987000000.0
2047.0,12441885000000.0,13036325000000.0,12230112000000.0,10898932000000.0
2048.0,12354673000000.0,12995960000000.0,12121227000000.0,10782743000000.0
2049.0,12325577000000.0,12985275000000.0,12014513000000.0,10712461000000.0
2050.0,12243185000000.0,12958029000000.0,11887666000000.0,10659595000000.0
2051.0,12184865000000.0,12936724000000.0,11829778000000.0,10584498000000.0
2052.0,12140465000000.0,12895562000000.0,11693202000000.0,10489580000000.0
2053.0,12093208000000.0,12901042000000.0,11606425000000.0,10377719000000.0
2054.0,12076059000000.0,12906027000000.0,11517043000000.0,10274691000000.0
2055.0,12072029000000.0,12898879000000.0,11413861000000.0,10138213000000.0
2056.0,11970850000000.0,12882567000000.0,11326527000000.0,10096998000000.0
2057.0,11890695000000.0,12876807000000.0,11293454000000.0,10033434000000.0
2058.0,11842722000000.0,12858285000000.0,11197614000000.0,9935079000000.0
2059.0,11775770000000.0,12873683000000.0,11137356000000.0,9822250000000.0
2060.0,11693894000000.0,12845680000000.0,11102390000000.0,9694114000000.0
2061.0,11577652000000.0,12831347000000.0,11107238000000.0,9535375000000.0
2062.0,11469407000000.0,12851266000000.0,11012242000000.0,9387193000000.0
2063.0,11358377000000.0,12857937000000.0,10975742000000.0,9234670000000.0
2064.0,11265515000000.0,12837433000000.0,10908144000000.0,9096419000000.0
2065.0,11182625000000.0,12808405000000.0,10848918000000.0,8968083000000.0
2066.0,11071302000000.0,12804307000000.0,10801270000000.0,8857382000000.0
2067.0,10997207000000.0,12796596000000.0,10742961000000.0,8715027600000.0
2068.0,10876431000000.0,12790479000000.0,10687441000000.0,8599820000000.0
2069.0,10828874000000.0,12742007000000.0,10660806000000.0,8495621500000.0
2070.0,10729583000000.0,12722475000000.0,10613974000000.0,8432618000000.0
2071.0,10659618000000.0,12682491000000.0,10574020000000.0,8337929300000.0
2072.0,10620677000000.0,12653094000000.0,10478555000000.0,8287184500000.0
2073.0,10557799000000.0,12619620000000.0,10460377000000.0,8245318500000.0
2074.0,10511321000000.0,12607952000000.0,10402528000000.0,8193698700000.0
2075.0,10462654000000.0,12560335000000.0,10349003000000.0,8097213400000.0
2076.0,10381082000000.0,12539684000000.0,10258837000000.0,7991982600000.0
2077.0,10322330000000.0,12515488000000.0,10162584000000.0,7884038500000.0
2078.0,10202291000000.0,12472543000000.0,10063744000000.0,7775258700000.0
2079.0,10143211000000.0,12479189000000.0,9953203000000.0,7644963700000.0
2080.0,10082537000000.0,12467233000000.0,9888410000000.0,7536766400000.0
2081.0,10059844000000.0,12430056000000.0,9825614000000.0,7429684000000.0
2082.0,10029012000000.0,12413342000000.0,9769256000000.0,7349845000000.0
2083.0,9934458000000.0,12381940000000.0,9739690000000.0,7252176500000.0
2084.0,9918030000000.0,12368162000000.0,9675278000000.0,7171734000000.0
2085.0,9897051000000.0,12360185000000.0,9626768000000.0,7100267000000.0
2086.0,9844616000000.0,12335685000000.0,9599203000000.0,7010151000000.0
2087.0,9820735000000.0,12324117000000.0,9562985000000.0,6941575000000.0
2088.0,9805468000000.0,12329492000000.0,9488029000000.0,6881403000000.0
2089.0,9779428000000.0,12326086000000.0,9420644000000.0,6784049000000.0
2090.0,9745401000000.0,12305955000000.0,9351621000000.0,6681114700000.0
2091.0,9724637000000.0,12286554000000.0,9277278000000.0,6605875700000.0
2092.0,9699932000000.0,12282335000000.0,9230223000000.0,6518632600000.0
2093.0,9637118000000.0,12266965000000.0,9203666000000.0,6446848000000.0
2094.0,9636400000000.0,12250744000000.0,9152415000000.0,6373851000000.0
2095.0,9570307000000.0,12258818000000.0,9134276000000.0,6300286600000.0
2096.0,9553018000000.0,12247381000000.0,9104641000000.0,6267075000000.0
2097.0,9513293000000.0,12253758000000.0,9082490000000.0,6179995000000.0
2098.0,9460562000000.0,12262430000000.0,9053221000000.0,6136602000000.0
2099.0,9402242000000.0,12240559000000.0,8991857000000.0,6055675000000.0
2100.0,9368238000000.0,12240426000000.0,8948378000000.0,5971443000000.0
