time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5
2000.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0,712224990400.0
2001.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0,711795825500.0
2002.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0,710680214000.0
2003.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0,710199343700.0
2004.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0,710511241800.0
2005.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0,709636376700.0
2006.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0,709557298600.0
2007.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0,708530573500.0
2008.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0,707563831300.0
2009.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0,707622580000.0
2010.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0,706022241900.0
2011.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0,706868611200.0
2012.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0,705272392500.0
2013.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0,705081771200.0
2014.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0,705924313700.0
2015.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0,703898467700.0
2016.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0,704746254100.0
2017.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0,701314408900.0
2018.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0,700991416400.0
2019.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0,702148889800.0
2020.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0,699484687100.0
2021.0,697918354700.0,697137135200.0,698636446600.0,698298301000.0,697678343200.0,698705163900.0,697700626000.0,697436321300.0,697753537200.0,698375901300.0
2022.0,698930023200.0,695924890000.0,697031275700.0,696827356300.0,696806321600.0,697005394800.0,696439815400.0,696290641900.0,696374660400.0,696803232600.0
2023.0,697001970300.0,694883092600.0,696357136100.0,695710279100.0,695061640300.0,695087904300.0,698247131400.0,694786302750.0,694513885200.0,695601293030.0
2024.0,695694787000.0,694301879800.0,694823780170.0,695674886750.0,693924915600.0,693490252000.0,696249038660.0,693712088440.0,694200931000.0,696387771400.0
2025.0,694495009740.0,692379502300.0,693819334900.0,693432048040.0,692792375500.0,691483019740.0,694564052050.0,691776845450.0,692577540900.0,694141151980.0
2026.0,693795462500.0,690626493900.0,692075492900.0,692231491060.0,691766536760.0,689590279250.0,691755567500.0,690845401840.0,690754963700.0,691981775140.0
2027.0,693874366700.0,687197755100.0,690394055060.0,690540892040.0,689549314720.0,687886782040.0,690386143100.0,689527408750.0,689844055490.0,691156792100.0
2028.0,690595650550.0,686362064940.0,689571187800.0,690038064200.0,687624785460.0,686164780400.0,688003015560.0,688180040950.0,687776627700.0,688339829600.0
2029.0,688955732460.0,684411978600.0,688071429300.0,688281719260.0,686165610650.0,684601627800.0,685914404000.0,687289225800.0,686941214700.0,687265941900.0
2030.0,687028814200.0,680934356400.0,686077295600.0,686565981520.0,683932080000.0,683260465300.0,684504111500.0,683961484200.0,686390197700.0,685633024200.0
