time,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,KACE-1-0-G,GFDL-ESM4,UKESM1-0-LL,IITM-ESM
2000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0
2001.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0
2002.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0
2003.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0
2004.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0
2005.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0
2006.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0
2007.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0
2008.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0
2009.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0
2010.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0
2011.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0
2012.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0
2013.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0
2014.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0
2015.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0
2016.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0
2017.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0
2018.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0
2019.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0
2020.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0
2021.0,44296390000000.0,44269373000000.0,44300140000000.0,44302848000000.0,44263610000000.0,44267104000000.0,44275920000000.0,44355855000000.0,44169377000000.0
2022.0,44264063000000.0,44168570000000.0,44263360000000.0,44263383000000.0,44054800000000.0,44237966000000.0,44253850000000.0,44232174000000.0,44006675000000.0
2023.0,44184610000000.0,44186766000000.0,44225727000000.0,44128142000000.0,43989743000000.0,44174246000000.0,44239270000000.0,44236313000000.0,43874274000000.0
2024.0,44056197000000.0,44091723000000.0,44101114000000.0,44058420000000.0,43801435000000.0,44160963000000.0,44190117000000.0,44072077000000.0,43677313000000.0
2025.0,43950832000000.0,43992760000000.0,44012296000000.0,44014485000000.0,43721903000000.0,44125563000000.0,44117065000000.0,43976657000000.0,43621640000000.0
2026.0,43878800000000.0,43948180000000.0,43938240000000.0,43960433000000.0,43721828000000.0,44047205000000.0,44036920000000.0,43706600000000.0,43444924000000.0
2027.0,43765250000000.0,43841588000000.0,43869040000000.0,43907250000000.0,43694476000000.0,44035843000000.0,43904196000000.0,43500834000000.0,43238912000000.0
2028.0,43677087000000.0,43782783000000.0,43725925000000.0,43863250000000.0,43732016000000.0,43941780000000.0,43806020000000.0,43378943000000.0,42978412000000.0
2029.0,43532216000000.0,43660733000000.0,43662533000000.0,43796385000000.0,43713552000000.0,43825190000000.0,43750454000000.0,43254600000000.0,42629760000000.0
2030.0,43428810000000.0,43507494000000.0,43570910000000.0,43685160000000.0,43690320000000.0,43770110000000.0,43734507000000.0,43148584000000.0,42413660000000.0
2031.0,43175683000000.0,43391593000000.0,43383175000000.0,43537173000000.0,43602793000000.0,43777720000000.0,43599908000000.0,43015690000000.0,42161874000000.0
2032.0,42966098000000.0,43327345000000.0,43300850000000.0,43509960000000.0,43560448000000.0,43746738000000.0,43512574000000.0,42845510000000.0,41915236000000.0
2033.0,42707270000000.0,43181200000000.0,43115092000000.0,43432324000000.0,43560313000000.0,43669980000000.0,43439030000000.0,42685900000000.0,41723820000000.0
2034.0,42488020000000.0,43094230000000.0,42957273000000.0,43317450000000.0,43442310000000.0,43573207000000.0,43362288000000.0,42500308000000.0,41443867000000.0
2035.0,42185114000000.0,42987810000000.0,42822920000000.0,43171627000000.0,43274983000000.0,43457250000000.0,43238103000000.0,42337514000000.0,41241820000000.0
