time,MRI-ESM2-0,CNRM-ESM2-1,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0
2001.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0
2002.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0
2003.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0
2004.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0
2005.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0
2006.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0
2007.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0
2008.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0
2009.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0
2010.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0
2011.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0
2012.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0
2013.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0
2014.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0
2015.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0
2016.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0
2017.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0
2018.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0
2019.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0
2020.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0
2021.0,44260385000000.0,44332204000000.0,44277570000000.0,44262290000000.0,44246074000000.0
2022.0,44177056000000.0,44226088000000.0,44154214000000.0,44068814000000.0,44096492000000.0
2023.0,44048455000000.0,44067975000000.0,44084690000000.0,43982680000000.0,43889885000000.0
2024.0,44036316000000.0,43918220000000.0,44056860000000.0,43867655000000.0,43735123000000.0
2025.0,43932950000000.0,43833153000000.0,43952187000000.0,43730107000000.0,43614596000000.0
2026.0,43819953000000.0,43681566000000.0,43937980000000.0,43490604000000.0,43509410000000.0
2027.0,43752987000000.0,43627917000000.0,43899398000000.0,43452970000000.0,43347600000000.0
2028.0,43616180000000.0,43536120000000.0,43850620000000.0,43319166000000.0,43243203000000.0
2029.0,43581080000000.0,43319200000000.0,43748617000000.0,43287780000000.0,43138770000000.0
2030.0,43591565000000.0,43247600000000.0,43737900000000.0,43161724000000.0,43079470000000.0
2031.0,43457725000000.0,43079222000000.0,43621870000000.0,42982580000000.0,43004253000000.0
2032.0,43371420000000.0,42929090000000.0,43545080000000.0,42750870000000.0,42869230000000.0
2033.0,43244017000000.0,42742562000000.0,43490800000000.0,42537970000000.0,42764037000000.0
2034.0,43133160000000.0,42452354000000.0,43440640000000.0,42418292000000.0,42676255000000.0
2035.0,42944992000000.0,42242000000000.0,43351538000000.0,42286075000000.0,42634345000000.0
2036.0,42740662000000.0,42178160000000.0,43269430000000.0,42086420000000.0,42463090000000.0
2037.0,42615770000000.0,41869550000000.0,43246840000000.0,41896200000000.0,42246364000000.0
2038.0,42520537000000.0,41551464000000.0,43108230000000.0,41693756000000.0,42059010000000.0
2039.0,42419580000000.0,41209217000000.0,42996112000000.0,41552596000000.0,41878990000000.0
2040.0,42371778000000.0,40947650000000.0,42933170000000.0,41344903000000.0,41569474000000.0
2041.0,42184993000000.0,40731780000000.0,42813094000000.0,41145410000000.0,41238036000000.0
2042.0,42040350000000.0,40357740000000.0,42588400000000.0,41038945000000.0,41022747000000.0
2043.0,41969263000000.0,40062415000000.0,42429986000000.0,40872738000000.0,40730576000000.0
2044.0,41901965000000.0,39830670000000.0,42239846000000.0,40658060000000.0,40324496000000.0
2045.0,41777490000000.0,39611880000000.0,42004625000000.0,40416196000000.0,39938003000000.0
2046.0,41651737000000.0,39387136000000.0,41832320000000.0,40108267000000.0,39605475000000.0
2047.0,41379520000000.0,39000480000000.0,41662466000000.0,39867780000000.0,39282580000000.0
2048.0,41176653000000.0,38697056000000.0,41396460000000.0,39662412000000.0,38980950000000.0
2049.0,41012924000000.0,38443233000000.0,41150426000000.0,39538538000000.0,38720447000000.0
2050.0,40870628000000.0,38181236000000.0,40975573000000.0,39443386000000.0,38419510000000.0
2051.0,40704303000000.0,37894810000000.0,40774260000000.0,39317376000000.0,38083860000000.0
