time,UKESM1-0-LL,MIROC6,CNRM-ESM2-1,MRI-ESM2-0,KACE-1-0-G,GFDL-ESM4,EC-EARTH3,MPI-ESM1-2-HR,TAIESM1,IPSL-CM6A-LR,CNRM-CM6-1,CANESM5,CESM2-WACCM
2000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0,45094414000000.0
2001.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0,45088198000000.0
2002.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0,45083403000000.0
2003.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0,44963648000000.0
2004.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0,44928374000000.0
2005.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0,44901643000000.0
2006.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0,44931305000000.0
2007.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0,44831990000000.0
2008.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0,44776573000000.0
2009.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0,44758018000000.0
2010.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0,44673720000000.0
2011.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0,44648542000000.0
2012.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0,44583946000000.0
2013.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0,44590620000000.0
2014.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0,44491520000000.0
2015.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0,44576643000000.0
2016.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0,44546583000000.0
2017.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0,44558566000000.0
2018.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0,44417700000000.0
2019.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0,44381004000000.0
2020.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0,44365060000000.0
2021.0,44337245000000.0,44303473000000.0,44162343000000.0,44336520000000.0,44271684000000.0,44270224000000.0,44126680000000.0,44228516000000.0,44287870000000.0,44185562000000.0,44267184000000.0,44226890000000.0,44370020000000.0
2022.0,44238012000000.0,44294463000000.0,43988992000000.0,44261412000000.0,44327485000000.0,44183480000000.0,43965840000000.0,44156605000000.0,44125546000000.0,44157980000000.0,44150318000000.0,44020100000000.0,44305998000000.0
