time,GFDL-ESM2G,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0,1024246700000.0
2001.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0,1017586650000.0
2002.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0,1015558240000.0
2003.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0,1007593300000.0
2004.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0,1000365600000.0
2005.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0,987195600000.0
2006.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0,983964700000.0
2007.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0,973306100000.0
2008.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0,977007700000.0
2009.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0,971356240000.0
2010.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0,957699260000.0
2011.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0,952621900000.0
2012.0,954754000000.0,954754000000.0,954754000000.0,954754000000.0,954754000000.0,954754000000.0,954754000000.0,954754000000.0
2013.0,950906700000.0,950906700000.0,950906700000.0,950906700000.0,950906700000.0,950906700000.0,950906700000.0,950906700000.0
2014.0,930116800000.0,930116800000.0,930116800000.0,930116800000.0,930116800000.0,930116800000.0,930116800000.0,930116800000.0
2015.0,916264500000.0,916264500000.0,916264500000.0,916264500000.0,916264500000.0,916264500000.0,916264500000.0,916264500000.0
2016.0,899065100000.0,899065100000.0,899065100000.0,899065100000.0,899065100000.0,899065100000.0,899065100000.0,899065100000.0
2017.0,887950340000.0,887950340000.0,887950340000.0,887950340000.0,887950340000.0,887950340000.0,887950340000.0,887950340000.0
2018.0,877365040000.0,877365040000.0,877365040000.0,877365040000.0,877365040000.0,877365040000.0,877365040000.0,877365040000.0
2019.0,870006850000.0,870006850000.0,870006850000.0,870006850000.0,870006850000.0,870006850000.0,870006850000.0,870006850000.0
2020.0,854413400000.0,854413400000.0,854413400000.0,854413400000.0,854413400000.0,854413400000.0,854413400000.0,854413400000.0
2021.0,827918840000.0,841848060000.0,845380200000.0,844475900000.0,839033950000.0,846900300000.0,839779200000.0,840242600000.0
2022.0,811655600000.0,821329400000.0,820353300000.0,829648100000.0,822027000000.0,842965450000.0,832066400000.0,807163900000.0
2023.0,788038350000.0,797400760000.0,799812550000.0,825363100000.0,810619600000.0,826042500000.0,822453140000.0,779658800000.0
2024.0,766036930000.0,771230300000.0,787350000000.0,821012100000.0,795636330000.0,812656160000.0,813737200000.0,766232300000.0
2025.0,748626100000.0,758854250000.0,780700300000.0,802836600000.0,783931500000.0,814366460000.0,797589770000.0,754475100000.0
2026.0,736050400000.0,747811050000.0,761217500000.0,796379600000.0,767874600000.0,800222100000.0,784838100000.0,733365670000.0
2027.0,730744750000.0,736484400000.0,746705450000.0,787265360000.0,742557550000.0,788190130000.0,776705300000.0,713163150000.0
2028.0,720654960000.0,737489400000.0,744160030000.0,788166930000.0,733945660000.0,775750160000.0,765817100000.0,703810800000.0
2029.0,699173000000.0,729786160000.0,731484300000.0,780013400000.0,722706370000.0,756842500000.0,748424100000.0,679580000000.0
2030.0,694222300000.0,720899150000.0,724884650000.0,760972700000.0,706269300000.0,740591400000.0,734192140000.0,654701200000.0
2031.0,680129660000.0,709795100000.0,709653500000.0,743792900000.0,700219000000.0,730309700000.0,723604800000.0,638112400000.0
2032.0,655358030000.0,701417260000.0,697271450000.0,725333800000.0,680181600000.0,715660100000.0,719951900000.0,627418460000.0
2033.0,647549300000.0,696012440000.0,688655100000.0,708249000000.0,668046200000.0,698518730000.0,713623500000.0,611298100000.0
2034.0,638472160000.0,686161850000.0,691359060000.0,691523200000.0,653493900000.0,681839700000.0,709863800000.0,594704500000.0
2035.0,627645740000.0,680904560000.0,688016460000.0,681098500000.0,642935900000.0,667057460000.0,695259040000.0,586481340000.0
2036.0,614747400000.0,672153530000.0,677124000000.0,663525500000.0,626960500000.0,656252140000.0,685553300000.0,567549760000.0
2037.0,606234100000.0,659973300000.0,669498700000.0,655091000000.0,610095600000.0,649707600000.0,684798300000.0,558679200000.0
2038.0,586120360000.0,651903570000.0,655197100000.0,637909860000.0,593223100000.0,638709470000.0,683416300000.0,535120840000.0
2039.0,574925400000.0,649656860000.0,635175500000.0,620080600000.0,582066500000.0,628019100000.0,680390500000.0,521919230000.0
2040.0,567551070000.0,642753700000.0,630672500000.0,598341260000.0,561428600000.0,610051360000.0,669684600000.0,492554940000.0
2041.0,549987000000.0,633279150000.0,621048800000.0,582780900000.0,551520960000.0,597499100000.0,661880400000.0,475790800000.0
2042.0,527903900000.0,621331740000.0,616426900000.0,561200370000.0,536150100000.0,578023700000.0,652742900000.0,460857000000.0
2043.0,513903700000.0,603646070000.0,603807000000.0,554511960000.0,532786350000.0,570128000000.0,637662130000.0,441928400000.0
2044.0,494854700000.0,588357400000.0,591852800000.0,543764870000.0,520847900000.0,552891800000.0,623039600000.0,430799600000.0
2045.0,488964600000.0,574366800000.0,577903070000.0,531060060000.0,502845800000.0,535582100000.0,622663040000.0,412676880000.0
2046.0,477757500000.0,572544800000.0,564376200000.0,519136900000.0,485770230000.0,513958670000.0,609276130000.0,402399530000.0
2047.0,462395540000.0,561527600000.0,551098500000.0,504708170000.0,476147250000.0,494962100000.0,603686500000.0,382129050000.0
2048.0,454864500000.0,548549600000.0,538561970000.0,485530000000.0,462009000000.0,482213200000.0,591065800000.0,370611300000.0
2049.0,442365120000.0,533077980000.0,523012050000.0,474886730000.0,446464300000.0,467051540000.0,578929800000.0,355546430000.0
