time,MPI-ESM-LR,CNRM-CM5,GFDL-CM3,GISS-E2-R,NORESM1-M,CANESM2,CCSM4,IPSL-CM5A-LR,GFDL-ESM2G,CSIRO-MK3-6-0
2000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0,2876157200000.0
2001.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0,2859780500000.0
2002.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0,2840305600000.0
2003.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0,2828108800000.0
2004.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0,2838306200000.0
2005.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0,2834949200000.0
2006.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0,2841706500000.0
2007.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0,2840436100000.0
2008.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0,2817747800000.0
2009.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0,2816151700000.0
2010.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0,2806894800000.0
2011.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0,2820438200000.0
2012.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0,2810079600000.0
2013.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0,2793090600000.0
2014.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0,2780886700000.0
2015.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0,2781749000000.0
2016.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0,2804334700000.0
2017.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0,2782140600000.0
2018.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0,2781377500000.0
2019.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0,2768598700000.0
2020.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0,2773503400000.0
2021.0,2772576500000.0,2761746300000.0,2746482000000.0,2772927500000.0,2765259800000.0,2735215000000.0,2744352800000.0,2773375500000.0,2755881600000.0,2733492700000.0
2022.0,2762973000000.0,2766012400000.0,2734625000000.0,2756171300000.0,2750948300000.0,2711702500000.0,2720887500000.0,2754794200000.0,2756378400000.0,2722027300000.0
2023.0,2744177100000.0,2752855700000.0,2723428200000.0,2745618100000.0,2743986000000.0,2707290800000.0,2706050000000.0,2757158800000.0,2747353500000.0,2689025700000.0
2024.0,2721599500000.0,2743244000000.0,2700844000000.0,2738907000000.0,2732023600000.0,2678103200000.0,2681070400000.0,2740866000000.0,2731070000000.0,2658472600000.0
2025.0,2715568800000.0,2743684600000.0,2677647300000.0,2712980000000.0,2710310000000.0,2651230800000.0,2665793700000.0,2715158300000.0,2709699400000.0,2632235600000.0
2026.0,2712097000000.0,2715837300000.0,2648582000000.0,2690521000000.0,2690110500000.0,2645043200000.0,2661820000000.0,2721164800000.0,2704156400000.0,2596348400000.0
2027.0,2718347800000.0,2717028000000.0,2625670500000.0,2683272700000.0,2667461200000.0,2595232000000.0,2654793600000.0,2711483000000.0,2662075500000.0,2577775500000.0
2028.0,2706780700000.0,2712777300000.0,2590746000000.0,2657521200000.0,2651968200000.0,2568882200000.0,2655635000000.0,2709967900000.0,2674346200000.0,2553770700000.0
2029.0,2682972500000.0,2698541500000.0,2556074400000.0,2634385500000.0,2619290700000.0,2531480000000.0,2621653600000.0,2679180400000.0,2679010500000.0,2524411300000.0
2030.0,2669128000000.0,2671429600000.0,2524088600000.0,2611753000000.0,2578455700000.0,2515795000000.0,2603645700000.0,2641432200000.0,2652020400000.0,2493253200000.0
2031.0,2649721400000.0,2658634800000.0,2506030000000.0,2601724100000.0,2553196000000.0,2474669000000.0,2582108200000.0,2618163200000.0,2624409300000.0,2492280300000.0
2032.0,2621094500000.0,2648812000000.0,2467302700000.0,2582151000000.0,2544949500000.0,2457467400000.0,2540142000000.0,2594740600000.0,2616875500000.0,2466604000000.0
2033.0,2602463400000.0,2640106500000.0,2437702200000.0,2556929000000.0,2521243300000.0,2448707600000.0,2516814400000.0,2562570000000.0,2598236000000.0,2425863500000.0
2034.0,2577488200000.0,2630014500000.0,2400865500000.0,2538703700000.0,2501097800000.0,2412699200000.0,2510909900000.0,2529575800000.0,2585298000000.0,2383061500000.0
2035.0,2567635500000.0,2615734000000.0,2365605000000.0,2513860300000.0,2481170000000.0,2369526200000.0,2494403700000.0,2491259000000.0,2560401600000.0,2354979800000.0
2036.0,2528760600000.0,2593432800000.0,2321307000000.0,2476381600000.0,2474357300000.0,2328840400000.0,2463718700000.0,2455153400000.0,2533466000000.0,2345596600000.0
2037.0,2519605700000.0,2567273000000.0,2285457400000.0,2439149800000.0,2455350500000.0,2290753200000.0,2445059800000.0,2406297000000.0,2523384000000.0,2326062200000.0
2038.0,2506538600000.0,2546662000000.0,2249360100000.0,2394314000000.0,2453382000000.0,2260023400000.0,2440321000000.0,2364091100000.0,2497126900000.0,2310327500000.0
2039.0,2468908000000.0,2529823800000.0,2181598700000.0,2366654600000.0,2427562200000.0,2228495300000.0,2406127200000.0,2302066000000.0,2469657000000.0,2275931000000.0
2040.0,2438141000000.0,2516138000000.0,2137688100000.0,2327207000000.0,2397047000000.0,2193565800000.0,2384634300000.0,2236134200000.0,2457387100000.0,2237629200000.0
2041.0,2419286900000.0,2483742000000.0,2081037600000.0,2299590000000.0,2367260200000.0,2155134700000.0,2359984700000.0,2187932600000.0,2444481800000.0,2220253000000.0
2042.0,2387795200000.0,2449029700000.0,2033040000000.0,2261339300000.0,2341922700000.0,2132952200000.0,2346815300000.0,2141230700000.0,2416245000000.0,2189996900000.0
2043.0,2365998500000.0,2419979200000.0,1979077500000.0,2215884400000.0,2310355000000.0,2110964900000.0,2329512200000.0,2110157400000.0,2381622500000.0,2152859200000.0
2044.0,2349614200000.0,2397817800000.0,1939844500000.0,2189092800000.0,2276317500000.0,2072071900000.0,2295517200000.0,2084875500000.0,2385953000000.0,2127648900000.0
2045.0,2318291400000.0,2356319000000.0,1891673400000.0,2176712800000.0,2247241800000.0,2013002600000.0,2264274300000.0,2032467300000.0,2366693700000.0,2101152000000.0
