time,CESM2-WACCM,ACCESS-CM2,CANESM5,IPSL-CM6A-LR,MRI-ESM2-0,ACCESS-ESM1-5
2000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0,135756220000.0
2001.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0,136164390000.0
2002.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0,136301126000.0
2003.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0,135762300000.0
2004.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0,135809900000.0
2005.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0,135577870000.0
2006.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0,135391230000.0
2007.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0,135219610000.0
2008.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0,135262460000.0
2009.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0,135167790000.0
2010.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0,135027606000.0
2011.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0,134893310000.0
2012.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0,135043740000.0
2013.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0,135577510000.0
2014.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0,134959600000.0
2015.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0,135629545000.0
2016.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0,134959030000.0
2017.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0,134652490000.0
2018.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0,134775750000.0
2019.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0,134728410000.0
2020.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0,134715810000.0
2021.0,134464010000.0,134537320000.0,134480660000.0,134509010000.0,134392680000.0,134946570000.0
2022.0,134427705000.0,134308660000.0,134376900000.0,134827250000.0,134915860000.0,134362370000.0
2023.0,134406460000.0,134339810000.0,134364725000.0,134462610000.0,134454750000.0,134220330000.0
2024.0,134011830000.0,134068530000.0,134341190000.0,134536090000.0,134404900000.0,134472070000.0
2025.0,134026400000.0,133945480000.0,133952676000.0,134199450000.0,134201310000.0,134053820000.0
2026.0,133804510000.0,134380225000.0,134479820000.0,133732114000.0,134069210000.0,133927980000.0
2027.0,133672020000.0,133869690000.0,133900030000.0,133969300000.0,133709816000.0,133937910000.0
2028.0,133379100000.0,133590510000.0,133799160000.0,133917620000.0,133574120000.0,133675420000.0
2029.0,133578490000.0,133367054000.0,133677900000.0,134147826000.0,133991520000.0,133733890000.0
2030.0,134225060000.0,133565130000.0,134307610000.0,133992420000.0,133751460000.0,134257550000.0
2031.0,133332260000.0,133102370000.0,133400580000.0,133211900000.0,133527600000.0,133380670000.0
2032.0,132978570000.0,132913190000.0,133613630000.0,133228250000.0,133127440000.0,133352060000.0
2033.0,132882770000.0,132829340000.0,133018380000.0,133185675000.0,133021114000.0,133585100000.0
2034.0,132844580000.0,132748255000.0,132887410000.0,133645170000.0,133072560000.0,133518600000.0
2035.0,132697330000.0,132895910000.0,132846174000.0,133276220000.0,133391560000.0,133951760000.0
2036.0,132527970000.0,132543594000.0,132641915000.0,132783660000.0,132755730000.0,133270430000.0
2037.0,132311720000.0,132443455000.0,133104990000.0,132579820000.0,132570080000.0,133616000000.0
2038.0,132019380000.0,132202740000.0,132481940000.0,132680860000.0,132556430000.0,132784110000.0
2039.0,131762440000.0,131876080000.0,132375160000.0,132228530000.0,132353516000.0,132972750000.0
2040.0,131587920000.0,131714580000.0,132492870000.0,132213920000.0,132186690000.0,132532230000.0
2041.0,131608450000.0,131683930000.0,132356550000.0,131974890000.0,131934330000.0,132369640000.0
2042.0,131816800000.0,131614610000.0,132044650000.0,131668090000.0,131874120000.0,132253020000.0
2043.0,131287940000.0,131600770000.0,131951470000.0,131495354000.0,131910615000.0,132876165000.0
2044.0,131144425000.0,131052810000.0,131918910000.0,131252036000.0,131561960000.0,132539760000.0
2045.0,130730610000.0,130667230000.0,131616170000.0,130918875000.0,131274730000.0,131973050000.0
2046.0,130545885000.0,130396770000.0,131661650000.0,130577970000.0,131074564000.0,131776580000.0
2047.0,130045510000.0,130107880000.0,131377600000.0,130342440000.0,130701050000.0,131900760000.0
2048.0,129678180000.0,129833580000.0,131084930000.0,130203440000.0,130534560000.0,131638270000.0
2049.0,129442824000.0,129570960000.0,130841430000.0,129949830000.0,130269440000.0,131962180000.0
2050.0,129137990000.0,129329810000.0,130691200000.0,129521520000.0,129889490000.0,131311380000.0
2051.0,128638850000.0,129021090000.0,130150830000.0,128992530000.0,129680220000.0,130830490000.0
2052.0,128393265000.0,128775680000.0,130136830000.0,128646510000.0,129395440000.0,130995760000.0
2053.0,127917750000.0,128475750000.0,129880280000.0,128300016000.0,129173950000.0,130632900000.0
2054.0,127662490000.0,128270500000.0,129617790000.0,128163880000.0,128902050000.0,130470050000.0
2055.0,127128460000.0,127884670000.0,129364340000.0,127837310000.0,128553500000.0,130272756000.0
2056.0,126742260000.0,127433290000.0,129150300000.0,127321416000.0,128359660000.0,130350160000.0
2057.0,126276950000.0,126430390000.0,129135935000.0,127179964000.0,128189145000.0,130031050000.0
2058.0,125810614000.0,126089850000.0,128775094000.0,126331820000.0,127693070000.0,130036015000.0
2059.0,125169500000.0,125505356000.0,128356975000.0,125989070000.0,127410010000.0,129462690000.0
2060.0,124366210000.0,125239435000.0,127929630000.0,125385970000.0,127065760000.0,129038160000.0
2061.0,123798000000.0,124669450000.0,127520580000.0,124894814000.0,126724150000.0,128673390000.0
2062.0,123059050000.0,124177160000.0,127199100000.0,124422240000.0,125983710000.0,128295320000.0
2063.0,122155880000.0,123869660000.0,126509690000.0,124172260000.0,125487410000.0,127598890000.0
2064.0,121515710000.0,123338850000.0,125731290000.0,123421975000.0,124928520000.0,127168496000.0
2065.0,120962930000.0,122977400000.0,125333290000.0,122916815000.0,124603100000.0,126924325000.0
2066.0,120066220000.0,122475530000.0,125019110000.0,122679206000.0,124039170000.0,126352160000.0
2067.0,119151100000.0,122084794000.0,124495266000.0,122297320000.0,123250610000.0,125687595000.0
