time,FGOALS-F3-L,INM-CM4-8,CAMS-CSM1-0,BCC-CSM2-MR,EC-EARTH3,MRI-ESM2-0,INM-CM5-0,CESM2,CMCC-CM2-SR5,MPI-ESM1-2-HR,NORESM2-MM,GFDL-ESM4,EC-EARTH3-VEG,CESM2-WACCM
2044.0,13442661000000.0,12958729000000.0,13425840000000.0,13460282000000.0,11944234000000.0,12626156000000.0,12664578000000.0,12792101000000.0,12847558000000.0,12969338000000.0,12883668000000.0,13029151000000.0,12554111000000.0,13008687000000.0
2045.0,13402435000000.0,12887877000000.0,13346720000000.0,13363400000000.0,11841343000000.0,12545546000000.0,12594187000000.0,12705778000000.0,12705803000000.0,12903763000000.0,12812667000000.0,12970356000000.0,12433910000000.0,12987562000000.0
2046.0,13338680000000.0,12835263000000.0,13329062000000.0,13325044000000.0,11704739000000.0,12471590000000.0,12519735000000.0,12586858000000.0,12553475000000.0,12856863000000.0,12730955000000.0,12929087000000.0,12348055000000.0,12886336000000.0
2047.0,13284783000000.0,12737000000000.0,13310810000000.0,13281379000000.0,11573768000000.0,12353148000000.0,12432110000000.0,12564760000000.0,12412004000000.0,12791675000000.0,12634689000000.0,12876745000000.0,12225205000000.0,12828046000000.0
2048.0,13210024000000.0,12648983000000.0,13244058000000.0,13261708000000.0,11460960000000.0,12265142000000.0,12326640000000.0,12500705000000.0,12282404000000.0,12709215000000.0,12546018000000.0,12794998000000.0,12145314000000.0,12754693000000.0
2049.0,13152195000000.0,12563197000000.0,13182362000000.0,13240187000000.0,11356960000000.0,12195465000000.0,12282575000000.0,12410892000000.0,12176639000000.0,12643115000000.0,12488548000000.0,12765738000000.0,12048112000000.0,12646278000000.0
2050.0,13071037000000.0,12454724000000.0,13099092000000.0,13172825000000.0,11258989000000.0,12107788000000.0,12172672000000.0,12343787000000.0,12025088000000.0,12609095000000.0,12383946000000.0,12759489000000.0,11899956000000.0,12560780000000.0
2051.0,12992308000000.0,12413251000000.0,13064142000000.0,13121421000000.0,11085278000000.0,12006448000000.0,12118101000000.0,12276526000000.0,11913540000000.0,12560527000000.0,12289240000000.0,12690855000000.0,11755911000000.0,12445793000000.0
2052.0,12920220000000.0,12336206000000.0,13032694000000.0,13039068000000.0,10944917000000.0,11914151000000.0,12047031000000.0,12194959000000.0,11769374000000.0,12482238000000.0,12185782000000.0,12602098000000.0,11649506000000.0,12312464000000.0
2053.0,12827769000000.0,12251642000000.0,13019735000000.0,12993730000000.0,10869209000000.0,11867523000000.0,11954556000000.0,12128139000000.0,11599054000000.0,12399548000000.0,12105219000000.0,12538050000000.0,11510726000000.0,12208839000000.0
2054.0,12743392000000.0,12154721000000.0,12962288000000.0,12936524000000.0,10737125000000.0,11797336000000.0,11888028000000.0,12090963000000.0,11417584000000.0,12356102000000.0,12022159000000.0,12470744000000.0,11393291000000.0,12078961000000.0
2055.0,12669224000000.0,12134470000000.0,12902518000000.0,12854992000000.0,10565383000000.0,11731453000000.0,11829407000000.0,11953573000000.0,11242255000000.0,12295319000000.0,11938417000000.0,12393273000000.0,11281283000000.0,12007393000000.0
2056.0,12570752000000.0,12058180000000.0,12842477000000.0,12793274000000.0,10428309000000.0,11663273000000.0,11734045000000.0,11859411000000.0,11115009000000.0,12222373000000.0,11888555000000.0,12333094000000.0,11152041000000.0,11922242000000.0
2057.0,12529102000000.0,11972369000000.0,12761001000000.0,12748251000000.0,10259367000000.0,11608671000000.0,11653709000000.0,11724570000000.0,10996674000000.0,12187106000000.0,11818839000000.0,12292262000000.0,11021035000000.0,11805970000000.0
