time,CAMS-CSM1-0,MRI-ESM2-0,GFDL-ESM4,EC-EARTH3-VEG
2000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0
2001.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0
2002.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0
2003.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0
2004.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0
2005.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0
2006.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0
2007.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0
2008.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0
2009.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0
2010.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0
2011.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0
2012.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0
2013.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0
2014.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0
2015.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0
2016.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0
2017.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0
2018.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0
2019.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0
2020.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0
2021.0,14495720000000.0,14503490000000.0,14507049000000.0,14452294000000.0
2022.0,14476949000000.0,14456818000000.0,14478341000000.0,14405823000000.0
2023.0,14467052000000.0,14339759000000.0,14371828000000.0,14371222000000.0
2024.0,14444598000000.0,14255402000000.0,14293666000000.0,14265169000000.0
2025.0,14370483000000.0,14162890000000.0,14244632000000.0,14175491000000.0
2026.0,14343679000000.0,14147573000000.0,14183232000000.0,14066276000000.0
2027.0,14298070000000.0,14066901000000.0,14166738000000.0,14024757000000.0
2028.0,14252109000000.0,13987760000000.0,14085607000000.0,13950808000000.0
2029.0,14212307000000.0,13928293000000.0,14021936000000.0,13870458000000.0
2030.0,14180924000000.0,13865993000000.0,13936331000000.0,13775831000000.0
2031.0,14132830000000.0,13782333000000.0,13878991000000.0,13698159000000.0
2032.0,14090703000000.0,13710292000000.0,13839017000000.0,13661836000000.0
2033.0,14092037000000.0,13603450000000.0,13802607000000.0,13565474000000.0
2034.0,14102079000000.0,13536758000000.0,13695072000000.0,13475836000000.0
2035.0,14099165000000.0,13469198000000.0,13612455000000.0,13355672000000.0
2036.0,14044424000000.0,13379431000000.0,13550175000000.0,13286607000000.0
2037.0,14018082000000.0,13328813000000.0,13517797000000.0,13220622000000.0
2038.0,13950081000000.0,13224720000000.0,13440757000000.0,13135883000000.0
2039.0,13889076000000.0,13120706000000.0,13425389000000.0,13043619000000.0
2040.0,13859427000000.0,13002110000000.0,13348958000000.0,12954723000000.0
2041.0,13830626000000.0,12895285000000.0,13302299000000.0,12827435000000.0
2042.0,13755570000000.0,12820982000000.0,13241115000000.0,12723452000000.0
2043.0,13722556000000.0,12673606000000.0,13176101000000.0,12677515000000.0
2044.0,13674146000000.0,12598072000000.0,13129695000000.0,12654520000000.0
2045.0,13665706000000.0,12483219000000.0,13099577000000.0,12593249000000.0
2046.0,13579401000000.0,12434942000000.0,13005289000000.0,12542635000000.0
2047.0,13546360000000.0,12384247000000.0,12952431000000.0,12466417000000.0
2048.0,13518417000000.0,12302056000000.0,12900831000000.0,12418035000000.0
2049.0,13474705000000.0,12262000000000.0,12835349000000.0,12363158000000.0
2050.0,13409097000000.0,12175752000000.0,12816623000000.0,12327171000000.0
2051.0,13371992000000.0,12126429000000.0,12782433000000.0,12298323000000.0
2052.0,13339554000000.0,12056702000000.0,12741542000000.0,12268652000000.0
