time,BCC-CSM2-MR,MRI-ESM2-0,EC-EARTH3,INM-CM4-8,CAMS-CSM1-0,FGOALS-F3-L,CESM2-WACCM,GFDL-ESM4,NORESM2-MM,EC-EARTH3-VEG,MPI-ESM1-2-HR,CESM2,INM-CM5-0
2000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0,15331977000000.0
2001.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0,15299929000000.0
2002.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0,15270556000000.0
2003.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0,15204357000000.0
2004.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0,15101432000000.0
2005.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0,15055764000000.0
2006.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0,15014718000000.0
2007.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0,14999434000000.0
2008.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0,14959111000000.0
2009.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0,14906986000000.0
2010.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0,14824772000000.0
2011.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0,14746603000000.0
2012.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0,14711515000000.0
2013.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0,14685102000000.0
2014.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0,14671528000000.0
2015.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0,14636127000000.0
2016.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0,14646599000000.0
2017.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0,14612340000000.0
2018.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0,14596337000000.0
2019.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0,14631684000000.0
2020.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0,14547510000000.0
2021.0,14496852000000.0,14403603000000.0,14484054000000.0,14505178000000.0,14526987000000.0,14517200000000.0,14510241000000.0,14516822000000.0,14491543000000.0,14570455000000.0,14496044000000.0,14512826000000.0,14498567000000.0
2022.0,14482256000000.0,14308281000000.0,14431233000000.0,14457207000000.0,14499612000000.0,14487494000000.0,14495549000000.0,14484990000000.0,14405024000000.0,14507451000000.0,14469358000000.0,14432078000000.0,14468902000000.0
2023.0,14489186000000.0,14241307000000.0,14359776000000.0,14405449000000.0,14430857000000.0,14455864000000.0,14453233000000.0,14442404000000.0,14340310000000.0,14456379000000.0,14396991000000.0,14365079000000.0,14432309000000.0
2024.0,14503904000000.0,14209550000000.0,14267290000000.0,14330401000000.0,14396920000000.0,14438483000000.0,14375497000000.0,14410984000000.0,14329394000000.0,14394422000000.0,14351672000000.0,14335226000000.0,14369863000000.0
2025.0,14438819000000.0,14211555000000.0,14181804000000.0,14272711000000.0,14331245000000.0,14376374000000.0,14318957000000.0,14346147000000.0,14267297000000.0,14365723000000.0,14331827000000.0,14229009000000.0,14325758000000.0
2026.0,14407482000000.0,14140393000000.0,14071658000000.0,14245330000000.0,14287834000000.0,14321954000000.0,14288073000000.0,14313996000000.0,14216393000000.0,14329848000000.0,14272469000000.0,14171079000000.0,14291863000000.0
2027.0,14395337000000.0,14051476000000.0,13959985000000.0,14164113000000.0,14240872000000.0,14235263000000.0,14280737000000.0,14250019000000.0,14164160000000.0,14271210000000.0,14273564000000.0,14114227000000.0,14262698000000.0
2028.0,14336856000000.0,13976368000000.0,13872335000000.0,14088109000000.0,14200401000000.0,14189258000000.0,14222413000000.0,14195186000000.0,14128447000000.0,14214766000000.0,14198786000000.0,14027681000000.0,14183369000000.0
