time,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,CANESM5,EC-EARTH3-VEG,IPSL-CM6A-LR,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,CESM2,BCC-CSM2-MR,MRI-ESM2-0,EC-EARTH3,TAIESM1,INM-CM4-8,ACCESS-ESM1-5,CAMS-CSM1-0,FGOALS-F3-L
2016.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0,14819437000000.0
2017.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0,14785872000000.0
2018.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0,14770776000000.0
2019.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0,14807179000000.0
2020.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0,14720674000000.0
2021.0,14665600000000.0,14680988000000.0,14635461000000.0,14702563000000.0,14713303000000.0,14685304000000.0,14651223000000.0,14676870000000.0,14699488000000.0,14642404000000.0,14694231000000.0,14643280000000.0,14654262000000.0,14658991000000.0,14617182000000.0,14693917000000.0,14685609000000.0,14661001000000.0,14708017000000.0
2022.0,14583791000000.0,14617746000000.0,14594088000000.0,14680314000000.0,14653123000000.0,14612928000000.0,14593202000000.0,14631934000000.0,14649806000000.0,14572577000000.0,14665454000000.0,14567742000000.0,14603416000000.0,14601148000000.0,14489859000000.0,14624712000000.0,14635994000000.0,14603216000000.0,14637866000000.0
2023.0,14532908000000.0,14549774000000.0,14517408000000.0,14642737000000.0,14615572000000.0,14562642000000.0,14505899000000.0,14552195000000.0,14601277000000.0,14533666000000.0,14599052000000.0,14462596000000.0,14484791000000.0,14567465000000.0,14438919000000.0,14566096000000.0,14585905000000.0,14527052000000.0,14593847000000.0
2024.0,14449458000000.0,14519199000000.0,14485917000000.0,14537811000000.0,14470390000000.0,14430163000000.0,14460001000000.0,14503337000000.0,14536816000000.0,14486126000000.0,14497642000000.0,14441420000000.0,14403210000000.0,14474972000000.0,14344560000000.0,14479449000000.0,14547922000000.0,14489692000000.0,14522453000000.0
2025.0,14373950000000.0,14408938000000.0,14417612000000.0,14454448000000.0,14350018000000.0,14369095000000.0,14433811000000.0,14454522000000.0,14498704000000.0,14402848000000.0,14413889000000.0,14387986000000.0,14324053000000.0,14397202000000.0,14264012000000.0,14433297000000.0,14460890000000.0,14399473000000.0,14469880000000.0
