time,MRI-ESM2-0,CNRM-ESM2-1,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0
2001.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0
2002.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0
2003.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0
2004.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0
2005.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0
2006.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0
2007.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0
2008.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0
2009.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0
2010.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0
2011.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0
2012.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0
2013.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0
2014.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0
2015.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0
2016.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0
2017.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0
2018.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0
2019.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0
2020.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0
2021.0,134695720000.0,134991070000.0,134742520000.0,134451770000.0,134501140000.0
2022.0,135388500000.0,134501515000.0,134348000000.0,134660940000.0,134193880000.0
2023.0,134851130000.0,134430580000.0,134246425000.0,134668730000.0,134045320000.0
2024.0,134991950000.0,134787980000.0,134487376000.0,134724020000.0,133757180000.0
2025.0,134760915000.0,134376960000.0,134008760000.0,134126930000.0,133986030000.0
2026.0,134319730000.0,134116024000.0,134251990000.0,133898630000.0,134018190000.0
2027.0,134358170000.0,134093870000.0,134045606000.0,133955760000.0,133432220000.0
2028.0,134011020000.0,134074590000.0,133893770000.0,133610690000.0,133346930000.0
2029.0,134191050000.0,133840910000.0,133704060000.0,134036595000.0,133330200000.0
2030.0,134214570000.0,134879260000.0,134084160000.0,134048604000.0,133721750000.0
2031.0,133976015000.0,133840036000.0,133580250000.0,133380500000.0,133208646000.0
2032.0,133625350000.0,133344395000.0,133792630000.0,132973870000.0,132970720000.0
2033.0,133564105000.0,133183600000.0,133240180000.0,133119960000.0,132809480000.0
2034.0,133527810000.0,133040580000.0,133107310000.0,133709360000.0,132838210000.0
2035.0,133967585000.0,132941324000.0,132989050000.0,133197480000.0,132726140000.0
2036.0,133127240000.0,133263100000.0,132851420000.0,132782550000.0,132286325000.0
2037.0,132993770000.0,132655290000.0,133164280000.0,132644230000.0,131881845000.0
2038.0,133099280000.0,132589710000.0,132732140000.0,132496290000.0,131742695000.0
2039.0,132937320000.0,132376400000.0,132604390000.0,132027970000.0,131645830000.0
2040.0,132831580000.0,132488390000.0,132802765000.0,131891446000.0,131359015000.0
2041.0,132434930000.0,131744990000.0,132656950000.0,131617340000.0,131165760000.0
2042.0,132446320000.0,131458960000.0,132940100000.0,131634060000.0,130825920000.0
2043.0,132415730000.0,131186280000.0,132107580000.0,131600820000.0,130524100000.0
2044.0,132477910000.0,130891650000.0,132071430000.0,131195050000.0,130050120000.0
2045.0,131997065000.0,130565840000.0,131925590000.0,130923740000.0,129648350000.0
2046.0,131652440000.0,130578480000.0,131567215000.0,130472550000.0,129239370000.0
2047.0,131330030000.0,130077190000.0,131771460000.0,130269740000.0,128968294000.0
2048.0,131066560000.0,129807990000.0,131315290000.0,130040610000.0,128476180000.0
2049.0,130877420000.0,129535760000.0,131187520000.0,129862670000.0,128002560000.0
2050.0,131146120000.0,129039600000.0,130750740000.0,129742070000.0,127347330000.0
2051.0,130716200000.0,128656550000.0,130453270000.0,129314040000.0,126931760000.0
2052.0,130747680000.0,128254040000.0,130099356000.0,128939614000.0,126295810000.0
2053.0,130289030000.0,127680450000.0,129892770000.0,128680950000.0,125729370000.0
2054.0,130004880000.0,127547600000.0,129725560000.0,128310120000.0,125083840000.0
2055.0,129651155000.0,127099710000.0,129781390000.0,128068630000.0,124673840000.0
2056.0,129462340000.0,126755660000.0,129400390000.0,127608490000.0,123760060000.0
2057.0,129314350000.0,126072200000.0,128983515000.0,127370120000.0,123046355000.0
2058.0,128877855000.0,125518600000.0,128793720000.0,127152775000.0,122679510000.0
2059.0,128688910000.0,125095250000.0,128472510000.0,126979645000.0,121884566000.0
2060.0,128393720000.0,123912780000.0,128211160000.0,126496530000.0,121196560000.0
2061.0,128208220000.0,123632580000.0,127718460000.0,125949770000.0,120641250000.0
2062.0,128001310000.0,123139380000.0,128049510000.0,125462630000.0,119646230000.0
2063.0,128104920000.0,122826120000.0,127111630000.0,125000294000.0,119173680000.0
2064.0,127475420000.0,122251710000.0,126854310000.0,124592230000.0,118586950000.0
2065.0,127000220000.0,121600770000.0,126078750000.0,124114000000.0,117723190000.0
2066.0,126465840000.0,120586000000.0,125769340000.0,124007270000.0,117355890000.0
2067.0,126066590000.0,119822350000.0,125306820000.0,123576386000.0,116846870000.0
2068.0,125763120000.0,119153345000.0,124695340000.0,123495590000.0,116028195000.0
2069.0,125430915000.0,118101150000.0,124527390000.0,123398324000.0,115608986000.0
2070.0,125114200000.0,117754050000.0,124024300000.0,122740466000.0,114485130000.0
2071.0,124822040000.0,116680690000.0,123763270000.0,122085640000.0,113929355000.0
2072.0,124352954000.0,115762400000.0,123198010000.0,121472670000.0,113626110000.0
2073.0,124118960000.0,114774770000.0,122657710000.0,120785280000.0,113044430000.0
2074.0,124023720000.0,114116070000.0,122415110000.0,120571180000.0,112204095000.0
2075.0,123679960000.0,113367835000.0,122061520000.0,120511760000.0,111480200000.0
2076.0,123193430000.0,112616145000.0,121728860000.0,120065280000.0,110950300000.0
2077.0,122799360000.0,111681860000.0,121426750000.0,119256970000.0,110088045000.0
2078.0,122290080000.0,110963990000.0,120991490000.0,118656156000.0,109597490000.0
2079.0,122064780000.0,110359440000.0,120634610000.0,118297310000.0,109077450000.0
2080.0,121773470000.0,109496260000.0,120143454000.0,117978220000.0,108182634000.0
2081.0,121276100000.0,108682100000.0,119809300000.0,117806930000.0,107506240000.0
2082.0,120875770000.0,107826586000.0,119131580000.0,117366610000.0,106709880000.0
2083.0,120439180000.0,107038170000.0,118643650000.0,116899650000.0,105930105000.0
2084.0,120042520000.0,105701580000.0,118783870000.0,116544225000.0,105058845000.0
2085.0,119574550000.0,104595350000.0,118029010000.0,116029320000.0,104468020000.0
2086.0,119378895000.0,103699370000.0,117505060000.0,115632580000.0,103809640000.0
2087.0,119450790000.0,102954250000.0,117547370000.0,115551140000.0,103321895000.0
2088.0,119024665000.0,101745600000.0,117079890000.0,115274030000.0,102585836000.0
2089.0,118519450000.0,101377384000.0,116364845000.0,114654130000.0,101786160000.0
2090.0,117812790000.0,100432840000.0,115925300000.0,114032665000.0,101050335000.0
2091.0,117631320000.0,99341350000.0,115316390000.0,113612270000.0,100486120000.0
2092.0,117035114000.0,98450694000.0,115000025000.0,113323110000.0,99751810000.0
2093.0,116821930000.0,97398170000.0,114417610000.0,112873095000.0,98842850000.0
2094.0,116428730000.0,95915470000.0,113935740000.0,112883070000.0,98236850000.0
2095.0,116228870000.0,94589624000.0,113351550000.0,112196020000.0,97190855000.0
2096.0,115926114000.0,93640696000.0,112677090000.0,111695815000.0,96854065000.0
2097.0,115857440000.0,92387660000.0,112372875000.0,111400530000.0,96423500000.0
2098.0,115725560000.0,91295160000.0,111824620000.0,110974170000.0,95671440000.0
2099.0,114967760000.0,89883320000.0,111542960000.0,110845440000.0,94877500000.0
2100.0,114556770000.0,88633885000.0,111351900000.0,110525050000.0,94363930000.0
