time,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,IPSL-CM6A-LR,MRI-ESM2-0,KACE-1-0-G,GFDL-ESM4,UKESM1-0-LL,IITM-ESM
2000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0,135826070000.0
2001.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0,136177570000.0
2002.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0,136348640000.0
2003.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0,135735165000.0
2004.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0,135826890000.0
2005.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0,135576880000.0
2006.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0,135419140000.0
2007.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0,135270900000.0
2008.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0,135339610000.0
2009.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0,135254690000.0
2010.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0,135071605000.0
2011.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0,134957910000.0
2012.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0,135080030000.0
2013.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0,135617405000.0
2014.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0,135009485000.0
2015.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0,135710030000.0
2016.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0,135022305000.0
2017.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0,134635310000.0
2018.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0,134802720000.0
2019.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0,134729875000.0
2020.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0,134733540000.0
2021.0,134558000000.0,134584295000.0,135411830000.0,134775280000.0,134491415000.0,134521190000.0,134490006000.0,134665420000.0,134435930000.0
2022.0,134557100000.0,135712784000.0,135082370000.0,134743840000.0,134266850000.0,134792950000.0,134854800000.0,135113800000.0,134179770000.0
2023.0,134500890000.0,135101465000.0,134710150000.0,134643050000.0,134729196000.0,134611665000.0,134740700000.0,134843620000.0,134131500000.0
2024.0,134518325000.0,135037410000.0,134629966000.0,134364045000.0,134117410000.0,134280454000.0,134907314000.0,134347650000.0,134035450000.0
2025.0,134591150000.0,134597800000.0,134669220000.0,134233330000.0,134018110000.0,134435020000.0,134791370000.0,134603720000.0,134425160000.0
2026.0,134085240000.0,134591250000.0,134040200000.0,134419680000.0,134578150000.0,134389990000.0,134094540000.0,133951580000.0,133766800000.0
2027.0,133933320000.0,134189350000.0,134627410000.0,134902580000.0,134224300000.0,134256540000.0,134101620000.0,133728680000.0,133505150000.0
2028.0,133826770000.0,134051140000.0,134045940000.0,133947420000.0,134492290000.0,133596360000.0,134043100000.0,133828960000.0,133363780000.0
2029.0,133426020000.0,133719990000.0,134073430000.0,133641560000.0,134602220000.0,133807160000.0,133688795000.0,133473950000.0,133152270000.0
2030.0,134475370000.0,133957140000.0,133734080000.0,134111940000.0,134414940000.0,133954120000.0,133757485000.0,133755560000.0,132980270000.0
2031.0,133306150000.0,133556880000.0,133521630000.0,133662300000.0,133949100000.0,133724594000.0,134009184000.0,133342870000.0,132741865000.0
2032.0,133029405000.0,133610230000.0,133409830000.0,133812360000.0,133697176000.0,133741710000.0,133515340000.0,133096290000.0,132679960000.0
2033.0,132731180000.0,133306384000.0,133015200000.0,133590884000.0,133625880000.0,133528810000.0,133624095000.0,132823280000.0,132466150000.0
2034.0,132649410000.0,133213600000.0,132909980000.0,133119100000.0,133436460000.0,133094530000.0,133280690000.0,132689340000.0,132450280000.0
2035.0,132473660000.0,133162870000.0,132779885000.0,133116250000.0,133219110000.0,133193280000.0,133077410000.0,132475720000.0,132153100000.0
2036.0,132278920000.0,133126050000.0,132755730000.0,132957370000.0,133329760000.0,133366620000.0,132899160000.0,132348270000.0,132350706000.0
