time,CANESM2,CESM1-CAM5,MPI-ESM-LR
2000.0,91037670000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0,85384480000.0
2015.0,84745820000.0,84745820000.0,84745820000.0
2016.0,80950895000.0,80950895000.0,80950895000.0
2017.0,76204920000.0,76204920000.0,76204920000.0
2018.0,74582620000.0,74582620000.0,74582620000.0
2019.0,74965205000.0,74965205000.0,74965205000.0
2020.0,73356710000.0,73356710000.0,73356710000.0
2021.0,70391865000.0,69030310000.0,69593735000.0
2022.0,69622660000.0,67292310000.0,68422337000.0
2023.0,66950947000.0,66565116000.0,68433035000.0
2024.0,63797490000.0,64851497000.0,67088540000.0
2025.0,62963360000.0,61835387000.0,66014700000.0
2026.0,62279980000.0,58049167000.0,67526460000.0
2027.0,60400116000.0,57521150000.0,65177944000.0
2028.0,58532410000.0,57704907000.0,64090710000.0
2029.0,55636107000.0,54993370000.0,60913295000.0
2030.0,52592360000.0,50027782000.0,59840385000.0
2031.0,51303657000.0,50055950000.0,56545456000.0
2032.0,51792695000.0,50161127000.0,50920817000.0
2033.0,50996842000.0,48511790000.0,49703360000.0
2034.0,48037570000.0,46418846000.0,51289256000.0
2035.0,44828197000.0,45176136000.0,50904834000.0
2036.0,43273950000.0,45100690000.0,49760970000.0
2037.0,42138882000.0,45065510000.0,47181693000.0
2038.0,40515100000.0,43885945000.0,45040574000.0
2039.0,39533666000.0,42162000000.0,43000648000.0
2040.0,39504822000.0,39732154000.0,42051310000.0
2041.0,38306180000.0,39922684000.0,41375687000.0
2042.0,36927365000.0,39746270000.0,41530245000.0
2043.0,36417850000.0,39652110000.0,40617787000.0
2044.0,33734525000.0,38886384000.0,36969960000.0
2045.0,32607502000.0,38913143000.0,32191607000.0
2046.0,33279480000.0,39261620000.0,33248692000.0
2047.0,32477805000.0,39550697000.0,33028174000.0
2048.0,31996058000.0,38510436000.0,32242602000.0
2049.0,31923925000.0,36108000000.0,32688046000.0
2050.0,30103517000.0,36563653000.0,32511648000.0
2051.0,27443737000.0,37458276000.0,32894378000.0
2052.0,27659395000.0,36525840000.0,33650350000.0
2053.0,28325863000.0,33376240000.0,34571543000.0
2054.0,27844833000.0,33076173000.0,35013775000.0
2055.0,27841255000.0,33776103000.0,35107600000.0
2056.0,27727297000.0,33325930000.0,35419103000.0
2057.0,28029680000.0,31796367000.0,36195690000.0
2058.0,28150725000.0,31417508000.0,36826644000.0
2059.0,26736128000.0,30061350000.0,37787075000.0
2060.0,26139519000.0,28648028000.0,37508235000.0
2061.0,26058152000.0,28204040000.0,36196168000.0
2062.0,25943364000.0,27383896000.0,34175533000.0
2063.0,26389877000.0,25531666000.0,32707730000.0
2064.0,25846401000.0,26470312000.0,31922625000.0
2065.0,25961010000.0,27464468000.0,32538487000.0
2066.0,25680785000.0,26760364000.0,32153250000.0
2067.0,24402717000.0,26053020000.0,32260100000.0
2068.0,23595424000.0,26247840000.0,30593176000.0
2069.0,24299946000.0,26340389000.0,29283006000.0
2070.0,25184709000.0,25180643000.0,30602130000.0
2071.0,25248346000.0,24601340000.0,32598370000.0
2072.0,25349333000.0,23664716000.0,34039667000.0
2073.0,25354267000.0,24648730000.0,34632160000.0
2074.0,25273426000.0,24988856000.0,34250875000.0
2075.0,25951054000.0,24486496000.0,33264617000.0
2076.0,26086541000.0,22987612000.0,33926160000.0
2077.0,25942667000.0,23906060000.0,34513596000.0
2078.0,26345206000.0,24754366000.0,35178680000.0
2079.0,26422665000.0,23976569000.0,35268055000.0
2080.0,26105203000.0,22545027000.0,34221556000.0
2081.0,26059823000.0,22708374000.0,33443768000.0
2082.0,26762371000.0,23804682000.0,32756320000.0
2083.0,26494180000.0,24515720000.0,34183016000.0
2084.0,26107085000.0,23931441000.0,36019757000.0
2085.0,26699510000.0,24285090000.0,38408438000.0
