time,CSIRO-MK3-6-0,MPI-ESM-LR,CCSM4
2000.0,91037670000.0,91037670000.0,91037670000.0
2001.0,91295760000.0,91295760000.0,91295760000.0
2002.0,93013746000.0,93013746000.0,93013746000.0
2003.0,92286200000.0,92286200000.0,92286200000.0
2004.0,91109120000.0,91109120000.0,91109120000.0
2005.0,88893420000.0,88893420000.0,88893420000.0
2006.0,88071040000.0,88071040000.0,88071040000.0
2007.0,87222436000.0,87222436000.0,87222436000.0
2008.0,87703585000.0,87703585000.0,87703585000.0
2009.0,88771020000.0,88771020000.0,88771020000.0
2010.0,87090110000.0,87090110000.0,87090110000.0
2011.0,84669270000.0,84669270000.0,84669270000.0
2012.0,85587400000.0,85587400000.0,85587400000.0
2013.0,85079040000.0,85079040000.0,85079040000.0
2014.0,85384480000.0,85384480000.0,85384480000.0
2015.0,84745820000.0,84745820000.0,84745820000.0
2016.0,80950895000.0,80950895000.0,80950895000.0
2017.0,76204920000.0,76204920000.0,76204920000.0
2018.0,74582620000.0,74582620000.0,74582620000.0
2019.0,74965205000.0,74965205000.0,74965205000.0
2020.0,73356710000.0,73356710000.0,73356710000.0
2021.0,69055996000.0,70603170000.0,74974134000.0
2022.0,66153693000.0,64582630000.0,76191760000.0
2023.0,66246062000.0,61286863000.0,73988460000.0
2024.0,66415165000.0,60957030000.0,68849970000.0
2025.0,64098763000.0,59634946000.0,67291980000.0
2026.0,62265995000.0,56989000000.0,64894267000.0
2027.0,60136460000.0,52446437000.0,59875955000.0
2028.0,55950787000.0,49366757000.0,58349940000.0
2029.0,52321140000.0,48764936000.0,59254694000.0
2030.0,49500033000.0,47577092000.0,56947794000.0
2031.0,48422846000.0,47698900000.0,53523890000.0
2032.0,46713340000.0,48305336000.0,53105512000.0
2033.0,45915450000.0,48310470000.0,51202900000.0
2034.0,43336250000.0,44318000000.0,48200516000.0
2035.0,41934954000.0,40968466000.0,46106796000.0
2036.0,41341813000.0,40527254000.0,46782956000.0
2037.0,37610697000.0,40940757000.0,45358727000.0
2038.0,35528884000.0,39463674000.0,42156057000.0
2039.0,34050013000.0,37448565000.0,41368690000.0
2040.0,30398824000.0,36073520000.0,40651227000.0
2041.0,28247100000.0,34131935000.0,39683880000.0
2042.0,25454348000.0,32258871000.0,37605794000.0
2043.0,23272454000.0,29174655000.0,35356914000.0
2044.0,22700860000.0,23837573000.0,34251303000.0
2045.0,20627070000.0,23741241000.0,32208290000.0
2046.0,19035558000.0,24382837000.0,30753440000.0
2047.0,16965339000.0,23875790000.0,29141045000.0
2048.0,14642059000.0,22641863000.0,28749054000.0
2049.0,13973574000.0,21923598000.0,28210006000.0
2050.0,13666905000.0,21452984000.0,25919169000.0
2051.0,13659202000.0,20166460000.0,24752800000.0
2052.0,13165710000.0,19096195000.0,24168415000.0
2053.0,12010748000.0,17876562000.0,23081034000.0
2054.0,11035031000.0,16645535000.0,22649625000.0
2055.0,10346906000.0,14064540000.0,22284239000.0
2056.0,9363995000.0,12279723000.0,21242792000.0
2057.0,8185057300.0,11445939000.0,20604776000.0
2058.0,7358391000.0,11445929000.0,19767755000.0
2059.0,6907112000.0,10822465000.0,19509180000.0
2060.0,6269801000.0,10056319000.0,18324355000.0
2061.0,5873846300.0,9723360000.0,18021192000.0
2062.0,5518777300.0,9598653000.0,17795127000.0
2063.0,4958371000.0,9360006000.0,16562245000.0
2064.0,4878974000.0,8663873000.0,15645734000.0
2065.0,4746041000.0,8381074000.0,14765893000.0
2066.0,4440866000.0,8401762000.0,14164939000.0
2067.0,4090415900.0,8473240600.0,13098839000.0
2068.0,3943285500.0,8350223000.0,12091252000.0
2069.0,4027292700.0,7660359000.0,11621771000.0
2070.0,3898369800.0,6776637400.0,11067536000.0
2071.0,3745315300.0,6643879400.0,10153370000.0
2072.0,3588685000.0,6667480000.0,9400727000.0
2073.0,3508588000.0,6045688300.0,9414391000.0
2074.0,3371311000.0,5063313000.0,9468998000.0
2075.0,3228755000.0,4946603500.0,9243297000.0
2076.0,3199534000.0,4745886700.0,8510649300.0
2077.0,3217532200.0,4281943800.0,8478482400.0
2078.0,2954837000.0,3817679000.0,8478908400.0
2079.0,2641891600.0,3248778000.0,7929086500.0
2080.0,2416999000.0,3291466800.0,7114719000.0
2081.0,2212805400.0,3397644500.0,6979761000.0
2082.0,2058252700.0,3219080000.0,6594306000.0
2083.0,2017274500.0,3180855600.0,6101794300.0
2084.0,1971250700.0,3032625700.0,5810447400.0
