time,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4
2000.0,34138161000.0,34138161000.0,34138161000.0,34138161000.0
2001.0,34172303000.0,34172303000.0,34172303000.0,34172303000.0
2002.0,34146572000.0,34146572000.0,34146572000.0,34146572000.0
2003.0,34125347000.0,34125347000.0,34125347000.0,34125347000.0
2004.0,34118963000.0,34118963000.0,34118963000.0,34118963000.0
2005.0,34107175000.0,34107175000.0,34107175000.0,34107175000.0
2006.0,34092669000.0,34092669000.0,34092669000.0,34092669000.0
2007.0,34087838000.0,34087838000.0,34087838000.0,34087838000.0
2008.0,34079216000.0,34079216000.0,34079216000.0,34079216000.0
2009.0,34070122000.0,34070122000.0,34070122000.0,34070122000.0
2010.0,34062664000.0,34062664000.0,34062664000.0,34062664000.0
2011.0,34034842000.0,34034842000.0,34034842000.0,34034842000.0
2012.0,34008664000.0,34008664000.0,34008664000.0,34008664000.0
2013.0,34033277000.0,34033277000.0,34033277000.0,34033277000.0
2014.0,33985237000.0,33985237000.0,33985237000.0,33985237000.0
2015.0,33989540000.0,33989540000.0,33989540000.0,33989540000.0
2016.0,33985905000.0,33985905000.0,33985905000.0,33985905000.0
2017.0,33979111000.0,33979111000.0,33979111000.0,33979111000.0
2018.0,33964085000.0,33964085000.0,33964085000.0,33964085000.0
2019.0,33997302000.0,33997302000.0,33997302000.0,33997302000.0
2020.0,33948891000.0,33948891000.0,33948891000.0,33948891000.0
2021.0,33949893000.0,33932670000.0,33960157000.0,33931440000.0
2022.0,33937775000.0,33914765000.0,33939948000.0,33935108000.0
2023.0,33917602000.0,33885305000.0,33923709000.0,33905349000.0
2024.0,33909684000.0,33873345000.0,33914745000.0,33905224000.0
2025.0,33913330000.0,33831643000.0,33903053000.0,33883644000.0
2026.0,33870440000.0,33799590000.0,33879443000.0,33868464000.0
2027.0,33846536000.0,33759445000.0,33862010000.0,33844599000.0
2028.0,33824993000.0,33705224000.0,33840034000.0,33828024000.0
2029.0,33780687000.0,33644239000.0,33799266000.0,33783437000.0
2030.0,33749457000.0,33608278000.0,33791298000.0,33778096000.0
2031.0,33718608000.0,33568430000.0,33756348000.0,33749352000.0
2032.0,33693743000.0,33534714000.0,33723335000.0,33734328000.0
2033.0,33669550000.0,33443570000.0,33696342000.0,33717373000.0
2034.0,33615563000.0,33403804000.0,33654264000.0,33695982000.0
2035.0,33585560000.0,33351475000.0,33599035000.0,33677345000.0
2036.0,33516507000.0,33311050000.0,33569552000.0,33641510000.0
