time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0
2000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0
2001.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0
2002.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0
2003.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0
2004.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0
2005.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0
2006.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0
2007.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0
2008.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0
2009.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0
2010.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0
2011.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0
2012.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0
2013.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0
2014.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0
2015.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0
2016.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0
2017.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0
2018.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0
2019.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0
2020.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0
2021.0,18009630000000.0,18231601000000.0,18144335000000.0,18064133000000.0,18190071000000.0
2022.0,17946183000000.0,18310427000000.0,18004799000000.0,17968226000000.0,18122147000000.0
2023.0,17907117000000.0,18310157000000.0,17869035000000.0,17872382000000.0,18027600000000.0
2024.0,17870740000000.0,18313432000000.0,17745668000000.0,17826283000000.0,17909250000000.0
2025.0,17819427000000.0,18215646000000.0,17507579000000.0,17764465000000.0,17752857000000.0
2026.0,17640910000000.0,18136005000000.0,17417370000000.0,17639680000000.0,17596397000000.0
2027.0,17404947000000.0,18027590000000.0,17186957000000.0,17553268000000.0,17423280000000.0
2028.0,17278085000000.0,17934440000000.0,17019678000000.0,17465152000000.0,17237325000000.0
2029.0,17239704000000.0,17907981000000.0,16892638000000.0,17375103000000.0,17121705000000.0
2030.0,17067047000000.0,17881964000000.0,16752933000000.0,17209493000000.0,17014372000000.0
2031.0,17006874000000.0,17774819000000.0,16600742000000.0,17156108000000.0,16881614000000.0
2032.0,17106679000000.0,17659815000000.0,16345930000000.0,17049745000000.0,16711039000000.0
2033.0,16985693000000.0,17566188000000.0,16144334000000.0,16954188000000.0,16679601000000.0
2034.0,16907856000000.0,17441299000000.0,16063089000000.0,16932868000000.0,16526784000000.0
2035.0,16915187000000.0,17468812000000.0,15968624000000.0,16923903000000.0,16423242000000.0
2036.0,16783106000000.0,17418748000000.0,15696611000000.0,16806156000000.0,16337572000000.0
2037.0,16668267000000.0,17369660000000.0,15497861000000.0,16739272000000.0,16170057000000.0
2038.0,16555194000000.0,17314840000000.0,15343391000000.0,16604838000000.0,16040992000000.0
2039.0,16334231000000.0,17290559000000.0,15114130000000.0,16527908000000.0,15986083000000.0
2040.0,16220890000000.0,17243109000000.0,14950318000000.0,16368924000000.0,15848510000000.0
2041.0,16031647000000.0,17122490000000.0,14763368000000.0,16267552000000.0,15649942000000.0
2042.0,15879508000000.0,17118503000000.0,14512352000000.0,16158874000000.0,15460607000000.0
2043.0,15827398000000.0,16960506000000.0,14303689000000.0,16043852000000.0,15322614000000.0
2044.0,15701937000000.0,16895026000000.0,14080631000000.0,15947761000000.0,15313452000000.0
2045.0,15563434000000.0,16840590000000.0,13760233000000.0,15883600000000.0,15182640000000.0
2046.0,15389721000000.0,16789042000000.0,13522495000000.0,15677937000000.0,15122134000000.0
2047.0,15097074000000.0,16644286000000.0,13292156000000.0,15630860000000.0,14937036000000.0
2048.0,14980871000000.0,16594723000000.0,13043205000000.0,15529866000000.0,14801258000000.0
2049.0,14768727000000.0,16508856000000.0,12773973000000.0,15471682000000.0,14762177000000.0
2050.0,14491966000000.0,16370474000000.0,12528243000000.0,15450915000000.0,14636474000000.0
2051.0,14294765000000.0,16276297000000.0,12271513000000.0,15385406000000.0,14439939000000.0
2052.0,14101108000000.0,16196503000000.0,12053680000000.0,15321603000000.0,14203905000000.0
2053.0,13883273000000.0,16087859000000.0,11766582000000.0,15220727000000.0,13999404000000.0
2054.0,13760685000000.0,16063538000000.0,11512694000000.0,15021417000000.0,13848363000000.0
