time,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,104758540000.0,104758540000.0
2001.0,104715470000.0,104715470000.0
2002.0,104686810000.0,104686810000.0
2003.0,104649120000.0,104649120000.0
2004.0,104617570000.0,104617570000.0
2005.0,104800210000.0,104800210000.0
2006.0,104637350000.0,104637350000.0
2007.0,104858690000.0,104858690000.0
2008.0,104622810000.0,104622810000.0
2009.0,104535000000.0,104535000000.0
2010.0,104463770000.0,104463770000.0
2011.0,104421106000.0,104421106000.0
2012.0,104361790000.0,104361790000.0
2013.0,104300660000.0,104300660000.0
2014.0,105858380000.0,105858380000.0
2015.0,104440710000.0,104440710000.0
2016.0,104273350000.0,104273350000.0
2017.0,104262560000.0,104262560000.0
2018.0,104279180000.0,104279180000.0
2019.0,104349510000.0,104349510000.0
2020.0,104408965000.0,104408965000.0
2021.0,104263920000.0,104307450000.0
2022.0,104191844000.0,106453930000.0
2023.0,104178246000.0,104595220000.0
2024.0,104189940000.0,104342315000.0
2025.0,104200640000.0,104192520000.0
2026.0,104073855000.0,104172904000.0
2027.0,104085240000.0,104106880000.0
2028.0,104008980000.0,104141230000.0
2029.0,104020930000.0,104048120000.0
2030.0,103936655000.0,103990804000.0
2031.0,103906150000.0,103998366000.0
2032.0,104025110000.0,103876895000.0
2033.0,103922710000.0,103787900000.0
2034.0,103791010000.0,103699670000.0
2035.0,103846035000.0,103679390000.0
2036.0,103742770000.0,103611800000.0
2037.0,103727010000.0,103466720000.0
2038.0,103619600000.0,103383320000.0
2039.0,103654060000.0,104124870000.0
2040.0,103486530000.0,103912260000.0
2041.0,103739660000.0,103356650000.0
2042.0,103700505000.0,103190225000.0
2043.0,103709070000.0,103115450000.0
2044.0,103446280000.0,103345800000.0
2045.0,103398170000.0,103139066000.0
2046.0,103254460000.0,102907080000.0
2047.0,103132570000.0,102772880000.0
2048.0,103053620000.0,102637945000.0
2049.0,102953830000.0,102873650000.0
2050.0,102980805000.0,102464060000.0
2051.0,102802510000.0,102526500000.0
2052.0,102650350000.0,102254700000.0
2053.0,102539890000.0,102377234000.0
2054.0,102391870000.0,102086205000.0
2055.0,102288900000.0,102011126000.0
2056.0,102288390000.0,101915580000.0
2057.0,102136996000.0,101891100000.0
2058.0,101878620000.0,101653316000.0
2059.0,101702430000.0,101455760000.0
2060.0,101625840000.0,101391940000.0
2061.0,101405860000.0,101276220000.0
2062.0,101393880000.0,100963790000.0
2063.0,101303970000.0,100940860000.0
2064.0,100963800000.0,100772800000.0
2065.0,100749670000.0,100692140000.0
2066.0,100744390000.0,100526920000.0
2067.0,100521550000.0,100385686000.0
2068.0,100236980000.0,100187365000.0
2069.0,100097690000.0,101259060000.0
2070.0,100648070000.0,99969800000.0
2071.0,100091180000.0,99805080000.0
2072.0,99729470000.0,99592640000.0
2073.0,99517300000.0,99340670000.0
2074.0,99295560000.0,99122570000.0
2075.0,99044620000.0,99025600000.0
2076.0,98788295000.0,98683360000.0
2077.0,98504710000.0,98993510000.0
2078.0,98208416000.0,98486420000.0
2079.0,97900480000.0,98217880000.0
2080.0,97535386000.0,98259880000.0
2081.0,97206020000.0,98243215000.0
2082.0,97075820000.0,97841920000.0
2083.0,96502230000.0,97739600000.0
2084.0,96075530000.0,97559920000.0
2085.0,95736594000.0,97388120000.0
2086.0,95242540000.0,97261930000.0
2087.0,94808010000.0,96797790000.0
2088.0,94323130000.0,96594750000.0
2089.0,93968500000.0,96122190000.0
2090.0,93444490000.0,96109220000.0
2091.0,92919700000.0,95577680000.0
2092.0,92383460000.0,95476610000.0
2093.0,92014640000.0,95311370000.0
2094.0,91630920000.0,96929956000.0
2095.0,91266700000.0,95113700000.0
2096.0,90435180000.0,94808820000.0
2097.0,89808134000.0,94480196000.0
2098.0,89187600000.0,94343680000.0
2099.0,88539660000.0,94134520000.0
2100.0,87723210000.0,95064440000.0
