time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2025.0,104329530000.0,104135690000.0,104088520000.0,104060140000.0,104204460000.0,105025446000.0,104263670000.0,104134210000.0,104156300000.0,104053300000.0,104370790000.0,104335570000.0,104289830000.0,103814540000.0
2026.0,104298020000.0,104032920000.0,104011870000.0,103953950000.0,104266320000.0,104793820000.0,104259430000.0,104075610000.0,104092980000.0,103971430000.0,104406880000.0,104207560000.0,104143250000.0,103714260000.0
2027.0,104220870000.0,104031940000.0,104022426000.0,103948530000.0,104151710000.0,104837740000.0,104262520000.0,104054390000.0,104224580000.0,103899540000.0,104477420000.0,104149470000.0,104111194000.0,103591050000.0
2028.0,104175430000.0,103940190000.0,103961076000.0,103834755000.0,104092380000.0,104769356000.0,104181780000.0,104050220000.0,104113940000.0,103827960000.0,104331820000.0,104106254000.0,104160540000.0,103418300000.0
2029.0,104133080000.0,103843830000.0,103897060000.0,103711270000.0,104104250000.0,104618630000.0,104241950000.0,104030495000.0,103990500000.0,103753750000.0,104236640000.0,104188640000.0,104070830000.0,103294150000.0
2030.0,104085990000.0,103763575000.0,103860890000.0,103671480000.0,104251290000.0,104636375000.0,104105640000.0,104166550000.0,103952730000.0,103675510000.0,104397550000.0,104062670000.0,104013700000.0,103147820000.0
2031.0,104064080000.0,103702530000.0,103795390000.0,103589390000.0,104359570000.0,104485770000.0,104028560000.0,104062886000.0,103847520000.0,103628130000.0,104238240000.0,104047920000.0,103942234000.0,102967000000.0
2032.0,103953056000.0,103661830000.0,103950070000.0,103479790000.0,104058356000.0,104501666000.0,103995560000.0,103954270000.0,103834530000.0,103561200000.0,104144450000.0,103940090000.0,103870980000.0,103094760000.0
2033.0,103998440000.0,103646890000.0,103837745000.0,103389520000.0,103971594000.0,104468955000.0,104031270000.0,103891730000.0,104176845000.0,103471370000.0,104129810000.0,104195280000.0,103787750000.0,102859170000.0
2034.0,103884464000.0,103501230000.0,103819354000.0,105052684000.0,104073450000.0,104388846000.0,103896430000.0,104021960000.0,103784320000.0,103378430000.0,104008140000.0,104038420000.0,103727180000.0,102599926000.0
2035.0,104028430000.0,103400870000.0,103667100000.0,105736050000.0,103904090000.0,104300840000.0,103878820000.0,103911580000.0,103687580000.0,103277450000.0,103973540000.0,103874500000.0,103711780000.0,102334456000.0
2036.0,103876890000.0,103312210000.0,103600990000.0,104142980000.0,103961750000.0,104557340000.0,103853900000.0,103847390000.0,103700620000.0,103208346000.0,103909650000.0,103786906000.0,103596474000.0,102069540000.0
2037.0,103804960000.0,103184810000.0,103729750000.0,104186950000.0,103783820000.0,104382070000.0,103847590000.0,103907180000.0,103686610000.0,103027710000.0,104191525000.0,103691070000.0,103503550000.0,101852380000.0
2038.0,103733125000.0,103073280000.0,103987030000.0,103703480000.0,103719444000.0,104088100000.0,103740240000.0,103801530000.0,103573270000.0,102818610000.0,103990830000.0,103612320000.0,103445610000.0,101635170000.0
2039.0,103626860000.0,102975670000.0,103749820000.0,104752050000.0,103638884000.0,104036975000.0,103723870000.0,103796230000.0,103457140000.0,102682640000.0,103839875000.0,103739060000.0,103505120000.0,101253644000.0
2040.0,103569555000.0,102884630000.0,103542960000.0,104002940000.0,103575170000.0,104184955000.0,103669320000.0,103707935000.0,103576460000.0,102495896000.0,103766460000.0,103601630000.0,103354160000.0,101104026000.0
2041.0,103657530000.0,102790650000.0,103456490000.0,103606570000.0,103576910000.0,104074160000.0,103783590000.0,103656100000.0,103547560000.0,102291480000.0,103733305000.0,103482830000.0,103222610000.0,100833400000.0
2042.0,103642055000.0,102755650000.0,103477740000.0,104695546000.0,103469030000.0,104215890000.0,103805680000.0,103652300000.0,103354270000.0,102065970000.0,103629940000.0,103411730000.0,103184140000.0,100516495000.0
2043.0,103602590000.0,102680090000.0,103461340000.0,103682990000.0,103350780000.0,103985660000.0,103604330000.0,103591340000.0,103390580000.0,101832040000.0,103582710000.0,103320830000.0,103075820000.0,100200010000.0
2044.0,103672996000.0,102470760000.0,103261260000.0,105625130000.0,103302414000.0,103870940000.0,103511065000.0,103509780000.0,103243510000.0,101575700000.0,103563230000.0,103276010000.0,102953110000.0,99833660000.0
2045.0,103547855000.0,102281560000.0,103179430000.0,103726670000.0,103292860000.0,103691000000.0,103446410000.0,103654785000.0,103219500000.0,101236890000.0,103500070000.0,103188780000.0,102863080000.0,99581010000.0
2046.0,103362175000.0,102085255000.0,103426695000.0,103397600000.0,103164870000.0,104022750000.0,103477350000.0,103507650000.0,103538130000.0,100830300000.0,103499980000.0,103069210000.0,102859880000.0,99224830000.0
2047.0,103330670000.0,101947376000.0,103126295000.0,103341260000.0,103067484000.0,103878120000.0,103361430000.0,103438850000.0,103308260000.0,100485554000.0,103524740000.0,102980400000.0,102745310000.0,98722144000.0
2048.0,103274680000.0,101771830000.0,103017560000.0,103917110000.0,102967330000.0,103541850000.0,103414510000.0,103335940000.0,103186810000.0,100072610000.0,103370390000.0,103061460000.0,102609220000.0,98207285000.0
2049.0,103162995000.0,101611045000.0,102892230000.0,103266030000.0,102865040000.0,103404085000.0,103443990000.0,103267260000.0,102949910000.0,99771550000.0,103468190000.0,102950810000.0,102531900000.0,98139070000.0
2050.0,103078270000.0,101358910000.0,102848225000.0,103056390000.0,102779710000.0,103322240000.0,103236150000.0,103206910000.0,102832370000.0,99474430000.0,103372276000.0,102789956000.0,102530580000.0,97663400000.0
2051.0,102997295000.0,101137555000.0,103106494000.0,102958330000.0,105048850000.0,103197320000.0,103126606000.0,103120420000.0,102856510000.0,99188440000.0,103235910000.0,102648190000.0,102286205000.0,97255430000.0
2052.0,102938800000.0,100979430000.0,102634460000.0,102894780000.0,103130505000.0,103265790000.0,103060914000.0,103070876000.0,102675775000.0,98704900000.0,103342130000.0,102852485000.0,102224180000.0,96886284000.0
2053.0,102955524000.0,100872400000.0,102580220000.0,103239810000.0,104144990000.0,103040800000.0,102960840000.0,103005315000.0,102643950000.0,98165970000.0,103263090000.0,102645160000.0,102118330000.0,96451360000.0
2054.0,102780810000.0,100623024000.0,102461880000.0,102785016000.0,102873340000.0,103249715000.0,102884246000.0,102888810000.0,102568624000.0,97688090000.0,103178450000.0,102498040000.0,102021440000.0,95986560000.0
2055.0,102688120000.0,100411160000.0,102929690000.0,102860960000.0,102732950000.0,102792820000.0,102887840000.0,102851780000.0,102391380000.0,97262215000.0,103110705000.0,102250960000.0,101838290000.0,95902640000.0
2056.0,102650590000.0,100212880000.0,102447740000.0,103131160000.0,102653755000.0,102535184000.0,102857410000.0,102790300000.0,102269770000.0,96836960000.0,102958830000.0,102065185000.0,101684320000.0,95611806000.0
2057.0,102575660000.0,99971370000.0,102317580000.0,102699794000.0,102460990000.0,102396396000.0,102700990000.0,102757340000.0,103406630000.0,96351840000.0,102906995000.0,102047650000.0,101490246000.0,95173760000.0
2058.0,102443310000.0,99703200000.0,102309710000.0,102476880000.0,102236990000.0,102256075000.0,102573970000.0,102628550000.0,102433280000.0,95746195000.0,102872060000.0,101898830000.0,101309910000.0,94722640000.0
2059.0,102351766000.0,99424680000.0,102027770000.0,102299740000.0,102379495000.0,101992220000.0,102530300000.0,102530650000.0,102536170000.0,95251010000.0,102927570000.0,101669090000.0,101239460000.0,94419450000.0
2060.0,102280634000.0,99077505000.0,101854630000.0,102261720000.0,102170620000.0,101833930000.0,102600540000.0,102446250000.0,102353230000.0,94752874000.0,102709500000.0,101573540000.0,100950970000.0,94175670000.0
2061.0,102295530000.0,98865730000.0,101643480000.0,102878265000.0,102531190000.0,101686030000.0,102392700000.0,102380690000.0,101951300000.0,94427510000.0,102753940000.0,101395010000.0,100758940000.0,93639705000.0
2062.0,102247014000.0,98581890000.0,101487240000.0,103036490000.0,101886760000.0,101799035000.0,102204330000.0,102287770000.0,101710045000.0,93967065000.0,102564750000.0,101254070000.0,100594780000.0,93420960000.0
2063.0,101981880000.0,98314090000.0,101483550000.0,102322690000.0,101940460000.0,101458740000.0,102118800000.0,102196780000.0,101549250000.0,93439680000.0,102633220000.0,101016920000.0,100448500000.0,93037715000.0
2064.0,102543410000.0,98089980000.0,101372880000.0,102017745000.0,101941500000.0,101695635000.0,102084120000.0,102082626000.0,101750770000.0,92895450000.0,102434240000.0,100913760000.0,100528005000.0,92689146000.0
2065.0,102019800000.0,97812920000.0,101143340000.0,101885270000.0,101619900000.0,101408915000.0,101959500000.0,102027740000.0,101417030000.0,92322730000.0,102433130000.0,100897500000.0,100944490000.0,92126090000.0
2066.0,101869240000.0,97521440000.0,101024055000.0,101717870000.0,101469860000.0,101191100000.0,101940820000.0,102077290000.0,101262350000.0,91928960000.0,102315024000.0,100511010000.0,100146980000.0,91869730000.0
2067.0,101692670000.0,97216740000.0,100901890000.0,101681120000.0,101569850000.0,100898370000.0,102168900000.0,101815690000.0,101149580000.0,91260944000.0,102394240000.0,100322980000.0,99906716000.0,91353190000.0
2068.0,101586420000.0,96907624000.0,100761540000.0,101793470000.0,101294055000.0,100689460000.0,101987370000.0,101735555000.0,101047910000.0,90741645000.0,102509810000.0,100068720000.0,99691270000.0,90877270000.0
2069.0,101457270000.0,96529600000.0,100620165000.0,101319140000.0,101005490000.0,100371710000.0,101881864000.0,101631170000.0,100866340000.0,90121860000.0,102299970000.0,99905810000.0,99477630000.0,90452080000.0
2070.0,101663960000.0,96256990000.0,100579590000.0,101281470000.0,100813740000.0,100207420000.0,101831540000.0,101576460000.0,100745390000.0,89493160000.0,102486700000.0,99566850000.0,99348505000.0,90078720000.0
2071.0,101445860000.0,95817940000.0,100402470000.0,101049340000.0,100718980000.0,99896350000.0,101917360000.0,101547020000.0,100569050000.0,88817330000.0,102191670000.0,99413710000.0,99547170000.0,89612440000.0
2072.0,101443550000.0,95581910000.0,100178130000.0,101013270000.0,100525070000.0,99629480000.0,101609420000.0,101390290000.0,100402190000.0,88227906000.0,102034285000.0,99263110000.0,99176645000.0,88987190000.0
2073.0,101160450000.0,95196790000.0,100126640000.0,100882645000.0,100310580000.0,99455840000.0,101479590000.0,101213000000.0,100203600000.0,87788100000.0,101889850000.0,99030100000.0,99043620000.0,88449760000.0
2074.0,101029920000.0,94843660000.0,100047460000.0,100611750000.0,100141980000.0,99438040000.0,101400050000.0,101047304000.0,100204590000.0,86846950000.0,102166856000.0,98773570000.0,98742540000.0,88045390000.0
2075.0,100913010000.0,94499970000.0,99832990000.0,100446780000.0,99976700000.0,99284310000.0,101306790000.0,100888730000.0,100005780000.0,86068240000.0,101766780000.0,98724550000.0,98534550000.0,87589990000.0
2076.0,100699230000.0,94086520000.0,100023470000.0,100900080000.0,99991350000.0,98992000000.0,101169190000.0,100713580000.0,101296054000.0,85507180000.0,101681820000.0,98562380000.0,98260580000.0,86936010000.0
2077.0,100553530000.0,93851130000.0,99820970000.0,100260380000.0,99857950000.0,98670820000.0,101269780000.0,100583030000.0,100295130000.0,84992150000.0,101829380000.0,98314620000.0,98084040000.0,86274450000.0
2078.0,100418490000.0,93512335000.0,99513310000.0,100018930000.0,99747760000.0,98932285000.0,101138000000.0,101169870000.0,100462130000.0,84203380000.0,101593510000.0,98421604000.0,97854780000.0,85854640000.0
2079.0,100281600000.0,93162240000.0,99399100000.0,99875865000.0,100180080000.0,98175710000.0,100996480000.0,100624570000.0,99881030000.0,83506450000.0,101460620000.0,97944190000.0,97675256000.0,85473350000.0
2080.0,100096640000.0,92802195000.0,99677225000.0,100737655000.0,99581730000.0,97949114000.0,100865520000.0,100304750000.0,100459480000.0,82677060000.0,101254100000.0,97787180000.0,97427366000.0,84846650000.0
2081.0,100291670000.0,92434874000.0,99149726000.0,99764535000.0,99247280000.0,97899995000.0,100742370000.0,100127920000.0,99752930000.0,82116710000.0,101138300000.0,97562160000.0,97690680000.0,84344530000.0
2082.0,99992060000.0,92017220000.0,99262940000.0,99452805000.0,99106170000.0,97488940000.0,100615050000.0,100128720000.0,99626570000.0,80608590000.0,101438800000.0,97372360000.0,97103160000.0,83829530000.0
2083.0,99790600000.0,91572970000.0,98819830000.0,99287720000.0,98926670000.0,97215870000.0,100462395000.0,99855730000.0,99676365000.0,79892390000.0,100964380000.0,97180960000.0,96875430000.0,83563010000.0
2084.0,100155800000.0,91282270000.0,98564540000.0,99461410000.0,98883674000.0,96963260000.0,100356194000.0,99704590000.0,99263816000.0,79174975000.0,100989520000.0,96892300000.0,96757020000.0,82627010000.0
2085.0,99752260000.0,91015570000.0,98400756000.0,99011920000.0,98824400000.0,96711170000.0,100284630000.0,99590870000.0,99089770000.0,78816756000.0,101126650000.0,96622810000.0,96428560000.0,82268220000.0
2086.0,99701550000.0,90841410000.0,98182090000.0,98712510000.0,98567070000.0,96638450000.0,100104040000.0,99429286000.0,99208470000.0,78116720000.0,101040390000.0,96402310000.0,96333570000.0,81552830000.0
2087.0,99505906000.0,90213830000.0,98034380000.0,98530010000.0,98447925000.0,96226845000.0,100048010000.0,99280050000.0,98812420000.0,77468720000.0,101049690000.0,96089500000.0,96056530000.0,81035210000.0
2088.0,99255930000.0,89790460000.0,97883940000.0,98335390000.0,98822190000.0,95949350000.0,99845590000.0,99159110000.0,98991300000.0,76969484000.0,100686290000.0,95788670000.0,95822320000.0,80387780000.0
2089.0,99045440000.0,89504800000.0,97700220000.0,98260680000.0,98172390000.0,95646180000.0,99839110000.0,98941620000.0,99225740000.0,76287020000.0,100472130000.0,95382970000.0,95674350000.0,79863090000.0
2090.0,98905170000.0,89059620000.0,97440240000.0,98877890000.0,98137540000.0,95465490000.0,99606770000.0,98745650000.0,98789605000.0,75811960000.0,100609790000.0,95073290000.0,95581500000.0,79182800000.0
2091.0,98725224000.0,88751930000.0,97154990000.0,98064065000.0,97864270000.0,95201670000.0,99395250000.0,98594840000.0,99088000000.0,75254350000.0,100384590000.0,94814970000.0,95366460000.0,79193540000.0
2092.0,99368080000.0,88301126000.0,97109340000.0,97801520000.0,97763470000.0,94902714000.0,99401520000.0,98441200000.0,98612370000.0,74735970000.0,100338614000.0,94438410000.0,95257940000.0,78166040000.0
2093.0,98583450000.0,88060305000.0,96939850000.0,97486406000.0,97494040000.0,94574370000.0,99381980000.0,98261630000.0,98314070000.0,74314570000.0,100124450000.0,94337330000.0,95037730000.0,77646100000.0
2094.0,98430840000.0,87584690000.0,97368990000.0,97709570000.0,97595140000.0,94202040000.0,99342010000.0,98235064000.0,98627110000.0,73716695000.0,100035985000.0,93966156000.0,95145110000.0,76744940000.0
2095.0,98292425000.0,87179846000.0,96796530000.0,97280490000.0,97117010000.0,93973900000.0,100008770000.0,97940680000.0,98760790000.0,73175876000.0,100118634000.0,93520180000.0,94937510000.0,76220130000.0
2096.0,98199320000.0,86777870000.0,96472470000.0,96954016000.0,96935970000.0,93759726000.0,99223390000.0,97712200000.0,99053590000.0,72543790000.0,100170430000.0,93258560000.0,94506660000.0,75820730000.0
2097.0,98976014000.0,86336350000.0,96327140000.0,97829450000.0,96952660000.0,93807070000.0,99118040000.0,97513760000.0,98219540000.0,71976110000.0,99816866000.0,92988340000.0,94300330000.0,75929810000.0
2098.0,98127620000.0,85954535000.0,96024010000.0,96675020000.0,96587014000.0,93364370000.0,98812110000.0,97375030000.0,97858610000.0,71498960000.0,99721740000.0,92557860000.0,94111900000.0,74995560000.0
2099.0,97950270000.0,85561930000.0,96250040000.0,96412656000.0,96337380000.0,93284900000.0,98611230000.0,97219300000.0,97720100000.0,70834140000.0,99740350000.0,92212340000.0,93852810000.0,74261880000.0
2100.0,97802690000.0,85037450000.0,96689070000.0,96235454000.0,96144695000.0,93411690000.0,98462460000.0,97190710000.0,98087715000.0,70211180000.0,99837280000.0,91812470000.0,93595500000.0,73413394000.0
