time,GFDL-ESM4,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0
2001.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0
2002.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0
2003.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0
2004.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0
2005.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0
2006.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0
2007.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0
2008.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0
2009.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0
2010.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0
2011.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0
2012.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0
2013.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0
2014.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0
2015.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0
2016.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0
2017.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0
2018.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0
2019.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0
2020.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0
2021.0,54766480000.0,54047433000.0,54609256000.0,53907150000.0
2022.0,53075750000.0,51699925000.0,52826903000.0,53223748000.0
2023.0,54461645000.0,48884870000.0,52503396000.0,52955500000.0
2024.0,54025960000.0,47281840000.0,52007838000.0,52715622000.0
2025.0,53783142000.0,45993468000.0,50964922000.0,50295720000.0
2026.0,52643550000.0,47410420000.0,49916370000.0,47108137000.0
2027.0,51598190000.0,44784060000.0,49448630000.0,45528090000.0
2028.0,51644125000.0,44332495000.0,48670760000.0,44417405000.0
2029.0,50804760000.0,41491427000.0,46290470000.0,43968290000.0
2030.0,50644324000.0,39719430000.0,44627706000.0,42689120000.0
2031.0,50642715000.0,37805625000.0,42609607000.0,41567520000.0
2032.0,50943775000.0,36405840000.0,41063834000.0,42036163000.0
2033.0,50817507000.0,34938610000.0,39577670000.0,40287080000.0
2034.0,51462877000.0,33040978000.0,38316356000.0,39438975000.0
2035.0,51032380000.0,32115677000.0,37812888000.0,40156170000.0
2036.0,52390904000.0,31762498000.0,36117787000.0,41105760000.0
2037.0,50904030000.0,31058612000.0,35179053000.0,39099900000.0
2038.0,49363080000.0,30081591000.0,35817640000.0,37913604000.0
2039.0,47749750000.0,28929567000.0,35280257000.0,37570744000.0
2040.0,47344005000.0,28781056000.0,35491774000.0,36894466000.0
2041.0,46728794000.0,28516130000.0,35720094000.0,36690956000.0
2042.0,46630650000.0,28087734000.0,36384973000.0,38293810000.0
2043.0,46924870000.0,27557200000.0,36109710000.0,37760164000.0
2044.0,45597830000.0,27003867000.0,36096283000.0,37162000000.0
2045.0,45555114000.0,26948303000.0,36996805000.0,37954850000.0
2046.0,46158380000.0,27335868000.0,36805685000.0,38262505000.0
2047.0,46184080000.0,27707589000.0,36963865000.0,39640887000.0
2048.0,46254805000.0,27371538000.0,35912098000.0,38882230000.0
2049.0,44855640000.0,27521500000.0,34989580000.0,39163744000.0
2050.0,44133077000.0,27276913000.0,34863088000.0,38647680000.0
2051.0,44131590000.0,26882943000.0,34395165000.0,38425560000.0
2052.0,47479570000.0,26440378000.0,33374122000.0,39653552000.0
2053.0,47585440000.0,25781836000.0,33922441000.0,39277306000.0
2054.0,46751523000.0,24976083000.0,34627146000.0,39537800000.0
2055.0,46382404000.0,25814438000.0,34813485000.0,39721484000.0
2056.0,44715532000.0,26188044000.0,34261635000.0,39860126000.0
2057.0,44842020000.0,27295875000.0,34573870000.0,40656740000.0
