time,CANESM5,IPSL-CM6A-LR,UKESM1-0-LL,CNRM-ESM2-1,MRI-ESM2-0
2000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0,67804960000.0
2001.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0,68206002000.0
2002.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0,67095146000.0
2003.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0,67392650000.0
2004.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0,67503886000.0
2005.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0,68653410000.0
2006.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0,66978894000.0
2007.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0,67350200000.0
2008.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0,66361373000.0
2009.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0,65109135000.0
2010.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0,65113362000.0
2011.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0,63595114000.0
2012.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0,62328484000.0
2013.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0,61857790000.0
2014.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0,60453618000.0
2015.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0,59934560000.0
2016.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0,59552256000.0
2017.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0,58677715000.0
2018.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0,57561596000.0
2019.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0,55998464000.0
2020.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0,55356260000.0
2021.0,55562880000.0,55359054000.0,54191526000.0,54047720000.0,51995250000.0
2022.0,55016940000.0,56543930000.0,53085300000.0,54466544000.0,52949774000.0
2023.0,54121260000.0,55653150000.0,52822954000.0,55429472000.0,51672863000.0
2024.0,52632140000.0,53890273000.0,50833084000.0,54867206000.0,50635047000.0
2025.0,51049243000.0,52217426000.0,49470288000.0,53656084000.0,51705780000.0
2026.0,48689385000.0,50223710000.0,48316895000.0,55101792000.0,50881340000.0
2027.0,47401656000.0,50555027000.0,46119248000.0,52390470000.0,48623768000.0
2028.0,45674537000.0,50913526000.0,45093077000.0,51324160000.0,50060710000.0
2029.0,43751367000.0,49396273000.0,43704144000.0,49474690000.0,50109387000.0
2030.0,42633600000.0,50063995000.0,41091460000.0,46435934000.0,48746004000.0
2031.0,43063923000.0,49019077000.0,38446390000.0,46464680000.0,47758475000.0
2032.0,42647355000.0,48695600000.0,37365285000.0,46143267000.0,47557250000.0
2033.0,41914120000.0,48535364000.0,36615414000.0,46819725000.0,48869806000.0
2034.0,41219950000.0,47946346000.0,35136630000.0,46767270000.0,47503680000.0
2035.0,40695124000.0,49782915000.0,34283272000.0,44948808000.0,46205030000.0
2036.0,40462220000.0,48606900000.0,33098385000.0,45741486000.0,46636260000.0
2037.0,40367935000.0,46311230000.0,32835432000.0,44881867000.0,47584748000.0
2038.0,38774157000.0,44311200000.0,33050376000.0,43271080000.0,47665865000.0
2039.0,37099550000.0,42718230000.0,31650060000.0,43916833000.0,46602285000.0
2040.0,35974790000.0,40898340000.0,30325457000.0,43922800000.0,45278003000.0
2041.0,35784344000.0,40406667000.0,29228644000.0,41287975000.0,46329050000.0
2042.0,35499078000.0,39321248000.0,28127380000.0,41818153000.0,45040600000.0
2043.0,35693617000.0,39555736000.0,26894160000.0,40010260000.0,43352250000.0
2044.0,35394585000.0,39743640000.0,26899511000.0,40019812000.0,42467127000.0
2045.0,34804064000.0,38688060000.0,25770856000.0,40012960000.0,43171060000.0
2046.0,34970910000.0,39563194000.0,24422320000.0,39325520000.0,43763480000.0
2047.0,33426616000.0,38653497000.0,23334488000.0,38648664000.0,44298460000.0
2048.0,31712170000.0,36534833000.0,22477853000.0,38517390000.0,43801797000.0
2049.0,31047746000.0,35665658000.0,21894867000.0,38810333000.0,41176506000.0
2050.0,29861347000.0,36679406000.0,21467396000.0,37586403000.0,40500730000.0
2051.0,28825975000.0,36797174000.0,19855583000.0,37357765000.0,41316635000.0
2052.0,27274349000.0,34121583000.0,19484450000.0,37977854000.0,40071815000.0
2053.0,25660400000.0,32418669000.0,18816532000.0,35107865000.0,37987870000.0
2054.0,24525185000.0,31080118000.0,17775806000.0,33571650000.0,37471200000.0
2055.0,24664295000.0,29322392000.0,16917201000.0,32047563000.0,36919878000.0
2056.0,24270207000.0,27769194000.0,16285370000.0,31863493000.0,35566230000.0
2057.0,23624126000.0,27571235000.0,15914882000.0,31677833000.0,35540357000.0
2058.0,23396475000.0,27705795000.0,15028174000.0,31195144000.0,34098740000.0
