time,CANESM2,IPSL-CM5A-LR,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GFDL-CM3,GISS-E2-R,CSIRO-MK3-6-0,CESM1-CAM5,CNRM-CM5,NORESM1-M
2065.0,12524742000000.0,12538687000000.0,13216936000000.0,14880652000000.0,11743817000000.0,11781707000000.0,15307978000000.0,13049048000000.0,11712294000000.0,14015457000000.0,12217518000000.0
2066.0,12425414000000.0,12390802000000.0,13026645000000.0,14836692000000.0,11651290000000.0,11752391000000.0,15274603000000.0,12946788000000.0,11553091000000.0,13962657000000.0,12095208000000.0
2067.0,12257339000000.0,12265033000000.0,12954213000000.0,14796422000000.0,11569393000000.0,11595567000000.0,15281229000000.0,12870871000000.0,11447599000000.0,13874761000000.0,12128248000000.0
2068.0,12112374000000.0,12199480000000.0,12859470000000.0,14698205000000.0,11359095000000.0,11397481000000.0,15210886000000.0,12775082000000.0,11282824000000.0,13730302000000.0,12039368000000.0
2069.0,12046607000000.0,12170959000000.0,12784002000000.0,14736577000000.0,11197425000000.0,11258739000000.0,15186450000000.0,12603191000000.0,11111267000000.0,13643330000000.0,11952908000000.0
2070.0,11995697000000.0,12021413000000.0,12739948000000.0,14579658000000.0,11142266000000.0,11109522000000.0,15181478000000.0,12469922000000.0,10980784000000.0,13644066000000.0,11782303000000.0
2071.0,11891847000000.0,11966804000000.0,12671691000000.0,14498967000000.0,11097444000000.0,11033108000000.0,15135922000000.0,12411793000000.0,10824973000000.0,13495910000000.0,11647702000000.0
2072.0,11821985000000.0,11918591000000.0,12587856000000.0,14495830000000.0,11002598000000.0,10902533000000.0,15073232000000.0,12352045000000.0,10652168000000.0,13425234000000.0,11476126000000.0
2073.0,11712191000000.0,11830449000000.0,12500035000000.0,14394980000000.0,10859925000000.0,10784669000000.0,15087685000000.0,12355290000000.0,10587687000000.0,13344964000000.0,11327806000000.0
2074.0,11656771000000.0,11739901000000.0,12467841000000.0,14338020000000.0,10727710000000.0,10686935000000.0,15074189000000.0,12284929000000.0,10442386000000.0,13235520000000.0,11211309000000.0
2075.0,11647947000000.0,11693868000000.0,12333763000000.0,14343150000000.0,10603163000000.0,10566721000000.0,15026393000000.0,12113273000000.0,10298703000000.0,13162258000000.0,11113574000000.0
2076.0,11621985000000.0,11637796000000.0,12215767000000.0,14256097000000.0,10500505000000.0,10481766000000.0,14970362000000.0,12001463000000.0,10106378000000.0,13122528000000.0,11068136000000.0
2077.0,11574961000000.0,11498455000000.0,12161412000000.0,14204034000000.0,10423812000000.0,10425065000000.0,14936877000000.0,11946095000000.0,10031037000000.0,13030971000000.0,10909024000000.0
2078.0,11533603000000.0,11464027000000.0,12064867000000.0,14070613000000.0,10365148000000.0,10337994000000.0,14846519000000.0,11832524000000.0,9891328000000.0,12897554000000.0,10781498000000.0
2079.0,11521359000000.0,11377735000000.0,11954629000000.0,13968774000000.0,10316072000000.0,10199019000000.0,14843596000000.0,11735187000000.0,9716163000000.0,12792488000000.0,10645667000000.0
2080.0,11409510000000.0,11275274000000.0,11951973000000.0,13917756000000.0,10210746000000.0,10104865000000.0,14843795000000.0,11661266000000.0,9619283000000.0,12778505000000.0,10534417000000.0
2081.0,11389345000000.0,11238753000000.0,11895768000000.0,13926111000000.0,10126323000000.0,9969444000000.0,14820743000000.0,11583300000000.0,9572353000000.0,12776389000000.0,10503138000000.0
2082.0,11343228000000.0,11201165000000.0,11875579000000.0,13996924000000.0,10067252000000.0,9864117000000.0,14803325000000.0,11456599000000.0,9495957000000.0,12730342000000.0,10451938000000.0
2083.0,11243649000000.0,11084503000000.0,11797782000000.0,13866222000000.0,10038938000000.0,9805638000000.0,14668508000000.0,11352075000000.0,9392277000000.0,12715822000000.0,10348109000000.0
2084.0,11225582000000.0,10907353000000.0,11691684000000.0,13832279000000.0,9997351000000.0,9762374000000.0,14686431000000.0,11258402000000.0,9273190000000.0,12717995000000.0,10215724000000.0
2085.0,11157510000000.0,10782947000000.0,11660301000000.0,13862204000000.0,9917093000000.0,9727314000000.0,14633623000000.0,11203624000000.0,9178134000000.0,12698348000000.0,10130567000000.0
2086.0,11092965000000.0,10650320000000.0,11596095000000.0,13822293000000.0,9876526000000.0,9628252000000.0,14639146000000.0,11135343000000.0,9103653000000.0,12617068000000.0,10031421000000.0
2087.0,11061414000000.0,10545865000000.0,11541234000000.0,13754721000000.0,9789720000000.0,9550483000000.0,14605525000000.0,10978627000000.0,8987133000000.0,12579780000000.0,9844838000000.0
2088.0,11036612000000.0,10486039000000.0,11470532000000.0,13737781000000.0,9750047000000.0,9476209000000.0,14562524000000.0,10845530000000.0,8889821000000.0,12487407000000.0,9770677000000.0
2089.0,10954454000000.0,10344610000000.0,11462666000000.0,13762983000000.0,9715110000000.0,9364117000000.0,14444681000000.0,10744259000000.0,8869991000000.0,12377028000000.0,9636358000000.0
2090.0,10870200000000.0,10265770000000.0,11469991000000.0,13695338000000.0,9684524000000.0,9257993000000.0,14453630000000.0,10677825000000.0,8765749000000.0,12337336000000.0,9586235000000.0
2091.0,10791091000000.0,10138847000000.0,11452342000000.0,13614386000000.0,9642932000000.0,9168500000000.0,14395612000000.0,10625011000000.0,8655083700000.0,12267002000000.0,9543078000000.0
2092.0,10760106000000.0,10066983000000.0,11407773000000.0,13483595000000.0,9621105000000.0,9082210000000.0,14346890000000.0,10548276000000.0,8532540000000.0,12272726000000.0,9470536000000.0
2093.0,10720555000000.0,9927803000000.0,11354718000000.0,13436307000000.0,9534608000000.0,8984624000000.0,14382092000000.0,10433301000000.0,8477984000000.0,12302129000000.0,9377726000000.0
2094.0,10662237000000.0,9801575000000.0,11300732000000.0,13446681000000.0,9474488000000.0,8852958000000.0,14363349000000.0,10337241000000.0,8395785500000.0,12193481000000.0,9304859000000.0
2095.0,10612406000000.0,9683922000000.0,11223394000000.0,13467942000000.0,9402284000000.0,8798119000000.0,14332266000000.0,10295929000000.0,8306854700000.0,12129210000000.0,9169675000000.0
2096.0,10519523000000.0,9555928000000.0,11221414000000.0,13495878000000.0,9376108000000.0,8767432300000.0,14266988000000.0,10224405000000.0,8239869000000.0,12051282000000.0,9128976000000.0
2097.0,10450707000000.0,9548950000000.0,11163776000000.0,13462794000000.0,9345812000000.0,8728001600000.0,14212193000000.0,10059058000000.0,8189400000000.0,11994470000000.0,9026671000000.0
2098.0,10410010000000.0,9375217000000.0,11107353000000.0,13545790000000.0,9311636000000.0,8654629000000.0,14193793000000.0,9889045000000.0,8112305000000.0,12004565000000.0,8922543000000.0
2099.0,10303121000000.0,9276820000000.0,11076448000000.0,13487244000000.0,9286314000000.0,8617793700000.0,14123250000000.0,9810660000000.0,8038873000000.0,12012069000000.0,8874244000000.0
2100.0,10205896000000.0,9161151000000.0,11059922000000.0,13435377000000.0,9238265000000.0,8508458700000.0,14111996000000.0,9736947000000.0,8026342000000.0,12000057000000.0,8757471300000.0
