time,GISS-E2-R,GFDL-CM3,CESM1-CAM5,GFDL-ESM2G,CCSM4,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0
2000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0,19678475000000.0
2001.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0,19717442000000.0
2002.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0,19695300000000.0
2003.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0,19648651000000.0
2004.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0,19586129000000.0
2005.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0,19500418000000.0
2006.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0,19422815000000.0
2007.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0,19375331000000.0
2008.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0,19291498000000.0
2009.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0,19311207000000.0
2010.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0,19226803000000.0
2011.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0,19144225000000.0
2012.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0,19099277000000.0
2013.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0,19055302000000.0
2014.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0,18957027000000.0
2015.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0,18872407000000.0
2016.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0,18795140000000.0
2017.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0,18614750000000.0
2018.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0,18489857000000.0
2019.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0,18371272000000.0
2020.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0,18190315000000.0
2021.0,18075833000000.0,18076205000000.0,18007688000000.0,18150993000000.0,18108362000000.0,18062873000000.0,18032817000000.0,18138222000000.0
2022.0,17993877000000.0,17983018000000.0,17946573000000.0,18049848000000.0,18064498000000.0,17982353000000.0,17915307000000.0,18033603000000.0
2023.0,17891043000000.0,17865325000000.0,17978247000000.0,17940217000000.0,17922928000000.0,17856945000000.0,17705975000000.0,17913560000000.0
2024.0,17810840000000.0,17815378000000.0,17855018000000.0,17800261000000.0,17868085000000.0,17707796000000.0,17472770000000.0,17833193000000.0
2025.0,17737240000000.0,17742850000000.0,17753323000000.0,17646053000000.0,17808054000000.0,17650214000000.0,17281646000000.0,17723178000000.0
2026.0,17681230000000.0,17669126000000.0,17708234000000.0,17566181000000.0,17770805000000.0,17541604000000.0,17116816000000.0,17645812000000.0
2027.0,17595965000000.0,17586866000000.0,17582687000000.0,17641517000000.0,17721622000000.0,17430787000000.0,16925432000000.0,17522441000000.0
2028.0,17489185000000.0,17539932000000.0,17438541000000.0,17684853000000.0,17672199000000.0,17342670000000.0,16826331000000.0,17457870000000.0
2029.0,17436303000000.0,17392836000000.0,17299908000000.0,17594910000000.0,17541890000000.0,17255705000000.0,16679036000000.0,17384362000000.0
2030.0,17330202000000.0,17261394000000.0,17195949000000.0,17538075000000.0,17399849000000.0,17127198000000.0,16498818000000.0,17305204000000.0
2031.0,17190301000000.0,17170003000000.0,17167672000000.0,17391080000000.0,17359285000000.0,17070068000000.0,16355080000000.0,17252418000000.0
2032.0,17110819000000.0,16996617000000.0,16969990000000.0,17290147000000.0,17260658000000.0,16914524000000.0,16200923000000.0,17139156000000.0
2033.0,17005359000000.0,16895884000000.0,16758167000000.0,17192617000000.0,17211818000000.0,16750814000000.0,16119066000000.0,17074640000000.0
2034.0,16905497000000.0,16773553000000.0,16660325000000.0,17052098000000.0,17072362000000.0,16595682000000.0,15938070000000.0,17079584000000.0
2035.0,16799672000000.0,16656347000000.0,16568420000000.0,16916515000000.0,17090906000000.0,16514138000000.0,15721130000000.0,17057638000000.0
2036.0,16583527000000.0,16410588000000.0,16518760000000.0,16730832000000.0,16974147000000.0,16373461000000.0,15543774000000.0,17066449000000.0
2037.0,16553162000000.0,16362433000000.0,16437792000000.0,16666440000000.0,16857678000000.0,16266527000000.0,15445116000000.0,17086090000000.0
2038.0,16477611000000.0,16206526000000.0,16306400000000.0,16559946000000.0,16884336000000.0,16128971000000.0,15259598000000.0,16920683000000.0
2039.0,16394790000000.0,16118096000000.0,16189915000000.0,16448312000000.0,16768327000000.0,15903529000000.0,15101650000000.0,16801596000000.0
2040.0,16242929000000.0,15961382000000.0,16016633000000.0,16352586000000.0,16675114000000.0,15797158000000.0,14946892000000.0,16579538000000.0
2041.0,16144237000000.0,15828523000000.0,15829251000000.0,16397544000000.0,16596521000000.0,15665405000000.0,14843370000000.0,16485922000000.0
2042.0,16033663000000.0,15672828000000.0,15755897000000.0,16241552000000.0,16471554000000.0,15577277000000.0,14734308000000.0,16451182000000.0
2043.0,15905979000000.0,15470011000000.0,15623956000000.0,16111060000000.0,16387500000000.0,15473834000000.0,14583495000000.0,16460169000000.0
