time,CANESM2,GFDL-ESM2G,CESM1-CAM5,GISS-E2-R,CSIRO-MK3-6-0,GFDL-CM3,CCSM4,CNRM-CM5,NORESM1-M,MPI-ESM-LR,IPSL-CM5A-LR
2000.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0,707243351700.0
2001.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0,707207321400.0
2002.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0,706239784800.0
2003.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0,705755904700.0
2004.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0,706146876500.0
2005.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0,705380858700.0
2006.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0,705326299100.0
2007.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0,704339903600.0
2008.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0,703388792800.0
2009.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0,703493567600.0
2010.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0,701774614000.0
2011.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0,702707051100.0
2012.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0,701077266900.0
2013.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0,700883436100.0
2014.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0,701659224300.0
2015.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0,699827862200.0
2016.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0,700572181200.0
2017.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0,697064400000.0
2018.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0,696760410800.0
2019.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0,697854300100.0
2020.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0,695208106800.0
2021.0,694479479400.0,694335889300.0,693916882400.0,693606599100.0,693438431400.0,692870638600.0,694053129300.0,694164719900.0,693092302000.0,693329910100.0,693370792000.0
2022.0,692627265200.0,692696934200.0,693306533200.0,694551634800.0,692036963340.0,691564257400.0,692395503100.0,692414654400.0,691893875600.0,692321345300.0,692130909400.0
2023.0,690735587000.0,692115291700.0,691319640400.0,692652961830.0,690180055800.0,690553210250.0,691335415400.0,691327916360.0,690476617200.0,690741582300.0,693851137200.0
2024.0,689058199950.0,690582545100.0,690663311510.0,691391620740.0,689885172800.0,689956951270.0,691330973100.0,692059335000.0,689319304200.0,689609620800.0,691793351200.0
2025.0,687052657750.0,689507164500.0,689825146540.0,690041311550.0,688118002940.0,688139242800.0,689006504040.0,689800566100.0,687273146100.0,688352366500.0,690159706830.0
2026.0,685409146900.0,687779153000.0,688082772240.0,689201123300.0,686278398750.0,686477661000.0,688091253590.0,687735273460.0,686388520900.0,687511922260.0,687315987300.0
2027.0,683516223550.0,686049588950.0,685791346800.0,689395410900.0,685567576260.0,682857731140.0,686255309700.0,686657682750.0,685225559400.0,685320320600.0,685945972300.0
2028.0,681831755850.0,685345682300.0,684411697400.0,686377501040.0,683483157900.0,681894851960.0,685737352230.0,684078627160.0,683969287500.0,683431378500.0,683605132350.0
2029.0,680184816150.0,683706649100.0,682229146570.0,684585862360.0,682606070200.0,680218683740.0,683884509300.0,682954240200.0,682887007510.0,681820471660.0,681474666950.0
2030.0,678965255050.0,681630028900.0,680305329300.0,682541073200.0,682074353850.0,676699611700.0,682114833800.0,681279236440.0,679627448580.0,679583909560.0,680010616560.0
2031.0,675642095500.0,679385300200.0,678658475160.0,680921901520.0,678991419250.0,675422684100.0,681006330140.0,680676066310.0,677420127350.0,678415323430.0,678133412980.0
2032.0,673402011020.0,677851174860.0,675579429410.0,680277459660.0,677427422000.0,669567860100.0,679002804160.0,679515771600.0,675822477400.0,677083088940.0,675078069750.0
2033.0,671843916500.0,676946105100.0,673401265460.0,679985047800.0,675808195300.0,665551931340.0,677545829200.0,676542668030.0,673627333530.0,674302976500.0,672575774700.0
2034.0,669570882460.0,675606886960.0,671005388700.0,676432718400.0,673543905740.0,661358735100.0,675212183300.0,674336880300.0,671690281200.0,673425267860.0,670806107500.0
2035.0,666769048460.0,673964670340.0,668051181840.0,675225703240.0,671018142500.0,657484417090.0,673024214800.0,672636499940.0,668863964000.0,670228256200.0,669626642370.0
2036.0,663606452980.0,672937330400.0,665659079900.0,672660128900.0,668897645200.0,654405237530.0,671791522100.0,669459758400.0,667058186600.0,669036152700.0,666966161000.0
2037.0,660471983560.0,669827609100.0,663071555550.0,670668206460.0,666673957270.0,650514187420.0,669606260900.0,667285136500.0,665208884540.0,666361521000.0,663098020560.0
2038.0,658352624760.0,668334421900.0,659628611080.0,669296427770.0,664565816470.0,646433767000.0,668191274560.0,665510743120.0,661763307000.0,666114774000.0,659886457300.0
2039.0,654049615540.0,666770509040.0,656243545960.0,667046435970.0,662335125600.0,642744992980.0,666439346300.0,664079105050.0,659287574600.0,661814562400.0,657780495100.0
