time,CESM2-WACCM,CANESM5,EC-EARTH3,MRI-ESM2-0,INM-CM4-8,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,TAIESM1,INM-CM5-0,NORESM2-MM,CMCC-CM2-SR5,IPSL-CM6A-LR,ACCESS-CM2,FGOALS-F3-L,GFDL-ESM4,EC-EARTH3-VEG
2000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0
2001.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0
2002.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0
2003.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0
2004.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0
2005.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0
2006.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0
2007.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0
2008.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0
2009.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0
2010.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0
2011.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0
2012.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0
2013.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0,34029763000.0
2014.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0,33975560000.0
2015.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0,33984608000.0
2016.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0,33981493000.0
2017.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0,33976437000.0
2018.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0,33956250000.0
2019.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0,33993372000.0
2020.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0,33941078000.0
2021.0,33947412000.0,33915260000.0,33923369000.0,33926570000.0,33928110000.0,33931680000.0,33925618000.0,33914110000.0,33945786000.0,33934359000.0,33928845000.0,33933775000.0,33923854000.0,33977584000.0,33926912000.0,33953702000.0,33934889000.0,33924389000.0,33916617000.0
2022.0,33929670000.0,33892846000.0,33912451000.0,33917680000.0,33923328000.0,33922175000.0,33944756000.0,33895385000.0,33927200000.0,33919355000.0,33903077000.0,33923780000.0,33918956000.0,33938199000.0,33925648000.0,33946966000.0,33927844000.0,33949034000.0,33904773000.0
2023.0,33925360000.0,33847663000.0,33895705000.0,33897882000.0,33917374000.0,33917719000.0,33922590000.0,33884375000.0,33936144000.0,33906915000.0,33889747000.0,33914444000.0,33903466000.0,33919720000.0,33932034000.0,33919537000.0,33919793000.0,33908466000.0,33878024000.0
2024.0,33908482000.0,33806592000.0,33873160000.0,33865510000.0,33908466000.0,33924702000.0,33926197000.0,33865200000.0,33937440000.0,33895352000.0,33861253000.0,33896440000.0,33901000000.0,33908072000.0,33916766000.0,33903309000.0,33901683000.0,33901079000.0,33848195000.0
2025.0,33899385000.0,33736899000.0,33828055000.0,33843757000.0,33899969000.0,33894144000.0,33917170000.0,33849754000.0,33915615000.0,33882337000.0,33841873000.0,33871750000.0,33883520000.0,33897810000.0,33915599000.0,33900978000.0,33926216000.0,33881373000.0,33819927000.0
2026.0,33903636000.0,33665410000.0,33791280000.0,33813457000.0,33908376000.0,33878843000.0,33958173000.0,33823890000.0,33918865000.0,33861329000.0,33810237000.0,33856313000.0,33863190000.0,33893513000.0,33919982000.0,33881012000.0,33871768000.0,33873127000.0,33784568000.0
2027.0,33888630000.0,33558129000.0,33757053000.0,33791003000.0,33877774000.0,33861562000.0,33910200000.0,33804294000.0,33898977000.0,33851701000.0,33793538000.0,33822511000.0,33841062000.0,33874407000.0,33887322000.0,33851267000.0,33856850000.0,33851730000.0,33751770000.0
2028.0,33900384000.0,33415130000.0,33724041000.0,33739661000.0,33860743000.0,33863848000.0,33884303000.0,33791687000.0,33872169000.0,33832286000.0,33747550000.0,33793894000.0,33829444000.0,33852460000.0,33872527000.0,33832145000.0,33834529000.0,33836896000.0,33703710000.0
2029.0,33868753000.0,33300450000.0,33650460000.0,33705865000.0,33843653000.0,33885280000.0,33863643000.0,33772653000.0,33845826000.0,33811716000.0,33693639000.0,33769138000.0,33814022000.0,33823506000.0,33859960000.0,33808466000.0,33814624000.0,33823226000.0,33659340000.0
2030.0,33851530000.0,33143337000.0,33599724000.0,33656637000.0,33816986000.0,33839740000.0,33834316000.0,33740261000.0,33834555000.0,33769017000.0,33647426000.0,33708855000.0,33773980000.0,33774410000.0,33818747000.0,33779714000.0,33793366000.0,33787187000.0,33609157000.0
2031.0,33817598000.0,32982143000.0,33523622000.0,33614313000.0,33794355000.0,33811600000.0,33817797000.0,33715855000.0,33802550000.0,33745232000.0,33614496000.0,33650545000.0,33763668000.0,33757161000.0,33793958000.0,33764803000.0,33773300000.0,33767657000.0,33558686000.0
2032.0,33803410000.0,32816617000.0,33398682000.0,33574463000.0,33772515000.0,33802492000.0,33802650000.0,33685390000.0,33783734000.0,33724412000.0,33551071000.0,33635054000.0,33767064000.0,33731707000.0,33775140000.0,33737853000.0,33737760000.0,33755010000.0,33468220000.0
2033.0,33785514000.0,32576584000.0,33284923000.0,33528134000.0,33758130000.0,33802396000.0,33800610000.0,33642887000.0,33767244000.0,33704348000.0,33484540000.0,33555247000.0,33741249000.0,33699380000.0,33754905000.0,33720136000.0,33701771000.0,33728815000.0,33407300000.0
2034.0,33765650000.0,32353466000.0,33164046000.0,33465158000.0,33734316000.0,33779016000.0,33770232000.0,33613390000.0,33744732000.0,33673386000.0,33412276000.0,33500248000.0,33712507000.0,33663898000.0,33742373000.0,33679110000.0,33685258000.0,33707895000.0,33338788000.0
2035.0,33756623000.0,32013160000.0,32950432000.0,33349001000.0,33707833000.0,33765070000.0,33789575000.0,33567894000.0,33721481000.0,33643176000.0,33277645000.0,33453332000.0,33714660000.0,33618317000.0,33716038000.0,33655690000.0,33640477000.0,33692424000.0,33205012000.0
2036.0,33732604000.0,31747365000.0,32766943000.0,33267917000.0,33682293000.0,33742570000.0,33752103000.0,33559642000.0,33696223000.0,33616966000.0,33184627000.0,33402040000.0,33684000000.0,33579030000.0,33679405000.0,33620374000.0,33550293000.0,33671522000.0,33119906000.0
2037.0,33708524000.0,31430392000.0,32538118000.0,33188420000.0,33636300000.0,33731910000.0,33709631000.0,33497252000.0,33662226000.0,33573276000.0,33108769000.0,33273696000.0,33634730000.0,33530182000.0,33644902000.0,33531367000.0,33516750000.0,33654878000.0,33017680000.0
