time,FGOALS-F3-L,GFDL-ESM4,EC-EARTH3-VEG,CMCC-CM2-SR5,NORESM2-MM,CAMS-CSM1-0,INM-CM5-0,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,MRI-ESM2-0,INM-CM4-8,EC-EARTH3,CESM2-WACCM
2000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0
2001.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0
2002.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0
2003.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0
2004.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0
2005.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0
2006.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0
2007.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0
2008.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0
2009.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0
2010.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0,34009678000.0
2011.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0,34019293000.0
2012.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0,33998238000.0
