time,INM-CM5-0,CAMS-CSM1-0,BCC-CSM2-MR,CESM2,MPI-ESM1-2-HR,FGOALS-F3-L,ACCESS-CM2,EC-EARTH3-VEG,GFDL-ESM4,NORESM2-MM,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,ACCESS-ESM1-5,MRI-ESM2-0,INM-CM4-8,EC-EARTH3
2000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0,34062903000.0
2001.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0,34106978000.0
2002.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0,34081933000.0
2003.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0,34061228000.0
2004.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0,34055758000.0
2005.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0,34037901000.0
2006.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0,34030977000.0
2007.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0,34029105000.0
2008.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0,34017140000.0
2009.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0,34017489000.0
