time,GISS-E2-R,CCSM4,CSIRO-MK3-6-0,CNRM-CM5,MPI-ESM-LR,GFDL-CM3,GFDL-ESM2G,CANESM2,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR
2000.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0
2001.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0
2002.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0
2003.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0
2004.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0
2005.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0
2006.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0
2007.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0
2008.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0
2009.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0
2010.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0
2011.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0
2012.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0
2013.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0
2014.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0
2015.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0
2016.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0
2017.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0
2018.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0
2019.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0
2020.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0
2021.0,2053815900.0,2053871000.0,2048675200.0,2037316500.0,2026687600.0,2032106000.0,2050487400.0,2032204000.0,2043070600.0,2028592400.0,2043761500.0
2022.0,2027503600.0,2012834200.0,2005806600.0,1999790000.0,1993007000.0,1981612800.0,2026817000.0,2002445300.0,2014909700.0,1990216700.0,2032955500.0
2023.0,1994334000.0,1987289700.0,1943338100.0,1962774900.0,1965632000.0,1921055600.0,1991375200.0,1961154600.0,1985248300.0,1962058800.0,1982690300.0
2024.0,1964469800.0,1976639600.0,1874552700.0,1930731600.0,1925615600.0,1862911700.0,1958635500.0,1914824100.0,1956214400.0,1921846500.0,1935690100.0
2025.0,1936476800.0,1945318900.0,1808580100.0,1896219600.0,1891374600.0,1813166600.0,1938890800.0,1883396600.0,1935166100.0,1870842900.0,1897201800.0
2026.0,1903463000.0,1910445400.0,1752497700.0,1894291600.0,1887716600.0,1739897000.0,1905041400.0,1855332700.0,1907287800.0,1817626000.0,1858833300.0
2027.0,1884430500.0,1892950800.0,1688150300.0,1842766800.0,1846041600.0,1665862400.0,1891946100.0,1815577200.0,1890022900.0,1786575000.0,1818886900.0
2028.0,1852621000.0,1881425200.0,1607779200.0,1821472000.0,1818658600.0,1567986200.0,1862619600.0,1773404800.0,1857002600.0,1756333000.0,1761948800.0
2029.0,1828457700.0,1868580900.0,1551083300.0,1785624200.0,1780057100.0,1529961300.0,1830811800.0,1721519500.0,1820447900.0,1704279900.0,1713871500.0
2030.0,1803841200.0,1836679800.0,1543358200.0,1763754800.0,1761521900.0,1457850800.0,1801997200.0,1662894300.0,1801560800.0,1632130400.0,1664964900.0
2031.0,1786222100.0,1807959700.0,1516890400.0,1725911600.0,1723404200.0,1381917300.0,1782751600.0,1624463500.0,1769953200.0,1604000000.0,1623296000.0
2032.0,1759763800.0,1795764700.0,1454686600.0,1682210700.0,1664566800.0,1327777400.0,1760442200.0,1600073700.0,1740006900.0,1572578800.0,1574367000.0
2033.0,1722249300.0,1780914400.0,1400139100.0,1659469400.0,1628756200.0,1260946400.0,1734408200.0,1562542200.0,1708757900.0,1520581200.0,1520501400.0
2034.0,1693101700.0,1775366000.0,1329827600.0,1619496100.0,1633720200.0,1208189300.0,1717817700.0,1505880600.0,1668982500.0,1477864000.0,1471086000.0
2035.0,1671880300.0,1762924800.0,1292064800.0,1589882800.0,1591060700.0,1167367200.0,1719695000.0,1446112800.0,1639979500.0,1437679700.0,1435639200.0
2036.0,1652445800.0,1739501300.0,1260189300.0,1566405800.0,1549903200.0,1119443300.0,1692748900.0,1399563500.0,1605388300.0,1410255400.0,1411970200.0
2037.0,1636768900.0,1708385700.0,1230644600.0,1526315600.0,1502279700.0,1058749630.0,1676683400.0,1360056200.0,1577980400.0,1384909300.0,1399069300.0
2038.0,1634458900.0,1694206100.0,1186163500.0,1505392600.0,1450474200.0,1015333200.0,1661563300.0,1305230500.0,1564582900.0,1349369200.0,1419369100.0
2039.0,1616301400.0,1688367900.0,1128089700.0,1467602800.0,1405314200.0,970947460.0,1644243600.0,1259160000.0,1549915000.0,1316083700.0,1364734800.0
2040.0,1592671900.0,1662019700.0,1079996900.0,1435554200.0,1376206200.0,935182600.0,1630347600.0,1234838300.0,1548570800.0,1275265500.0,1317964200.0
2041.0,1583623400.0,1634524200.0,1024097900.0,1401022800.0,1347632400.0,908898800.0,1612933800.0,1191456500.0,1534327000.0,1259637400.0,1281849000.0
2042.0,1558299900.0,1626932400.0,984278100.0,1362580700.0,1331462700.0,866798300.0,1593517600.0,1147988700.0,1507508700.0,1238127400.0,1265208700.0
2043.0,1546194700.0,1613371600.0,940643140.0,1328701200.0,1297672300.0,834775900.0,1592045400.0,1116686000.0,1485901300.0,1223455400.0,1232758000.0
2044.0,1531567000.0,1597374800.0,894875970.0,1277316100.0,1245422300.0,815094660.0,1583845600.0,1072107700.0,1467548500.0,1201247500.0,1209328600.0
2045.0,1511968900.0,1584639500.0,853963460.0,1255481200.0,1185484200.0,800154700.0,1575506700.0,1042685000.0,1440912900.0,1183456300.0,1174940400.0
2046.0,1502864300.0,1567683700.0,817734900.0,1223750900.0,1193335700.0,777655040.0,1568578600.0,1031933630.0,1436861300.0,1177353700.0,1163752600.0
2047.0,1485606700.0,1545275400.0,794102140.0,1181793500.0,1156701400.0,749230140.0,1549603100.0,1004225700.0,1413714700.0,1167899800.0,1128072700.0
2048.0,1473565700.0,1520662900.0,792306560.0,1159976400.0,1118246900.0,727092860.0,1534740000.0,979599100.0,1394875400.0,1146636800.0,1117135500.0
2049.0,1467119600.0,1512101500.0,779478200.0,1134448600.0,1097125400.0,717892540.0,1524443500.0,963581630.0,1385573200.0,1123364200.0,1092378100.0
2050.0,1451838300.0,1495543300.0,741695500.0,1119066600.0,1073750400.0,705930100.0,1517969000.0,930311300.0,1388532500.0,1115548300.0,1074239000.0
