time,IPSL-CM5A-LR,CESM1-CAM5,NORESM1-M,GFDL-ESM2G,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,GISS-E2-R
2000.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0,2403332400.0
2001.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0,2377848300.0
2002.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0,2358762500.0
2003.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0,2329840600.0
2004.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0,2307569700.0
2005.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0,2284364300.0
2006.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0,2269734000.0
2007.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0,2248567600.0
2008.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0,2246933000.0
2009.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0,2250131500.0
2010.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0,2225459700.0
2011.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0,2208133600.0
2012.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0,2213127400.0
2013.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0,2198140700.0
2014.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0,2194310700.0
2015.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0,2182222600.0
2016.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0,2157378800.0
2017.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0,2131828600.0
2018.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0,2113159300.0
2019.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0,2104774800.0
2020.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0,2076257000.0
2021.0,2046204000.0,2029850200.0,2048588300.0,2067715100.0,2038910200.0,2054739200.0,2059073400.0,2059455000.0
2022.0,2013234200.0,1995353600.0,2017215400.0,2028725800.0,1999681900.0,2015034800.0,2016359800.0,2023798000.0
2023.0,1970945700.0,1973927200.0,1980359200.0,1995155200.0,1956131100.0,1974341800.0,1989084000.0,1993693200.0
2024.0,1938165100.0,1942281900.0,1939747200.0,1968667600.0,1919517000.0,1937005300.0,1972009200.0,1972792300.0
2025.0,1901014500.0,1905605500.0,1899188000.0,1968896400.0,1867940600.0,1898985500.0,1965953500.0,1938645800.0
2026.0,1864163300.0,1889526800.0,1873306600.0,1958771500.0,1807487900.0,1867263100.0,1939885400.0,1912532200.0
2027.0,1832278900.0,1852432600.0,1827637000.0,2001816000.0,1755222400.0,1824498600.0,1918510700.0,1894098700.0
2028.0,1791722600.0,1805578400.0,1790846800.0,1957736600.0,1687249000.0,1780130800.0,1911203100.0,1872336600.0
2029.0,1751469400.0,1770364300.0,1757830900.0,1934049000.0,1616432000.0,1743354600.0,1893989200.0,1857545300.0
2030.0,1711684700.0,1742329500.0,1704928400.0,1933151900.0,1528123100.0,1708819500.0,1882133200.0,1841263000.0
2031.0,1668091600.0,1707819800.0,1661074700.0,1933216500.0,1465561300.0,1681461800.0,1857098900.0,1813935200.0
2032.0,1634882000.0,1665577100.0,1620210000.0,1901959000.0,1386412700.0,1631115300.0,1837418500.0,1796220800.0
2033.0,1567638800.0,1610149000.0,1606524700.0,1890104400.0,1319829600.0,1601234000.0,1811323800.0,1781956500.0
2034.0,1525768700.0,1589488900.0,1585600900.0,1878700000.0,1253354200.0,1680828000.0,1796426500.0,1756934500.0
2035.0,1492517500.0,1569509400.0,1564345500.0,1868082200.0,1195331300.0,1624589000.0,1773204600.0,1728358100.0
2036.0,1453386800.0,1530534800.0,1539540900.0,1847909600.0,1138527900.0,1601201700.0,1744380800.0,1705389000.0
2037.0,1428144100.0,1495955800.0,1545392300.0,1829898200.0,1115392300.0,1550347600.0,1705819300.0,1670014000.0
2038.0,1382696300.0,1477021700.0,1522746500.0,1806535400.0,1066554400.0,1514353800.0,1684545000.0,1631332500.0
2039.0,1332607400.0,1444459600.0,1507650300.0,1789827300.0,1021070660.0,1475620100.0,1651881000.0,1593939500.0
2040.0,1309113600.0,1405516700.0,1523237400.0,1760296300.0,973203300.0,1450587500.0,1600441700.0,1566105300.0
2041.0,1291512000.0,1365864800.0,1510196700.0,1726216200.0,953929800.0,1439085300.0,1562413000.0,1538706400.0
